"","Year","PollockM2","PollockZ","ATFFM2","ATFFZ","AFTMM2","AFTMZ","CODM2","CODZ"
"1",1977,0.873,1.079,0.031,0.35,0.047,0.429,0.311,0.759
"2",1978,0.836,1.038,0.031,0.35,0.047,0.429,0.298,0.742
"3",1979,0.818,1.032,0.034,0.354,0.051,0.435,0.279,0.722
"4",1980,0.819,1.046,0.036,0.359,0.054,0.442,0.28,0.723
"5",1981,0.945,1.192,0.042,0.37,0.064,0.459,0.325,0.77
"6",1982,0.83,1.088,0.04,0.371,0.06,0.461,0.305,0.751
"7",1983,0.945,1.202,0.047,0.382,0.07,0.478,0.367,0.815
"8",1984,0.912,1.162,0.046,0.381,0.069,0.477,0.369,0.816
"9",1985,0.891,1.131,0.047,0.382,0.071,0.477,0.346,0.792
"10",1986,0.939,1.164,0.054,0.387,0.081,0.484,0.346,0.79
"11",1987,1.107,1.325,0.055,0.389,0.083,0.488,0.38,0.821
"12",1988,1.116,1.329,0.051,0.386,0.077,0.483,0.378,0.817
"13",1989,1.096,1.301,0.051,0.384,0.076,0.481,0.41,0.848
"14",1990,1.122,1.319,0.048,0.381,0.072,0.476,0.443,0.878
"15",1991,1.486,1.658,0.058,0.393,0.088,0.494,0.561,0.989
"16",1992,1.37,1.547,0.056,0.389,0.085,0.488,0.528,0.954
"17",1993,1.392,1.561,0.056,0.389,0.085,0.488,0.553,0.977
"18",1994,1.383,1.544,0.054,0.388,0.082,0.486,0.555,0.979
"19",1995,1.282,1.442,0.05,0.382,0.075,0.477,0.49,0.916
"20",1996,1.329,1.471,0.051,0.382,0.076,0.478,0.506,0.928
"21",1997,1.289,1.427,0.049,0.378,0.074,0.471,0.478,0.9
"22",1998,1.426,1.549,0.057,0.385,0.085,0.482,0.475,0.896
"23",1999,1.272,1.4,0.052,0.379,0.079,0.472,0.414,0.839
"24",2000,1.274,1.399,0.047,0.374,0.071,0.465,0.407,0.831
"25",2001,1.382,1.493,0.056,0.382,0.085,0.477,0.445,0.866
"26",2002,1.367,1.474,0.043,0.367,0.064,0.455,0.479,0.894
"27",2003,1.626,1.71,0.049,0.374,0.074,0.464,0.597,1.002
"28",2004,1.638,1.721,0.05,0.375,0.075,0.466,0.652,1.053
"29",2005,1.65,1.732,0.054,0.378,0.081,0.472,0.683,1.082
"30",2006,1.547,1.637,0.053,0.377,0.08,0.47,0.586,0.993
"31",2007,1.391,1.492,0.049,0.372,0.074,0.462,0.495,0.908
"32",2008,1.323,1.429,0.044,0.367,0.066,0.454,0.458,0.872
"33",2009,1.183,1.307,0.041,0.364,0.061,0.449,0.428,0.842
"34",2010,1.358,1.468,0.046,0.37,0.07,0.459,0.517,0.924
"35",2011,1.177,1.306,0.042,0.366,0.062,0.453,0.446,0.86
"36",2012,1.064,1.205,0.041,0.366,0.062,0.453,0.392,0.813
"37",2013,0.972,1.126,0.038,0.362,0.057,0.447,0.319,0.747
"38",2014,0.868,1.037,0.035,0.359,0.052,0.442,0.279,0.713
"39",2015,1.07,1.222,0.036,0.359,0.055,0.443,0.347,0.771
"40",2016,1.051,1.21,0.04,0.365,0.06,0.451,0.357,0.778
"41",2017,0.978,1.136,0.039,0.365,0.059,0.451,0.356,0.777
"42",2018,0.988,1.141,0.041,0.367,0.062,0.455,0.36,0.781
"43",2019,0.927,1.081,0.039,0.363,0.058,0.448,0.326,0.751
"44",2020,0.948,1.098,0.035,0.358,0.053,0.441,0.332,0.756
"45",2021,0.941,1.098,0.035,0.357,0.052,0.439,0.327,0.753
"46",2022,0.868,1.031,0.032,0.355,0.048,0.435,0.313,0.735
"47",2023,0.903,1.069,0.032,0.354,0.048,0.435,0.327,0.748
