"","Wt_name","Wt_index","Species","Yr","Sex","1","2","3","4","5","6","7","8","9","10"
"5","Pcod_bt_survey",1,1,1977,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"15","Pcod_bt_survey",1,1,1978,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"25","Pcod_bt_survey",1,1,1979,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"35","Pcod_bt_survey",1,1,1980,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"45","Pcod_bt_survey",1,1,1981,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"55","Pcod_bt_survey",1,1,1982,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"65","Pcod_bt_survey",1,1,1983,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"75","Pcod_bt_survey",1,1,1984,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"85","Pcod_bt_survey",1,1,1985,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"95","Pcod_bt_survey",1,1,1986,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"105","Pcod_bt_survey",1,1,1987,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"115","Pcod_bt_survey",1,1,1988,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"125","Pcod_bt_survey",1,1,1989,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"135","Pcod_bt_survey",1,1,1990,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"145","Pcod_bt_survey",1,1,1991,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"155","Pcod_bt_survey",1,1,1992,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"165","Pcod_bt_survey",1,1,1993,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"175","Pcod_bt_survey",1,1,1994,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"185","Pcod_bt_survey",1,1,1995,0,0.175214,0.577644,1.11725,1.7083,2.26492,2.8308,3.51201,4.29219,5.07199,7.09243
"195","Pcod_bt_survey",1,1,1996,0,0.163547,0.551336,1.10249,1.72697,2.40356,3.13224,3.88099,4.613,5.30446,7.2015
"205","Pcod_bt_survey",1,1,1997,0,0.163547,0.551336,1.10249,1.72697,2.40356,3.13224,3.88099,4.613,5.30446,7.2015
"215","Pcod_bt_survey",1,1,1998,0,0.163547,0.551336,1.10249,1.72697,2.40356,3.13224,3.88099,4.613,5.30446,7.2015
"225","Pcod_bt_survey",1,1,1999,0,0.163547,0.551336,1.10249,1.72697,2.40356,3.13224,3.88099,4.613,5.30446,7.2015
"235","Pcod_bt_survey",1,1,2000,0,0.163547,0.551336,1.10249,1.72697,2.40356,3.13224,3.88099,4.613,5.30446,7.2015
"245","Pcod_bt_survey",1,1,2001,0,0.163547,0.551336,1.10249,1.72697,2.40356,3.13224,3.88099,4.613,5.30446,7.2015
"255","Pcod_bt_survey",1,1,2002,0,0.163547,0.551336,1.10249,1.72697,2.40356,3.13224,3.88099,4.613,5.30446,7.2015
"265","Pcod_bt_survey",1,1,2003,0,0.163547,0.551336,1.10249,1.72697,2.40356,3.13224,3.88099,4.613,5.30446,7.2015
"275","Pcod_bt_survey",1,1,2004,0,0.163547,0.551336,1.10249,1.72697,2.40356,3.13224,3.88099,4.613,5.30446,7.2015
"285","Pcod_bt_survey",1,1,2005,0,0.163547,0.551336,1.10249,1.72697,2.40356,3.13224,3.88099,4.613,5.30446,7.2015
"295","Pcod_bt_survey",1,1,2006,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"305","Pcod_bt_survey",1,1,2007,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"315","Pcod_bt_survey",1,1,2008,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"325","Pcod_bt_survey",1,1,2009,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"335","Pcod_bt_survey",1,1,2010,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"345","Pcod_bt_survey",1,1,2011,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"355","Pcod_bt_survey",1,1,2012,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"365","Pcod_bt_survey",1,1,2013,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"375","Pcod_bt_survey",1,1,2014,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"385","Pcod_bt_survey",1,1,2015,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"395","Pcod_bt_survey",1,1,2016,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"405","Pcod_bt_survey",1,1,2017,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"415","Pcod_bt_survey",1,1,2018,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"425","Pcod_bt_survey",1,1,2019,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"435","Pcod_bt_survey",1,1,2020,0,0.160351,0.578363,1.09213,1.66886,2.35878,3.11205,3.87337,4.61016,5.30333,7.2011
"6","Pcod_ll_survey",2,1,1977,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"16","Pcod_ll_survey",2,1,1978,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"26","Pcod_ll_survey",2,1,1979,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"36","Pcod_ll_survey",2,1,1980,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"46","Pcod_ll_survey",2,1,1981,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"56","Pcod_ll_survey",2,1,1982,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"66","Pcod_ll_survey",2,1,1983,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"76","Pcod_ll_survey",2,1,1984,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"86","Pcod_ll_survey",2,1,1985,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"96","Pcod_ll_survey",2,1,1986,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"106","Pcod_ll_survey",2,1,1987,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"116","Pcod_ll_survey",2,1,1988,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"126","Pcod_ll_survey",2,1,1989,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"136","Pcod_ll_survey",2,1,1990,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"146","Pcod_ll_survey",2,1,1991,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"156","Pcod_ll_survey",2,1,1992,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"166","Pcod_ll_survey",2,1,1993,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"176","Pcod_ll_survey",2,1,1994,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"186","Pcod_ll_survey",2,1,1995,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"196","Pcod_ll_survey",2,1,1996,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"206","Pcod_ll_survey",2,1,1997,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"216","Pcod_ll_survey",2,1,1998,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
"226","Pcod_ll_survey",2,1,1999,0,0.329754,0.834342,1.42759,2.01152,2.56528,3.10657,3.65118,4.21527,4.80444,6.62407
