"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10"
2008,269.704,8291.9,64451.8,71632.6,57406.3,35891.3,17906.8,15247.2,9094.06,4532.33,2394.45
2009,152.973,12332.9,40723.1,111736,79016.4,44472.3,18796.5,7777.95,5880.15,3378.63,2504.85
2010,174.865,5790.36,57070.1,71566.7,125306,62428.7,26232.2,8838.85,3378.67,2436.34,2370.37
2011,272.664,12819.3,31702.4,105675,85909,102941,35947.1,12180.7,3650,1349.52,1861.71
2012,521.644,13907.9,47823.4,58054.1,122885,70915.5,59880.9,16725.1,5191.48,1501.43,1291.8
2013,361.799,21336.2,61538.3,76708.4,67569.2,101826,43963.1,30077.2,7618.13,2279.27,1187.65
2014,143.806,16137.7,107347,107497,84940.8,58880,67107,24208.3,14985.1,3629.12,1601.7
2015,87.5265,6849.05,63687.5,159438,100545,53945.6,29101.7,26337.9,8551.01,5050.77,1718.82
2016,200.386,7350.43,21274.3,84010.9,136776,58261.6,21224,9630.42,7826.01,2454.85,1910.82
2017,126.242,11399.6,12502,20493.3,55000,62581.7,18522.9,5401.11,2309.51,1827.4,1004.18
2018,141.524,7158.33,35220.6,17774.5,21778.2,42670.3,35561.2,8233.47,2081.72,843.138,976.917
2019,81.2121,9454.75,28549.3,50970.5,17836.4,18349.1,30393.3,22340.2,4745.94,1134.5,947.609
2020,123.197,6190.52,23849.4,32191.6,36454.7,9800.08,8756.04,12824.1,8679.2,1743.25,724.901
2021,185.163,5351.22,16818.7,35864.9,34532.6,30111,6946.3,5776.11,7956.98,5149.19,1400.89
2022,198.73,11336.1,25091.9,24599.4,38961.9,28682.4,18733.8,3661.64,2844.3,3713.91,2931.08
2023,198.73,10419.1,39912.7,38767.4,22325.7,27791.8,16145.4,8738.18,1590.87,1205.88,2736.57
2024,198.73,10419.1,36685.7,57834,39354.4,15437.8,15968.9,8074.96,4005.29,703.552,1684.51
2025,198.73,10419.1,36685.9,53163.7,56621.1,29902,8622.95,7993.42,3775.99,1792.23,1022.42
2026,198.73,10419.1,36684,53120.3,51682.4,40570.7,16961.3,3949.99,3464.4,1582.95,1136
2027,198.73,10419.1,36682.6,53084.9,51368.6,36287.5,21541.4,7678.66,1607.75,1374.62,1046.1
2028,198.73,10419.1,36682.3,53075.7,51275.7,35908.9,19102.8,9499.43,3142.97,627.834,921.567
2029,198.73,10419.1,36682.3,53076,51272.6,35859.3,18919.3,8433.14,3867.27,1239.06,587.06
2030,198.73,10419.1,36682.4,53076.9,51279.9,35876,18912.5,8363.14,3437.96,1522,698.649
2031,198.73,10419.1,36682.4,53077.2,51283.1,35887.4,18927.8,8363.86,3411.02,1353.66,852.159
2032,198.73,10419.1,36682.4,53077.3,51283.8,35890.7,18934.9,8371.24,3411.57,1343.16,844.841
2033,198.73,10419.1,36682.4,53077.3,51283.8,35891.2,18936.7,8374.38,3414.58,1343.38,837.521
2034,198.73,10419.1,36682.4,53077.3,51283.8,35891.2,18936.9,8375.1,3415.84,1344.55,834.725
2035,198.73,10419.1,36682.4,53077.3,51283.8,35891.1,18936.8,8375.16,3416.13,1345.05,834.112
2036,198.73,10419.1,36682.4,53077.3,51283.8,35891.1,18936.8,8375.14,3416.15,1345.16,834.076
