"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10"
1977,494.433,4347.64,18692.8,53052.8,101587,54173.8,40944,30126.5,21925.3,14912.3,27642.2
1978,236.633,26020.4,19388.4,32756.9,63581.6,99220.8,46663.2,32455.7,22533.1,15719.2,29407.7
1979,198.443,12595.3,116033,33901.9,38731.7,60433.8,82735.5,35777,23478,15624.4,29088.6
1980,194.202,12508.9,56611.9,205394,40456,36895.3,50300.9,63243.9,25793.7,16222,28867.6
1981,384.097,13345,51606.8,99644.1,242386,37338,29083.9,35992.8,42523,16605.2,27195.4
1982,384.431,38591.1,54116.4,89931.9,118682,228473,30816,22073.2,25769.1,29175.9,28221.3
1983,223.175,16271.9,120245,86435.1,99669.6,107157,181688,22589,15288.2,17124.6,36151.6
1984,273.773,15298.7,82272.5,188016,98094.4,90518.6,85826.6,133841,15700.2,10185,33421.5
1985,440.614,14755.3,56271.4,142004,198933,87137.2,70868.4,62008.9,91215.6,10256.8,26639
1986,173.878,22993.3,62452.1,92165.7,169939,183026,72015.8,53801.8,44366.8,62350.6,23440.5
1987,259.418,9991.84,102095,107279,106105,164139,148837,54203.6,38019.5,29996.8,55301.1
1988,287.224,20167.1,43493.1,181841,127494,99850.4,138256,112502,39031.8,26285.8,55973.7
1989,307.667,15747.3,73480.6,74117.9,212789,119020,81143.8,104761,79207.7,26541.3,52822.3
1990,332.745,12793.5,67141,116222,83699.3,193893,94525,58916.8,72475.4,51946.5,49224.7
1991,194.225,14279,63366.8,115184,130089,75972.6,149079,64353.9,36975.6,43625.9,57090.5
1992,195.83,9480.71,70428.9,115832,135750,116766,58072.9,100859,40119.7,21854.6,56314.5
1993,147.021,12031,44627.3,129613,141701,125825,87569.8,38781.7,62187.3,23471.7,42825.3
1994,175.786,7453.72,48809.2,77846.9,154203,132701,97680.5,59725.4,24790.1,37966.3,37935.9
1995,240.64,8668.24,33595.5,82771.6,92510.6,146287,106859,69624.5,39358.9,15686.2,45448.1
1996,152.556,10106.9,39140.4,58050.1,94660.9,84273.2,111518,71747.2,42936.2,23035.8,33780.4
1997,155.424,7739.72,50813,69700.5,68848.2,86039,64286.5,74869.1,44350.6,25112.6,31176.9
1998,123.829,7746.25,32201.2,84784.4,75611.4,57277,57853.2,37961.7,40607.9,22797.5,27121.3
1999,226,11611.5,32346.8,53605.1,95528.8,63845.5,38895.7,33634.6,20357.2,20700.6,23995.3
2000,224.593,11136.5,36327.8,54751.6,61227.6,82777.9,42861.1,22148.1,17465.1,10128.5,21199.8
2001,194.159,11653.4,51327.4,55812.2,62980.7,53515,58236,25654.5,12183,9165.29,15642.1
2002,118.875,12060.4,51957.3,89954.3,60075.1,55554.7,38705.9,36942.1,14910,6734.28,12896.6
2003,143.725,5326.02,46555.1,86877.8,101656,48777.6,38586.6,23465.6,20721.7,7946.58,9837.37
2004,167.089,9710.32,22804.9,70144.1,89981.2,79028.7,28125.3,19857.9,11157.3,9472.84,7741.9
2005,215.425,8402.48,32825.5,37646.6,74123.5,71850.2,49067.6,14349.4,9591.03,5197.24,7735.11
2006,283.94,10747.1,30077.5,43280.4,36076.4,51793.3,39937.3,23002.9,5904.18,3746.3,4636.83
2007,191.834,14798.2,43140.6,51245.9,47209.5,30506.3,32455.4,21034.3,10857.7,2555.41,3372.39
