"Label","Total"
"TOTAL","3547.06"
"Catch","2.24731e-12"
"Equil catch","0"
"Survey","10.5358"
"Length comp","1628.95"
"Age comp","1908.45"
"Size at age","0"
"Recruitment","-12.1228"
"InitEQ Regime","2.70735"
"Forecast Recruitment","1.97439"
"Parm priors","0.00611997"
"Parm softbounds","0.0126587"
"Parm devs","6.54469"
"Crash Pen","0"
