"Year","OFL","ABC","ACL","Catch"
2012,"fill in","fill in","fill in","77,930.20"
2013,"fill in","fill in","fill in","68,009.90"
2014,"fill in","fill in","fill in","84,584.10"
2015,"fill in","fill in","fill in","79,390.60"
2016,"fill in","fill in","fill in","64,019.50"
2017,"fill in","fill in","fill in","48,594.93"
2018,"fill in","fill in","fill in","15,132.14"
2019,"fill in","fill in","fill in","15,683.17"
2020,"fill in","fill in","fill in","6,712.88"
2021,"fill in","fill in","fill in","23,627.00"
