"","years",""
"1",1977,1.14569436206046
"2",1978,1.10223839751955
"3",1979,1.10385910403184
"4",1980,1.14036869023697
"5",1981,1.29302679758229
"6",1982,1.1730514325624
"7",1983,1.30772524130687
"8",1984,1.23903518256963
"9",1985,1.17962435613648
"10",1986,1.2060572981739
"11",1987,1.3478575156742
"12",1988,1.36791087979093
"13",1989,1.3902485491692
"14",1990,1.46030294115053
"15",1991,1.59832215140283
"16",1992,1.80206651464883
"17",1993,1.79625155272148
"18",1994,1.79119423836828
"19",1995,1.6735703656625
"20",1996,1.70037830267666
"21",1997,1.63276714526708
"22",1998,1.77998539635863
"23",1999,1.58689639348592
"24",2000,1.62095279908742
"25",2001,1.82513798041642
"26",2002,1.84282322940033
"27",2003,2.15126756452265
"28",2004,2.0847858938433
"29",2005,2.05822524459334
"30",2006,1.88753015797338
"31",2007,1.72289307606927
"32",2008,1.68014634261832
"33",2009,1.51414708876183
"34",2010,1.69104265343294
"35",2011,1.47473691234927
"36",2012,1.31806930638759
"37",2013,1.25310473599966
"38",2014,1.16400603150515
"39",2015,1.42551158179188
"40",2016,1.44445915256402
"41",2017,1.30349467368401
"42",2018,1.30335598280855
"43",2019,1.39964660303736
"44",2020,1.257857653814
"45",2021,1.30241037943091
"46",2022,1.45119392638471
"47",2023,1.40562525293056
"48",2024,1.44590790456162
