"","Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"19810",1,1,1,1,1,1,1,1987,1,1987.5,"M","TIME",207083,39178.2,33549.9,30772.2,41860.8,16414,10366.7,17308.2,12552,4796.05,7263.34,3000.6,1985.29,1102.2,1036.07,614.324,306.364,258.707,130.243,78.1437,46.9612,28.3729,19.6251,11.6903,8.02844,3.2213,5.37503,1.74089,0.934499,0.993006,2.21969
"19812",1,1,1,1,1,1,1,1988,1,1988.5,"M","TIME",54818.1,166553,31503.1,26946.2,24648.8,33443.4,13090.5,8240.84,13649.1,9736.05,3615.27,5272.19,2111.2,1383.33,768.686,723.321,429.297,214.26,181.039,91.1826,54.7251,32.8945,19.8767,13.7494,8.19064,5.62512,2.25703,3.76608,1.21978,0.654772,2.25104
"19814",1,1,1,1,1,1,1,1989,1,1989.5,"M","TIME",58413.5,44089.2,133927,25303.6,21584.6,19686.8,26660.7,10404.2,6503.1,10617.3,7388.02,2651.96,3749.07,1483.91,973.051,541.316,509.914,302.908,151.285,127.895,64.4395,38.6842,23.2561,14.0539,9.72211,5.79168,3.97763,1.596,2.6631,0.862543,2.05479
"19816",1,1,1,1,1,1,1,1990,1,1990.5,"M","TIME",45905.7,46980.9,35450.7,107543,20256.1,17228.3,15687.2,21192.6,8225.78,5087.51,8149.81,5509.39,1915.09,2653.56,1048.86,688.563,383.472,361.559,214.936,107.406,90.8357,45.7791,27.4865,16.5258,9.98726,6.90911,4.11597,2.8268,1.13424,1.89262,2.0733
"19818",1,1,1,1,1,1,1,1991,1,1991.5,"M","TIME",37618.6,36921.1,37775.2,28462.9,86046,16150,13707.9,12449.8,16736,6440.7,3925.42,6142.09,4031.98,1367.81,1880.2,744.094,489.129,272.71,257.356,153.093,76.5391,64.7511,32.6395,19.5995,11.7846,7.1222,4.92717,2.9353,2.01594,0.808892,2.82833
"19820",1,1,1,1,1,1,1,1992,1,1992.5,"M","TIME",36907.8,30256,29686.5,30328.4,22770.8,68587.6,12846.3,10875.7,9828.97,13105,4975.95,2969.19,4521.41,2896.66,972.261,1336.82,529.804,348.701,194.613,183.798,109.396,54.7132,46.2975,23.3407,14.0168,8.42825,5.09383,3.52397,2.09937,1.44184,2.60142
"19822",1,1,1,1,1,1,1,1993,1,1993.5,"M","TIME",25071.2,29684.3,24328.7,23840.9,24280.3,18166.1,54599.7,10199.8,8594.2,7708.1,10148.9,3775.24,2191.95,3252.11,2056.25,689.635,949.616,376.83,248.274,138.672,131.039,78.0229,39.0312,33.0321,16.6542,10.0018,6.01416,3.63485,2.51464,1.49808,2.88522
"19824",1,1,1,1,1,1,1,1994,1,1994.5,"M","TIME",63669.4,20164.3,23868.8,19538.2,19089.5,19381.9,14474,43399.2,8073.1,6757.9,5996.69,7752.24,2808.09,1584.75,2308.4,1456.24,489.145,674.449,267.93,176.672,98.7382,93.3406,55.5907,27.8135,23.5405,11.8692,7.12827,4.28634,2.5906,1.79223,3.12406
"19826",1,1,1,1,1,1,1,1995,1,1995.5,"M","TIME",59426.9,51208.2,16214.3,19171.3,15649.2,15243.9,15449.9,11514.3,34402.7,6366.48,5287.73,4630.71,5869.38,2077.92,1151.44,1666.58,1052.54,353.952,488.505,194.203,128.123,71.6302,67.7293,40.3425,20.1859,17.0854,8.61469,5.17375,3.11108,1.8803,3.56833
"19828",1,1,1,1,1,1,1,1996,1,1996.5,"M","TIME",34985.8,47796,41177.5,13024.5,15360.1,12503.6,12158.6,12296.7,9131.3,27143.3,4986.48,4095.27,3531.27,4401.38,1538.53,848.765,1229.44,777.28,261.615,361.307,143.704,94.8379,53.0318,50.1497,29.8733,14.948,12.6522,6.37948,3.83137,2.30388,4.03495
"19830",1,1,1,1,1,1,1,1997,1,1997.5,"M","TIME",31709.7,28138.4,38434.2,33079.4,10437.7,12276.7,9975.2,9675.86,9744.18,7192.29,21198.4,3845.26,3104.82,2629.25,3232.36,1124.74,621.059,900.642,569.94,191.967,265.254,105.537,69.6644,38.9601,36.8452,21.9489,10.983,9.29624,4.68736,2.81513,4.65752
