"","Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"9346",1,1,1,1,1,1,1,1992,1,1992.5,"M","TIME",15475.1,10323.7,12297.7,14349.4,13042.7,32921.2,6961.11,6290.56,6535.04,7478.21,3852.5,1509.61,5153.05,2706.23,1432.96,2481.93,1199.25,409.293,249.121,172.962,494.194,427.274,368.934,318.239,274.323,236.362,203.596,175.336,150.977,129.986,803.374
"9348",1,1,1,1,1,1,1,1993,1,1993.5,"M","TIME",8057.05,13319.6,8881.63,10537.8,12217.8,11070.3,27894.8,5876.63,5280.42,5434.27,6107.81,3065.01,1174.82,3991.92,2099.83,1113.73,1933.61,941.203,325.197,200.8,141.346,408.526,356.285,309.541,268.154,231.844,200.194,172.715,148.916,128.336,794.019
"9350",1,1,1,1,1,1,1,1994,1,1994.5,"M","TIME",25449.4,6934.77,11458.6,7609.22,8975.9,10379,9388.75,23575.9,4942.17,4408.79,4473.84,4910.14,2399.3,906.604,3082.18,1623.99,862.791,1504.67,740.194,259.442,162.633,116.03,338.951,297.93,260.273,226.346,196.237,169.788,146.7,126.623,785.102
"9352",1,1,1,1,1,1,1,1995,1,1995.5,"M","TIME",22456.9,21904.5,5966.19,9820.97,6483.96,7627.17,8806.24,7941.88,19853.8,4137.72,3653.03,3643.69,3918.25,1886.17,709.622,2416.06,1274.96,679.425,1193.41,593.713,210.79,133.752,96.393,283.746,250.769,219.908,191.755,166.568,144.321,124.824,776.58
"9354",1,1,1,1,1,1,1,1996,1,1996.5,"M","TIME",14066.4,19328.8,18845.6,5114.81,8374.83,5514.88,6476.98,7454.73,6693.53,16635,3432.52,2984.05,2926.72,3112.03,1494.87,563.177,1920.19,1015.85,544.792,966.277,486.03,174.355,111.585,80.9389,239.356,212.22,186.525,162.911,141.68,122.864,768.036
"9356",1,1,1,1,1,1,1,1997,1,1997.5,"M","TIME",11777.1,12107.1,16629.9,16160.2,4363.84,7126.51,4683.67,5479.17,6272.46,5592.83,13744.9,2789.03,2380.52,2301.87,2435.4,1171.2,441.92,1509.98,803.693,435.687,782.909,398.86,144.637,93.3273,68.0874,202.14,179.697,158.227,138.372,120.45,758.065
"9358",1,1,1,1,1,1,1,1998,1,1998.5,"M","TIME",22155.1,10136.6,10416.4,14258.9,13788.2,3713.99,6052.91,3961.29,4606.8,5234.02,4611.61,11133.3,2213.92,1856.65,1774.67,1874.28,902.787,341.316,1170.62,629.446,346.365,632.643,327.117,120.023,78.0989,57.2985,170.728,152.13,134.163,117.453,746.423
"9360",1,1,1,1,1,1,1,1999,1,1999.5,"M","TIME",27182.2,19069.1,8720.78,8928.05,12158.1,11727,3152.75,5117.6,3330.23,3844.72,4317.24,3737.47,8843.65,1725.25,1423.29,1346.76,1421.81,686.188,260.101,897.461,489.218,274.136,510.14,268.063,99.5669,65.3359,48.1945,144.084,128.657,113.614,732.417
"9362",1,1,1,1,1,1,1,2000,1,2000.5,"M","TIME",22661.4,23396,16405.2,7472.9,7607.29,10329.8,9941.01,2660.46,4292.24,2772.36,3163.12,3491.97,2968.19,6903.3,1324.89,1078.51,1014.4,1072.4,518.963,197.465,688.005,381.313,217.872,413,220.308,82.7216,54.67,40.5042,121.411,108.582,714.96
"9364",1,1,1,1,1,1,1,2001,1,2001.5,"M","TIME",16313.9,19504.8,20127.2,14054.4,6364.08,6459.16,8749.66,8378.13,2227.02,3562.52,2271.17,2544.46,2757.26,2305.07,5274.58,997.886,805.771,757.954,803.766,390.446,149.837,530.5,300.021,174.903,337.212,182.149,68.9675,45.8153,34.0466,102.233,694.404
