Scenario, Year, SSB, Catch, R, SER
1,2025,3074.47,10,14786.1,0.00127025
1,2026,3249.75,10.4193,14786.1,0.00126225
1,2027,3394.39,10.3012,14786.1,0.00120903
1,2028,3479.07,10.4123,14786.1,0.00119449
1,2029,3533.95,10.6854,14786.1,0.00121001
2,2025,3037.06,325,14786.1,0.0412161
2,2026,3082.19,322.063,14786.1,0.0402419
2,2027,3120.41,305.958,14786.1,0.0379941
2,2028,3125.68,300.885,14786.1,0.0372067
2,2029,3120.74,302.744,14786.1,0.0374756
3,2025,2996.9,650,14786.1,0.0822871
3,2026,2912.49,610.436,14786.1,0.0788243
3,2027,2857.86,556.643,14786.1,0.0732632
3,2028,2802.75,533.329,14786.1,0.0710855
3,2029,2757.7,527.388,14786.1,0.0711827
4,2025,2955.01,975,14786.1,0.123201
4,2026,2746.12,865.919,14786.1,0.115674
4,2027,2614.96,758.328,14786.1,0.105763
4,2028,2518.05,709.861,14786.1,0.101701
4,2029,2449.67,692.173,14786.1,0.10129
5,2025,2911.23,1300,14786.1,0.163946
5,2026,2583.19,1089.38,14786.1,0.150715
5,2027,2390.86,917.065,14786.1,0.135484
5,2028,2267.63,841.517,14786.1,0.129202
5,2029,2188.27,811.956,14786.1,0.128083
6,2025,2865.34,1625,14786.1,0.204506
6,2026,2423.85,1281.76,14786.1,0.183872
6,2027,2184.71,1038.67,14786.1,0.162464
6,2028,2047.72,937.898,14786.1,0.153824
6,2029,1966.07,898.625,14786.1,0.151947
7,2025,2817.14,1950,14786.1,0.244863
7,2026,2268.21,1444.1,14786.1,0.21507
7,2027,1995.58,1128.69,14786.1,0.186791
7,2028,1854.73,1007.24,14786.1,0.175883
7,2029,1776.48,961.5,14786.1,0.173331
8,2025,2712.67,2600,14786.1,0.324891
8,2026,1968.63,1683.32,14786.1,0.27132
8,2027,1664.53,1234.79,14786.1,0.228163
8,2028,1536.18,1091.37,14786.1,0.213882
8,2029,1472.97,1042.55,14786.1,0.210576
