ParName   Value   Gradient
log_rec_dev(1932)   -0.0184726 -5.55972e-007
log_rec_dev(1933)   -0.0194244 -1.00224e-006
log_rec_dev(1934)   -0.0204909 -3.41224e-007
log_rec_dev(1935)   -0.0216831 -6.47589e-007
log_rec_dev(1936)   -0.0229535 -8.26969e-007
log_rec_dev(1937)   -0.0243754 -3.2371e-007
log_rec_dev(1938)   -0.0259797 -2.31358e-007
log_rec_dev(1939)   -0.0277717 -2.42179e-007
log_rec_dev(1940)   -0.0297328 -5.37121e-007
log_rec_dev(1941)   -0.0319013 -7.88928e-007
log_rec_dev(1942)   -0.0343109 -1.27449e-006
log_rec_dev(1943)    -0.036942 -1.44396e-006
log_rec_dev(1944)    -0.039821 -2.34716e-006
log_rec_dev(1945)   -0.0429625 -6.31427e-007
log_rec_dev(1946)   -0.0463634 -1.11272e-006
log_rec_dev(1947)   -0.0499981 -7.93606e-007
log_rec_dev(1948)   -0.0538431 -2.50492e-006
log_rec_dev(1949)   -0.0578396 -2.53532e-006
log_rec_dev(1950)   -0.0618632 -2.9478e-006
log_rec_dev(1951)   -0.0657645 -3.98145e-006
log_rec_dev(1952)   -0.0693367 -4.54738e-006
log_rec_dev(1953)   -0.0721495  -3.162e-006
log_rec_dev(1954)   -0.0734978 -2.30508e-006
log_rec_dev(1955)    -0.072187 -3.16363e-006
log_rec_dev(1956)   -0.0668948 -4.71564e-006
log_rec_dev(1957)   -0.0553819 -4.43642e-006
log_rec_dev(1958)   -0.0349636 -3.91037e-006
log_rec_dev(1959)  -0.00269714 -4.84551e-006
log_rec_dev(1960)     0.044061 -3.68974e-006
log_rec_dev(1961)      0.10433 -4.37216e-006
log_rec_dev(1962)     0.172012 -4.76633e-006
log_rec_dev(1963)      0.23316 -4.11202e-006
log_rec_dev(1964)     0.268447 -8.81081e-007
log_rec_dev(1965)     0.280189 1.27072e-006
log_rec_dev(1966)     0.231716 1.49147e-006
log_rec_dev(1967)     0.146567 4.14162e-007
log_rec_dev(1968)    0.0494035 1.52294e-006
log_rec_dev(1969)   -0.0427326 5.84066e-007
log_rec_dev(1970)    -0.133437 1.91517e-007
log_rec_dev(1971)    -0.221045 -5.08166e-007
log_rec_dev(1972)    -0.296345 -9.65992e-007
log_rec_dev(1973)    -0.351159 -3.30603e-007
log_rec_dev(1974)    -0.361978 -6.07463e-007
log_rec_dev(1975)      -1.1258 -8.04803e-008
log_rec_dev(1976)    -0.977419 -5.00945e-007
log_rec_dev(1977)    -0.926514 8.99018e-008
log_rec_dev(1978)      -0.6671 2.65221e-007
log_rec_dev(1979)      1.11661 2.61837e-006
log_rec_dev(1980)     0.525703 2.54319e-006
log_rec_dev(1981)      -0.1083 2.40603e-006
log_rec_dev(1982)      1.05812  8.2533e-006
log_rec_dev(1983)     0.561779 6.70539e-006
log_rec_dev(1984)    -0.416703 6.62227e-006
log_rec_dev(1985)    -0.259608 7.64756e-006
log_rec_dev(1986)     0.301177 1.57544e-005
log_rec_dev(1987)    -0.592622  7.7327e-006
log_rec_dev(1988)    -0.893818 2.30642e-006
log_rec_dev(1989)    -0.719351 6.49209e-006
log_rec_dev(1990)    -0.182785 4.55395e-006
log_rec_dev(1991)     0.468825 1.65665e-005
log_rec_dev(1992)    -0.683998 -3.35409e-007
log_rec_dev(1993)     0.542601 1.22803e-006
log_rec_dev(1994)    -0.760067 -2.29832e-006
log_rec_dev(1995)    -0.674561 -3.05899e-006
log_rec_dev(1996)    -0.161524 -8.76932e-006
log_rec_dev(1997)     0.335087 -8.80948e-006
log_rec_dev(1998)      -0.4437 -2.68188e-006
log_rec_dev(1999)     0.921924 1.57731e-006
log_rec_dev(2000)    0.0991738 2.19007e-006
log_rec_dev(2001)    0.0637717 -1.39698e-007
log_rec_dev(2002)      1.08281 -6.77026e-006
log_rec_dev(2003)    -0.105675 -6.08039e-006
log_rec_dev(2004)    -0.392145 -3.70164e-006
log_rec_dev(2005)    -0.198015 -6.19836e-006
log_rec_dev(2006)    -0.671941 -4.84252e-006
log_rec_dev(2007)    -0.330262 -5.08707e-006
log_rec_dev(2008)    -0.404515 -4.85611e-006
log_rec_dev(2009)    0.0782738 -4.33164e-006
log_rec_dev(2010)     0.378541 -2.81609e-006
log_rec_dev(2011)    -0.377247 4.61622e-006
log_rec_dev(2012)    -0.246526 2.63463e-006
log_rec_dev(2013)     -1.18279 2.19519e-006
log_rec_dev(2014)    -0.668547 3.05089e-008
log_rec_dev(2015)   -0.0380643 1.66783e-006
log_rec_dev(2016)      1.21542 3.89504e-006
log_rec_dev(2017)     0.374058 -3.97222e-007
log_rec_dev(2018)      1.86849 3.16866e-007
log_rec_dev(2019)      1.85162 6.81117e-006
log_rec_dev(2020)     0.908382 1.32443e-006
log_rec_dev(2021)      1.41299 1.99988e-006
log_rec_dev(2022)    0.0736188 -3.34709e-007
log_rec_dev(2023)    0.0270461 -4.65161e-007
log_mean_rec      3.30243 6.42742e-006
log_sigr    0.0973734 -5.52417e-006
logm      -2.1689 1.04963e-005
log_avg_F_fish1     -3.05934 -6.43308e-005
log_F_devs_fish1(1960)     -1.99055 -3.41017e-006
log_F_devs_fish1(1961)    -0.333282 -1.28653e-006
log_F_devs_fish1(1962)     0.191402 -5.35461e-007
log_F_devs_fish1(1963)    -0.696723 -3.98795e-006
log_F_devs_fish1(1964)     -1.86094 -2.55212e-006
log_F_devs_fish1(1965)     -3.16802 -1.82935e-006
log_F_devs_fish1(1966)     -1.73999 -3.58282e-006
log_F_devs_fish1(1967)     -1.71551 -1.85057e-006
log_F_devs_fish1(1968)    -0.655573 -2.92093e-006
log_F_devs_fish1(1969)    -0.312694 4.33983e-008
log_F_devs_fish1(1970)      0.11205 -2.28128e-006
log_F_devs_fish1(1971)     0.175254 -3.71679e-007
log_F_devs_fish1(1972)     0.469642 9.94882e-007
log_F_devs_fish1(1973)     0.347054 1.16023e-006
log_F_devs_fish1(1974)     0.518096  1.7356e-006
log_F_devs_fish1(1975)     0.505694 1.15498e-006
log_F_devs_fish1(1976)     0.678861 -6.72095e-007
log_F_devs_fish1(1977)     0.454688 -1.69882e-006
log_F_devs_fish1(1978)    -0.233852 -1.36588e-009
log_F_devs_fish1(1979)     -0.10218 1.06409e-006
log_F_devs_fish1(1980)     -0.32337 3.14374e-007
log_F_devs_fish1(1981)   -0.0840618 -2.06866e-006
log_F_devs_fish1(1982)    -0.210041 -2.20091e-006
log_F_devs_fish1(1983)    -0.295239 -6.32463e-007
log_F_devs_fish1(1984)    -0.354124 -1.41593e-006
log_F_devs_fish1(1985)    -0.188528 -2.03102e-006
log_F_devs_fish1(1986)      0.25745 -1.69155e-006
log_F_devs_fish1(1987)     0.495577 -3.53849e-006
log_F_devs_fish1(1988)     0.597713 -2.90969e-006
log_F_devs_fish1(1989)     0.611532 -2.47041e-006
log_F_devs_fish1(1990)     0.596002 -3.64149e-006
log_F_devs_fish1(1991)     0.541636 -1.59496e-006
log_F_devs_fish1(1992)     0.483759 -1.11803e-006
log_F_devs_fish1(1993)     0.618492 -1.04185e-006
log_F_devs_fish1(1994)     0.593924 -7.33423e-007
log_F_devs_fish1(1995)      0.41474 1.18281e-006
log_F_devs_fish1(1996)      0.30828 1.36596e-006
log_F_devs_fish1(1997)     0.223208  1.4413e-006
log_F_devs_fish1(1998)     0.244992  9.7382e-007
log_F_devs_fish1(1999)      0.23915 3.95254e-007
log_F_devs_fish1(2000)     0.426153  5.9527e-007
log_F_devs_fish1(2001)     0.342601 1.26346e-006
log_F_devs_fish1(2002)     0.343324 -5.46737e-007
log_F_devs_fish1(2003)     0.450769  6.2317e-008
log_F_devs_fish1(2004)     0.513032 2.30927e-006
log_F_devs_fish1(2005)     0.413412  2.8107e-006
log_F_devs_fish1(2006)     0.354627 -1.17518e-006
log_F_devs_fish1(2007)     0.401132 -2.49998e-006
log_F_devs_fish1(2008)     0.347708 9.21296e-007
log_F_devs_fish1(2009)     0.288666 3.29331e-006
log_F_devs_fish1(2010)     0.251033 4.53004e-007
log_F_devs_fish1(2011)     0.374055 -1.57636e-006
log_F_devs_fish1(2012)     0.471105 1.10413e-006
log_F_devs_fish1(2013)     0.473126 -9.65921e-007
log_F_devs_fish1(2014)     0.315925 1.94763e-006
log_F_devs_fish1(2015)     0.293175 1.46801e-007
log_F_devs_fish1(2016)    0.0837393  2.2054e-006
log_F_devs_fish1(2017)     0.128803 -4.35399e-007
log_F_devs_fish1(2018)    0.0232078 2.66215e-006
log_F_devs_fish1(2019)    -0.123907 1.97398e-006
log_F_devs_fish1(2020)    -0.391561 2.10149e-007
log_F_devs_fish1(2021)    -0.249675 2.97085e-006
log_F_devs_fish1(2022)    -0.121951 -1.30478e-006
log_F_devs_fish1(2023)     -0.30783 3.51199e-006
log_F_devs_fish1(2024)    -0.515187 3.27926e-008
log_avg_F_fish3     -4.50066 -1.96176e-005
log_F_devs_fish3(1963)     0.216053 -1.06782e-006
log_F_devs_fish3(1964)    -0.253736 -1.28381e-006
log_F_devs_fish3(1965)     0.383021 -4.95408e-007
log_F_devs_fish3(1966)     0.773208 -1.20837e-006
log_F_devs_fish3(1967)      1.02277 -7.20469e-007
log_F_devs_fish3(1968)      1.28784 -5.72584e-007
log_F_devs_fish3(1969)      1.39496 5.75905e-007
log_F_devs_fish3(1970)      1.09466 -4.88593e-007
log_F_devs_fish3(1971)      1.46373 2.22331e-006
log_F_devs_fish3(1972)      1.72134 7.02359e-007
log_F_devs_fish3(1973)      1.22675 2.01636e-007
log_F_devs_fish3(1974)     0.889411 -8.09761e-007
log_F_devs_fish3(1975)      0.64552 -8.22387e-007
log_F_devs_fish3(1976)     0.687281 -9.57734e-007
log_F_devs_fish3(1977)    -0.152731 -1.87443e-006
log_F_devs_fish3(1978)    -0.828257 -1.07157e-006
log_F_devs_fish3(1979)     -0.67675 1.19904e-007
log_F_devs_fish3(1980)    -0.503258 1.32825e-006
log_F_devs_fish3(1981)    -0.827597 -2.18169e-008
log_F_devs_fish3(1982)    -0.839996 2.19146e-007
log_F_devs_fish3(1983)     -1.07135 -2.49237e-006
log_F_devs_fish3(1984)    -0.283576 -9.36214e-007
log_F_devs_fish3(1985)     -1.23995 -1.99857e-006
log_F_devs_fish3(1986)     0.339178 -1.69286e-006
log_F_devs_fish3(1987)     0.428574 -2.08787e-006
log_F_devs_fish3(1988)     0.695572 -7.95666e-007
log_F_devs_fish3(1989)     0.590055 -1.05038e-006
log_F_devs_fish3(1990)     0.258974 -9.37124e-007
log_F_devs_fish3(1991)   -0.0650702 2.58082e-008
log_F_devs_fish3(1992)   -0.0429635 -6.26894e-007
log_F_devs_fish3(1993)     -0.12729 -7.64226e-007
log_F_devs_fish3(1994)    0.0967798 3.91944e-008
log_F_devs_fish3(1995)    0.0464268 1.04308e-006
log_F_devs_fish3(1996)   -0.0665856 -4.36329e-007
log_F_devs_fish3(1997)    -0.317872 -8.80254e-007
log_F_devs_fish3(1998)    -0.375093 1.17493e-007
log_F_devs_fish3(1999)    -0.107869 2.24302e-007
log_F_devs_fish3(2000)    -0.115194 -4.44671e-007
log_F_devs_fish3(2001)      -0.2643 -3.65399e-007
log_F_devs_fish3(2002)     -0.10503 8.61201e-007
log_F_devs_fish3(2003)    -0.237998 -7.45282e-008
log_F_devs_fish3(2004)     -0.47515 -5.60032e-007
log_F_devs_fish3(2005)    -0.534212 3.67164e-007
log_F_devs_fish3(2006)     -0.72782 4.03599e-007
log_F_devs_fish3(2007)    -0.692666 -2.15291e-006
log_F_devs_fish3(2008)    -0.733114 -5.35727e-007
log_F_devs_fish3(2009)    -0.747679 3.09914e-007
log_F_devs_fish3(2010)    -0.778621 -9.09651e-007
log_F_devs_fish3(2011)    -0.597064 -1.0679e-006
log_F_devs_fish3(2012)    -0.637934 -9.57652e-007
log_F_devs_fish3(2013)    -0.656365 -1.25368e-006
log_F_devs_fish3(2014)    -0.616676 -1.56534e-006
log_F_devs_fish3(2015)    -0.516155 -2.08108e-006
log_F_devs_fish3(2016)    -0.371923 2.84612e-007
log_F_devs_fish3(2017)    0.0852137 1.39043e-006
log_F_devs_fish3(2018)     0.385792 1.06156e-006
log_F_devs_fish3(2019)     0.428717 1.14334e-006
log_F_devs_fish3(2020)     0.592878 1.15714e-006
log_F_devs_fish3(2021)   -0.0363436 4.51227e-007
log_F_devs_fish3(2022)   -0.0549295 6.24315e-007
log_F_devs_fish3(2023)   -0.0813406 -1.42136e-007
log_F_devs_fish3(2024)   0.00573484 -1.03075e-006
log_q_srv1      1.85283 5.00181e-005
log_q_srv2       1.5214 1.89957e-005
log_q_srv6      1.55236 2.32864e-007
log_q_srv7    -0.175384 -1.05718e-005
log_q_srv8     -6.54191 1.13084e-006
log_q_LL_fish_recent     -7.29796 -1.58356e-007
log_a50_fish1_f      1.39608 9.58954e-006
log_delta_fish1_f    -0.621757 5.71225e-006
log_a50_fish1_m      1.89374 1.29283e-005
log_a50_fish3_f      1.73327 3.40215e-006
log_delta_fish3_f      2.30477 -3.79911e-006
log_a50_fish3_m      2.06668  1.5502e-006
log_a50_fish4_f      1.21552 -6.69627e-006
log_delta_fish4_f     0.564476 -3.28664e-006
log_a50_fish4_m      1.48381 -1.76232e-006
log_delta_fish4_m   -0.0747202 -2.36029e-006
log_a50_fish5_f     0.650508 -1.48273e-007
log_delta_fish5_f     0.861865  1.0123e-006
log_a50_fish5_m     0.798579 -2.51588e-007
log_delta_fish5_m     0.222884 5.79329e-007
log_a50_srv1_f      1.09585 -6.46835e-007
log_delta_srv1_f     0.928777 5.43556e-007
log_a50_srv1_m     0.977079 2.40739e-006
log_delta_srv1_m     0.883179 4.23772e-006
log_a50_srv7_f    -0.401843 2.13533e-006
log_a50_srv7_m     -1.34365 1.78238e-006
log_a50_srv10_f     0.661642 -1.40465e-007
log_a50_srv10_m     0.570278 -4.53803e-007
