,Fleet_name,Fleet_code,MSE,Year,Catch
1,Pollock_total,8,MS-Climate naive OM - SS_fixM_Tier3_EM,2091,439810.6507
11,Pollock_total,8,MS-SSP-126 OM - SS_fixM_Tier3_EM,2091,394535.9239
21,Pollock_total,8,MS-SSP-245 OM - SS_fixM_Tier3_EM,2091,13284.347
31,Pollock_total,8,MS-SSP-585 OM - SS_fixM_Tier3_EM,2091,58813.04986
41,Pollock_total,8,SS-Climate naive OM - SS_fixM_Tier3_EM,2091,237915.3759
51,Pollock_total,8,SS-SSP-126 OM - SS_fixM_Tier3_EM,2091,202983.532
61,Pollock_total,8,SS-SSP-245 OM - SS_fixM_Tier3_EM,2091,38483.54225
71,Pollock_total,8,SS-SSP-585 OM - SS_fixM_Tier3_EM,2091,93007.76726
2,Pollock_total,8,MS-Climate naive OM - SS_fixM_Tier3_EM,2092,449131.8861
12,Pollock_total,8,MS-SSP-126 OM - SS_fixM_Tier3_EM,2092,378270.8875
22,Pollock_total,8,MS-SSP-245 OM - SS_fixM_Tier3_EM,2092,10328.62535
32,Pollock_total,8,MS-SSP-585 OM - SS_fixM_Tier3_EM,2092,46996.63573
42,Pollock_total,8,SS-Climate naive OM - SS_fixM_Tier3_EM,2092,263294.296
52,Pollock_total,8,SS-SSP-126 OM - SS_fixM_Tier3_EM,2092,207707.7198
62,Pollock_total,8,SS-SSP-245 OM - SS_fixM_Tier3_EM,2092,29535.38978
72,Pollock_total,8,SS-SSP-585 OM - SS_fixM_Tier3_EM,2092,94267.72252
3,Pollock_total,8,MS-Climate naive OM - SS_fixM_Tier3_EM,2093,442928.98
13,Pollock_total,8,MS-SSP-126 OM - SS_fixM_Tier3_EM,2093,364937.0843
23,Pollock_total,8,MS-SSP-245 OM - SS_fixM_Tier3_EM,2093,11523.11682
33,Pollock_total,8,MS-SSP-585 OM - SS_fixM_Tier3_EM,2093,25113.87087
43,Pollock_total,8,SS-Climate naive OM - SS_fixM_Tier3_EM,2093,266257.2881
53,Pollock_total,8,SS-SSP-126 OM - SS_fixM_Tier3_EM,2093,228704.0691
63,Pollock_total,8,SS-SSP-245 OM - SS_fixM_Tier3_EM,2093,35250.714
73,Pollock_total,8,SS-SSP-585 OM - SS_fixM_Tier3_EM,2093,90355.05451
4,Pollock_total,8,MS-Climate naive OM - SS_fixM_Tier3_EM,2094,476909.614
14,Pollock_total,8,MS-SSP-126 OM - SS_fixM_Tier3_EM,2094,436140.4092
24,Pollock_total,8,MS-SSP-245 OM - SS_fixM_Tier3_EM,2094,14798.02983
34,Pollock_total,8,MS-SSP-585 OM - SS_fixM_Tier3_EM,2094,27582.44026
44,Pollock_total,8,SS-Climate naive OM - SS_fixM_Tier3_EM,2094,276628.165
54,Pollock_total,8,SS-SSP-126 OM - SS_fixM_Tier3_EM,2094,232189.1844
64,Pollock_total,8,SS-SSP-245 OM - SS_fixM_Tier3_EM,2094,52030.8143
74,Pollock_total,8,SS-SSP-585 OM - SS_fixM_Tier3_EM,2094,93430.48894
5,Pollock_total,8,MS-Climate naive OM - SS_fixM_Tier3_EM,2095,469589.8026
15,Pollock_total,8,MS-SSP-126 OM - SS_fixM_Tier3_EM,2095,353807.4645
25,Pollock_total,8,MS-SSP-245 OM - SS_fixM_Tier3_EM,2095,29453.99029
35,Pollock_total,8,MS-SSP-585 OM - SS_fixM_Tier3_EM,2095,30882.38133
45,Pollock_total,8,SS-Climate naive OM - SS_fixM_Tier3_EM,2095,276476.1701
55,Pollock_total,8,SS-SSP-126 OM - SS_fixM_Tier3_EM,2095,204648.5852
65,Pollock_total,8,SS-SSP-245 OM - SS_fixM_Tier3_EM,2095,57848.02811
75,Pollock_total,8,SS-SSP-585 OM - SS_fixM_Tier3_EM,2095,85371.73033
6,Pollock_total,8,MS-Climate naive OM - SS_fixM_Tier3_EM,2096,519133.5219
16,Pollock_total,8,MS-SSP-126 OM - SS_fixM_Tier3_EM,2096,369705.054
26,Pollock_total,8,MS-SSP-245 OM - SS_fixM_Tier3_EM,2096,35213.23451
36,Pollock_total,8,MS-SSP-585 OM - SS_fixM_Tier3_EM,2096,33586.47326
46,Pollock_total,8,SS-Climate naive OM - SS_fixM_Tier3_EM,2096,315675.6922
56,Pollock_total,8,SS-SSP-126 OM - SS_fixM_Tier3_EM,2096,243630.4425
