"","Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"5534",1,1,1,1,1,1,1,1992,1,1992.5,"M","TIME",12335.7,10361.7,11772.6,11887.9,8196.59,32440.4,4618.31,7032.96,3796.56,9170.76,1745.28,2137.21,3791.94,1068.58,1575.63,423.135,269.861,146.634,99.9731,71.3131,243.267,209.39,180.228,155.126,133.519,114.921,98.9134,85.1356,73.2769,63.07,389.72
"5536",1,1,1,1,1,1,1,1993,1,1993.5,"M","TIME",6572.78,10617.5,8913.42,10077.4,10089,6922.73,27344.5,3881.01,5887.34,3162.83,7579.52,1424.16,1709.24,2948.22,805.576,1158.9,307.821,196.069,106.564,72.6691,51.8446,176.873,152.252,131.053,112.801,97.0905,83.5671,71.9271,61.9083,53.285,329.256
"5538",1,1,1,1,1,1,1,1994,1,1994.5,"M","TIME",21578,5657.24,9133.1,7628.74,8557.71,8532.91,5843.73,23011.4,3252.21,4907.26,2614.75,6184.22,1138.78,1328.63,2222.03,592.417,842.984,223.625,142.474,77.4505,52.8239,37.6902,128.592,110.696,95.2842,82.0151,70.5923,60.7598,52.2966,45.0122,278.138
"5540",1,1,1,1,1,1,1,1995,1,1995.5,"M","TIME",20105.4,18572.3,4866.61,7820.39,6481.98,7241.16,7208.06,4923.54,19321.1,2718.94,4075.38,2148.52,4998.9,899.318,1022.46,1674.13,441.79,627.84,166.581,106.146,57.7087,39.3624,28.0867,95.8294,82.4938,71.009,61.1206,52.608,45.2805,38.9734,240.823
"5542",1,1,1,1,1,1,1,1996,1,1996.5,"M","TIME",12583.9,17304.9,15977.3,4168.56,6651.19,5491.6,6123.77,6078.58,4136.78,16162.3,2259.55,3354.23,1743.54,3979.62,701.566,785.174,1276.65,336.62,478.432,126.951,80.8993,43.9849,30.0023,21.4083,73.0438,62.8793,54.1253,46.5881,40.0995,34.5142,213.27
"5544",1,1,1,1,1,1,1,1997,1,1997.5,"M","TIME",10253.2,10831.1,14887.5,13690.8,3548.4,5640.47,4647.52,5164.9,5103.15,3453.3,13380.2,1848.33,2697.85,1371.89,3062.3,531.131,590.704,959.913,253.141,359.828,95.4884,60.8534,33.0871,22.5694,16.1046,54.9483,47.302,40.7167,35.0467,30.1656,186.4
"5546",1,1,1,1,1,1,1,1998,1,1998.5,"M","TIME",18241,8824.98,9318,12757,11657.2,3010.57,4774.96,3919.59,4333.11,4253.41,2850.96,10894.8,1475.92,2100.24,1040.61,2278.52,392.138,435.825,708.366,186.835,265.609,70.4909,44.925,24.4272,16.6625,11.8898,40.5676,34.9225,30.0607,25.8746,159.888
"5548",1,1,1,1,1,1,1,1999,1,1999.5,"M","TIME",25003.5,15700.1,7591.87,7981.92,10855.8,9884.2,2546.94,4024.02,3284.76,3605.12,3501.49,2311.13,8644.69,1139.27,1576.47,765.219,1661.96,285.84,317.751,516.546,136.26,193.727,51.4167,32.7697,17.8183,12.1544,8.67301,29.5921,25.4742,21.9278,135.505
"5550",1,1,1,1,1,1,1,2000,1,2000.5,"M","TIME",19704,21520.7,13506.1,6502.03,6787.93,9194.32,8347.82,2140.85,3360.49,2721.59,2953.6,2824.89,1825.35,6645.41,852.266,1155.91,556.447,1207.79,207.772,231.009,375.586,99.0848,140.882,37.3922,23.8318,12.9584,8.83943,6.30753,21.5211,18.5264,114.494
"5552",1,1,1,1,1,1,1,2001,1,2001.5,"M","TIME",12097,16959.4,18512.8,11564.7,5526.7,5745.31,7758.41,7006.94,1783.64,2774.7,2219.97,2369.97,2218.01,1394.7,4943.45,622.219,838.167,403.368,875.749,150.685,167.564,272.464,71.8843,102.211,27.1289,17.2906,9.40175,6.41328,4.57632,15.6143,96.5108
"5554",1,1,1,1,1,1,1,2002,1,2002.5,"M","TIME",19350.2,10411.9,14589,15852,9828.46,4676,4845.06,6505.44,5828.09,1468.97,2254.61,1771.55,1846.62,1677.65,1024.69,3558.84,444.62,598.764,288.248,625.982,107.73,119.814,194.837,51.4063,73.0954,19.4012,12.3655,6.72371,4.5865,3.27278,80.1869
"5556",1,1,1,1,1,1,1,2003,1,2003.5,"M","TIME",13735.4,16654.8,8956.42,12489.4,13466.5,8309.52,3937.14,4050.51,5385.59,4770.01,1184.13,1782.12,1364.53,1377.62,1213.47,725.556,2500.87,312.403,420.886,202.686,440.282,75.7846,84.2941,137.083,36.1695,51.4306,13.651,8.70052,4.7309,3.22713,58.7235
