"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23"
"1",1984,200,83486.3842810653,0,45327252.8960642,75623296.3969255,109674450.556364,200713681.625596,105838374.8765,74077690.2067159,33268737.3286624,25931290.1408387,24123426.6535185,17622880.3329358,10680927.5952146,11665393.116059,38714159.4873367,0,0,0,0,0,0
"2",1987,200,0,16214256.4702786,140083731.141513,113980784.394409,64153577.3781221,87871505.2805837,57110796.2310998,47069839.5262403,40329381.4200357,32308169.3566145,11793869.5011664,12388464.5147006,15958104.9318564,4178648.64962093,2627742.57208866,7219654.80625348,523112.631279436,0,0,0,0
"3",1990,200,0,58120533.7969322,114899498.07022,133507096.570812,192665165.713726,228707753.825292,132963485.673883,102301480.750556,91430918.9550237,47632304.2998562,60150158.5789686,45968633.5116165,22569077.191793,10452488.0859811,16775700.3670079,11317488.8912233,12735569.4144277,12194801.576364,3719014.66271422,0,3238988.39032503
"4",1993,200,2317874.92963429,73796215.6869349,121007666.177608,104476384.483474,97500013.5990785,144586687.533863,139624008.780078,114385789.788107,173557622.169092,76059235.1719309,38289652.6313494,49813135.7930752,26363875.3906932,13560365.9291899,8258763.81361219,3924716.75663891,4090110.67089854,2317753.59111588,345612.207190791,858778.070556487,441637.523769929
"5",1996,200,659251.192133258,67554712.2660355,107255600.521526,121124943.103027,111941998.868962,164736731.999097,152668993.295736,118363298.792952,143963014.215367,140636383.55579,36113325.7292605,23742023.3441842,14993081.4140296,7525105.01727514,2671438.16801045,2293219.38518133,294561.11488821,151982.665905924,0,135963.425430524,0
"6",1999,200,1474814.79313172,78329969.7748738,137199876.702841,156401404.665498,100801238.495874,99985821.4769746,93200274.7481959,89209331.564506,77343260.6159217,58004930.7219888,46768985.4803325,49111586.2304047,21487807.4661712,15706629.4531056,16093707.833636,3319860.00061526,6430943.0880498,519789.218634944,1198558.23926606,0,4515751.94898364
"7",2001,200,1895027.93465374,166341703.058866,107392081.090434,149991013.478636,114300881.14484,86857418.6693236,111746374.848489,59700681.7276049,66903993.9634751,64328041.6035254,42795815.4793054,42206307.1709291,31946032.7522265,30792617.10707,22880963.6071965,14195379.0567065,7646633.12285682,2745571.42497447,1515575.08797712,1102333.79352478,937823.277915885
"8",2003,200,26465664.8414667,177661819.074762,160720560.518055,347194226.896269,294092818.526045,226726465.310153,214271710.92961,150216016.687826,98765695.2809996,115449128.863042,97438227.3201487,60155340.2738979,67361619.9038245,40231130.9739061,35350180.7265666,36216584.5105221,6456237.63892067,10324493.742919,5532202.01680429,6015203.46182428,2381399.53992854
"9",2005,200,6933228.91879072,70231639.5017122,129982342.755833,153155286.745101,288106189.972091,301847938.287788,328865169.403732,162898539.158005,53708526.9792317,45598816.1736917,57465740.5607738,33150155.4279532,25637405.2911984,17772337.0882446,16079009.3375815,20134128.279652,6452909.98666559,6761391.24412855,876532.743516986,3095009.84188749,4222.7269410825
"10",2007,200,601749.576930998,81061066.0762028,144807954.155474,166815177.981218,143633399.738744,163470581.319238,152254395.917861,225104197.805536,102703459.611761,96219863.3688544,64830176.4806574,36030325.582223,45012664.7629297,16137015.0135358,8523267.59504192,33249162.2555999,18992437.1271123,7785478.42576256,10284219.9572743,6271959.37452119,6986729.5003584
"11",2009,200,2096418.68626046,137153599.988192,109112461.086982,235796470.806985,206875154.350405,145242742.597913,165611158.775589,107649725.478381,83874342.6936127,156802631.693092,53424033.8630951,34966741.796283,21198175.8241077,21989961.0703946,11423101.5315536,19836770.6569021,12539030.3643363,5133952.26036207,5349472.00904741,3521081.17871728,10095605.0634165
"12",2011,200,2469011.83295723,45489259.2391237,81228937.1465488,152735366.719458,116189348.879588,146174603.15877,144467177.547848,140154925.485204,117689867.72355,87092810.5343446,84743453.7431547,69403075.0484432,20847649.6368368,41660347.1402783,9651936.60593127,11687344.157009,9451337.22394833,6003108.35800133,11134290.118908,5220690.9312655,5967531.85888037
"13",2013,200,8946905.94076628,97707939.7499493,129637539.776309,79058333.7221915,95963157.5946504,89196139.889325,108930071.761038,115886942.8216,82952733.2236233,42275188.3533594,28922652.7037919,37921395.1383066,18416781.8064982,31260007.1934467,15286779.748887,5198932.48345858,4239538.03416259,1364166.35088934,979535.088080204,199430.915362172,1874197.85858837
"14",2015,200,9123632.03800615,119612883.189624,283434624.631073,237289087.620173,166734096.168066,106448453.041871,120337714.098156,101449067.817089,96020980.1241189,106523225.970082,37024629.3951455,31539739.2362909,32263352.4108997,22272741.9278915,16771534.4847091,13209576.1347053,11227416.9759975,936537.259464324,81124.1477208529,790935.64583329,230190.98488401
