
Initial statistics: 59 variables; iteration 0; function evaluation 0; phase 1
Function value 1.9189503e+06; maximum gradient component mag -1.4290e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 18.00000 -1.42900e+06 |  2 -5.00000 -1.35266e+06 |  3  0.11294  2.35154e+05
  4  0.11294  2.35386e+05 |  5  0.11294  2.35714e+05 |  6  0.11294  2.36140e+05
  7  0.11294  2.36665e+05 |  8  0.11294  9.36514e+04 |  9  0.11294  1.00998e+05
 10  0.11294  1.27873e+05 | 11  0.11294  1.51442e+05 | 12  0.11294  1.18867e+05
 13  0.11294  1.61713e+05 | 14  0.11294  4.06675e+04 | 15  0.11294 -3.29749e+04
 16  0.11294  3.22809e+04 | 17  0.11294  8.39432e+04 | 18  0.11294  7.57727e+04
 19  0.11294 -2.75904e+04 | 20  0.11294 -1.71966e+04 | 21  0.11294 -7.88910e+03
 22  0.11294 -1.12096e+04 | 23  0.11294 -6.35436e+03 | 24  0.11294  3.67401e+04
 25  0.11294  8.51494e+03 | 26  0.11294  6.40075e+04 | 27  0.11294  1.38575e+05
 28  0.11294  1.60748e+05 | 29  0.11294  3.35778e+04 | 30  0.11294  3.09376e+04
 31  0.11294  9.44043e+04 | 32  0.11294 -4.64829e+03 | 33  0.11294 -2.83735e+04
 34  0.11294 -7.05884e+04 | 35  0.11294 -6.81281e+04 | 36  0.11294 -1.05996e+05
 37  0.11294 -8.36175e+04 | 38  0.11294 -1.02229e+05 | 39  0.11294 -7.25945e+04
 40  0.11294 -5.15485e+04 | 41  0.11294 -7.17472e+04 | 42  0.11294 -1.08596e+05
 43  0.11294 -9.09851e+04 | 44  0.11294 -9.67414e+04 | 45  0.11294 -1.28567e+05
 46  0.11294 -6.74023e+04 | 47  0.11294 -9.09863e+04 | 48  0.11294 -1.22021e+05
 49  0.11294 -1.15161e+05 | 50  0.11294 -1.28484e+05 | 51  0.11294 -1.14533e+05
 52  0.11294 -1.12175e+05 | 53  0.11294 -1.36150e+05 | 54  0.11294 -9.96774e+04
 55  0.11294 -1.05214e+05 | 56  0.11294 -1.53811e+05 | 57  0.11294 -9.63510e+04
 58  0.11294 -1.01262e+05 | 59  0.11294 -1.02970e+05 |

Intermediate statistics: 59 variables; iteration 20; function evaluation 45; phase 1
Function value 2.8448037e+05; maximum gradient component mag -4.3288e+05
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 20.68655 -4.32883e+05 |  2 -6.46219 -4.24916e+05 |  3 -0.37765 -1.97497e+04
  4 -0.04875  1.65978e+05 |  5 -0.30196  1.46432e+04 |  6 -0.43198 -3.96464e+04
  7 -0.16262  9.37816e+04 |  8 -0.06636  1.00197e+04 |  9 -0.07715  1.08596e+04
 10 -0.16848 -1.67998e+04 | 11 -0.26181 -4.42538e+04 | 12 -0.06735  3.41491e+04
 13 -0.19207  1.72548e+03 | 14  0.01848  7.35245e+03 | 15  0.06093 -4.07834e+04
 16  0.06611  2.85078e+04 | 17 -0.05715  4.51375e+03 | 18 -0.03368  1.04534e+04
 19  0.08142 -2.30165e+04 | 20  0.10379  1.24650e+03 | 21  0.10371  1.06063e+04
 22  0.09331  1.01587e+03 | 23  0.08071 -1.76801e+03 | 24  0.03497  1.35541e+04
 25  0.04638 -8.19239e+03 | 26 -0.01924  7.16342e+03 | 27 -0.22625 -4.04350e+04
 28 -0.19872 -5.23713e+03 | 29  0.07764  3.34649e+04 | 30  0.10018  4.38234e+04
 31  0.11944  1.17873e+05 | 32  0.16687  4.59889e+04 | 33  0.15549  1.57378e+04
 34  0.26369  3.42755e+04 | 35  0.29314  5.08978e+04 | 36  0.18892 -4.12498e+04
 37  0.28564  3.29713e+04 | 38  0.33777  4.08612e+04 | 39  0.20256 -1.26194e+03
 40 -0.05922 -1.41072e+05 | 41  0.17500 -1.68103e+04 | 42  0.37065  4.88168e+04
 43  0.17284 -3.70054e+04 | 44  0.17567 -4.08022e+04 | 45  0.10228 -1.17866e+05
 46  0.33465  6.97120e+04 | 47  0.32341  4.43265e+04 | 48  0.38267  4.33758e+04
 49  0.16874 -6.19959e+04 | 50  0.10026 -1.17662e+05 | 51  0.13563 -8.05879e+04
 52 -0.02479 -1.78331e+05 | 53  0.47870  6.32662e+04 | 54  0.10555 -8.27547e+04
 55  0.22473 -1.58465e+04 | 56  0.36312  1.01331e+04 | 57  0.23707  1.33100e+03
 58  0.23367 -4.04749e+03 | 59  0.20933 -2.01688e+04 |
59 variables; iteration 40; function evaluation 85; phase 1
Function value 1.9904840e+03; maximum gradient component mag 1.0756e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 21.04442  3.19823e+03 |  2 -6.26828  6.03265e+02 |  3 -0.31419 -1.37812e+03
  4 -0.30671  2.22908e+03 |  5 -0.31105  1.12283e+02 |  6 -0.30503  3.03426e+03
  7 -0.30819  1.48260e+03 |  8 -0.06253  8.88905e+02 |  9 -0.07440  1.08582e+03
 10 -0.11828  1.41053e+03 | 11 -0.15528  2.61291e+03 | 12 -0.10163  1.73629e+03
 13 -0.17183  2.31095e+03 | 14  0.02535 -1.23283e+02 | 15  0.14651 -6.07919e+02
 16  0.03811 -5.30402e+02 | 17 -0.04459  6.40030e+02 | 18 -0.03118  3.34465e+02
 19  0.13796 -7.05045e+02 | 20  0.12008 -8.56175e+02 | 21  0.10461 -7.53381e+02
 22  0.10990 -8.42283e+02 | 23  0.10182 -8.09670e+02 | 24  0.03161 -3.39907e+02
 25  0.07794 -6.21061e+02 | 26 -0.01215 -1.63880e+02 | 27 -0.13181  1.40286e+03
 28 -0.16938  3.49157e+02 | 29  0.04148 -3.50239e+02 | 30  0.04659 -4.09728e+02
 31 -0.05627 -2.60581e+02 | 32  0.10619 -1.34059e+03 | 33  0.14728 -9.59834e+02
 34  0.22174 -7.93068e+01 | 35  0.21330 -2.63024e+03 | 36  0.28220 -1.87356e+03
 37  0.24659  2.36657e+02 | 38  0.27471 -2.61167e+03 | 39  0.22511 -1.24805e+03
 40  0.18963 -9.34001e+02 | 41  0.22565 -5.17780e+02 | 42  0.28850 -2.09244e+03
 43  0.25803 -1.50921e+03 | 44  0.26745 -1.96895e+03 | 45  0.32080 -4.27171e+03
 46  0.21428 -2.61994e+03 | 47  0.25441 -3.11774e+03 | 48  0.31970  1.48113e+03
 49  0.29810 -2.49490e+03 | 50  0.32160 -2.65160e+03 | 51  0.29318 -3.44868e+03
 52  0.28811 -3.22671e+03 | 53  0.36214  1.07564e+04 | 54  0.26769 -5.92219e+02
 55  0.27796  5.04721e+02 | 56  0.36654  1.88978e+02 | 57  0.26009  1.72840e+03
 58  0.26397  4.22663e+02 | 59  0.26749 -1.87632e+02 |
59 variables; iteration 60; function evaluation 129; phase 1
Function value 7.3662713e+02; maximum gradient component mag -3.4646e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 20.60351 -1.97140e+03 |  2 -5.82138 -3.46459e+03 |  3 -0.28996 -6.89585e+01
  4 -0.29164 -9.15496e+02 |  5 -0.28965  5.91759e+01 |  6 -0.29096 -6.03249e+02
  7 -0.29243 -1.34581e+03 |  8 -0.04098  2.31209e+03 |  9 -0.05854 -1.03314e+03
 10 -0.10219 -6.63117e+02 | 11 -0.14056 -3.62245e+02 | 12 -0.08800 -1.82296e+03
 13 -0.15716 -7.47689e+02 | 14  0.04467 -1.52399e+02 | 15  0.16931  9.86351e+02
 16  0.05422 -2.68274e+03 | 17 -0.02465  8.31332e+02 | 18 -0.00928  1.74169e+03
 19  0.15899 -2.32074e+02 | 20  0.14107 -4.00582e+02 | 21  0.12607 -1.30074e+01
 22  0.13267  6.09985e+02 | 23  0.12444  5.42989e+02 | 24  0.05547  1.95905e+03
 25  0.09859 -3.95797e+02 | 26  0.00787 -2.09512e+02 | 27 -0.11279  5.73068e+02
 28 -0.14864  4.22557e+02 | 29  0.05965 -1.48292e+03 | 30  0.06878  9.06729e+02
 31 -0.03373  1.31043e+03 | 32  0.13026  9.07615e+02 | 33  0.17267  1.76610e+03
 34  0.24266 -4.49807e+02 | 35  0.23969 -8.81822e+01 | 36  0.31037  6.46744e+02
 37  0.27086  1.01198e+03 | 38  0.30207 -6.56684e+02 | 39  0.24731 -1.60528e+03
 40  0.21458  4.07373e+02 | 41  0.24681 -1.54068e+03 | 42  0.31596 -5.71342e+02
 43  0.28510  5.98126e+01 | 44  0.30008  2.16414e+03 | 45  0.35671  4.20783e+02
 46  0.24440  7.38763e+02 | 47  0.28739  1.18910e+03 | 48  0.33874 -1.73545e+03
 49  0.33159  1.20722e+03 | 50  0.35496  5.27025e+02 | 51  0.32727  4.69948e+02
 52  0.32423  1.68219e+03 | 53  0.36142 -1.63471e+03 | 54  0.29375 -4.19870e+02
 55  0.30245 -2.05614e+02 | 56  0.39396 -1.69068e+02 | 57  0.28317  3.07622e+02
 58  0.28942  2.21072e+02 | 59  0.29458  4.80805e+02 |
59 variables; iteration 80; function evaluation 164; phase 1
Function value 1.6773147e+02; maximum gradient component mag 6.1207e-02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 19.99172 -2.18160e-02 |  2 -5.17759 -2.47650e-02 |  3 -0.29971 -1.97847e-03
  4 -0.29966 -3.78652e-02 |  5 -0.29961 -2.46339e-03 |  6 -0.29957 -1.10156e-02
  7 -0.29952 -2.51656e-04 |  8 -0.05346 -2.90516e-02 |  9 -0.06551  1.33363e-02
 10 -0.10976  1.11270e-03 | 11 -0.14867  9.65536e-03 | 12 -0.09355 -3.26597e-02
 13 -0.16457  1.00326e-03 | 14  0.03657  6.12069e-02 | 15  0.15926  1.28590e-02
 16  0.05074  1.64907e-02 | 17 -0.03373 -2.67425e-02 | 18 -0.01978  2.48258e-03
 19  0.15165  3.98429e-03 | 20  0.13433 -2.49007e-02 | 21  0.11892  1.39544e-02
 22  0.12465 -3.95466e-02 | 23  0.11672 -2.57160e-03 | 24  0.04565  8.64550e-04
 25  0.09260  1.93999e-02 | 26  0.00164 -3.43114e-02 | 27 -0.12054 -5.24843e-04
 28 -0.15640  8.63846e-03 | 29  0.05512  2.81885e-02 | 30  0.06035 -1.74207e-03
 31 -0.04282  5.64539e-03 | 32  0.12165  2.37041e-03 | 33  0.16259 -6.36197e-03
 34  0.23660  8.76659e-03 | 35  0.23347  1.30185e-02 | 36  0.30302  2.48391e-02
 37  0.26375  2.18366e-02 | 38  0.29880  4.62761e-03 | 39  0.24644  1.97071e-02
 40  0.21027 -7.58165e-03 | 41  0.24626 -1.96751e-03 | 42  0.31399  1.07081e-02
 43  0.28243  3.76750e-03 | 44  0.29351 -2.84980e-04 | 45  0.35413  1.58262e-02
 46  0.24194  2.87795e-04 | 47  0.28403  8.66720e-03 | 48  0.34192  1.19023e-03
 49  0.32897  3.23449e-02 | 50  0.35432  3.39459e-03 | 51  0.32730 -3.30664e-02
 52  0.32200  1.39172e-02 | 53  0.36701  3.08472e-02 | 54  0.29664 -1.85063e-02
 55  0.30492 -7.76418e-03 | 56  0.39705 -1.10441e-02 | 57  0.28531 -1.45014e-02
 58  0.29155 -2.61638e-02 | 59  0.29579 -3.65376e-02 |

 - final statistics:
59 variables; iteration 83; function evaluation 167
Function value 1.6773e+02; maximum gradient component mag -4.1425e-04
Exit code = 1;  converg criter 1.0000e-03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 19.99172  5.66772e-05 |  2 -5.17759  8.84306e-05 |  3 -0.29971 -2.95390e-05
  4 -0.29966 -5.00505e-05 |  5 -0.29961 -1.13169e-04 |  6 -0.29957  1.49233e-04
  7 -0.29952 -8.20357e-05 |  8 -0.05346  1.59870e-04 |  9 -0.06551 -1.15111e-04
 10 -0.10976 -1.12609e-04 | 11 -0.14867 -1.30610e-04 | 12 -0.09355  8.29789e-05
 13 -0.16457 -8.53618e-05 | 14  0.03657 -4.14255e-04 | 15  0.15926 -1.82207e-05
 16  0.05074 -2.26574e-04 | 17 -0.03373  1.62791e-04 | 18 -0.01978  3.95514e-05
 19  0.15165 -1.13997e-05 | 20  0.13433  1.26677e-04 | 21  0.11892 -1.00346e-04
 22  0.12465  2.15245e-04 | 23  0.11672  2.97598e-05 | 24  0.04565  1.51666e-06
 25  0.09260 -9.01121e-05 | 26  0.00164  2.07568e-04 | 27 -0.12054 -4.19508e-06
 28 -0.15640 -1.49045e-04 | 29  0.05512 -2.26826e-04 | 30  0.06035 -1.24049e-05
 31 -0.04282 -1.14257e-04 | 32  0.12165 -4.53339e-05 | 33  0.16259  5.53628e-05
 34  0.23660  3.37956e-05 | 35  0.23347  3.95495e-05 | 36  0.30302  3.40816e-04
 37  0.26375  4.56017e-05 | 38  0.29880  2.71546e-04 | 39  0.24644 -1.16598e-04
 40  0.21027  3.80012e-05 | 41  0.24626 -3.49896e-05 | 42  0.31399  9.70981e-05
 43  0.28243  3.41682e-05 | 44  0.29351  1.26259e-04 | 45  0.35413  2.28906e-04
 46  0.24194 -2.45879e-05 | 47  0.28403  4.21964e-05 | 48  0.34192  8.03766e-05
 49  0.32897 -7.88854e-05 | 50  0.35432 -6.58447e-06 | 51  0.32730  7.31072e-05
 52  0.32200 -3.74376e-05 | 53  0.36701 -1.46696e-04 | 54  0.29664 -9.07548e-07
 55  0.30492 -1.03871e-05 | 56  0.39705 -2.69517e-04 | 57  0.28531  7.28761e-05
 58  0.29155 -3.73359e-05 | 59  0.29579 -9.32073e-05 |

Initial statistics: 148 variables; iteration 0; function evaluation 0; phase 2
Function value 1.1640695e+03; maximum gradient component mag -6.8451e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.68165 -5.78297e+02 |  2  0.09126 -1.65927e+02 |  3 -0.79524 -3.23936e+02
  4 -0.27360 -7.52638e+01 |  5 -0.50650 -6.74156e+01 |  6 -0.21635 -8.67046e+01
  7  0.40319  7.99179e+01 |  8  0.37499  2.10767e+02 |  9 -0.50650 -6.54362e-07
 10 -0.21635 -1.23413e-07 | 11 -0.63924 -9.89442e-07 | 12  0.17585  8.09598e-08
 13 19.99172 -1.76127e+00 | 14  0.00000  1.13383e+02 | 15  0.00000  2.24616e+01
 16  0.00000  2.61506e+01 | 17  0.00000  3.03487e+01 | 18  0.00000  3.50963e+01
 19  0.00000  4.04235e+01 | 20  0.00000  4.63415e+01 | 21  0.00000  5.28412e+01
 22  0.00000  5.98714e+01 | 23  0.00000  6.73176e+01 | 24  0.00000  7.49711e+01
 25  0.00000  8.25063e+01 | 26  0.00000  8.94266e+01 | 27  0.00000  9.50550e+01
 28  0.00000  9.86126e+01 | 29  0.00000  9.53139e+01 | 30  0.00000  9.10301e+01
 31  0.00000  8.56598e+01 | 32  0.00000  8.37203e+01 | 33  0.00000  8.78503e+01
 34  0.00000  9.76522e+01 | 35  0.00000  1.11282e+02 | 36  0.00000  1.28736e+02
 37  0.00000  1.47995e+02 | 38  0.00000  1.61581e+02 | 39  0.00000  1.79192e+02
 40  0.00000  1.94770e+02 | 41  0.00000  1.97850e+02 | 42  0.00000  1.95029e+02
 43  0.00000  1.81233e+02 | 44  0.00000  1.60818e+02 | 45  0.00000  1.44038e+02
 46  0.00000  1.42234e+02 | 47  0.00000  1.70400e+02 | 48  0.00000  2.28195e+02
 49  0.00000  2.56274e+02 | 50  0.00000  2.52076e+02 | 51  0.00000  2.05573e+02
 52  0.00000  1.35718e+02 | 53  0.00000  1.03553e+02 | 54  0.00000  8.92193e+01
 55  0.00000  4.75003e+01 | 56  0.00000 -1.27350e+01 | 57  0.00000 -1.52378e+02
 58  0.00000 -2.92201e+02 | 59  0.00000 -1.72144e+02 | 60  0.00000 -1.99943e+02
 61  0.00000 -2.83431e+02 | 62  0.00000 -2.76962e+02 | 63  0.00000 -2.63782e+02
 64  0.00000 -3.60581e+02 | 65  0.00000 -4.08909e+02 | 66  0.00000 -3.45223e+02
 67  0.00000 -3.95623e+02 | 68  0.00000 -4.11849e+02 | 69  0.00000 -4.04435e+02
 70  0.00000 -5.00680e+02 | 71  0.00000 -5.54846e+02 | 72  0.00000 -5.18891e+02
 73  0.00000 -6.84514e+02 | 74  0.00000 -3.84850e+02 | 75  0.00000 -2.84833e+02
 76  0.00000 -1.66450e+02 | 77  0.00000 -1.79116e+02 | 78  0.00000 -1.79111e+02
 79  0.00000 -1.34225e+02 | 80  0.00000  1.02075e+02 | 81  0.00000  1.70667e+02
 82  0.00000  3.76164e+02 | 83  0.00000  4.12403e+02 | 84  0.00000  3.48531e+02
 85  0.00000  2.67620e+02 | 86  0.00000  2.40554e+02 | 87  0.00000  2.55621e+02
 88  0.00000  2.98988e+02 | 89  0.00000  1.85252e+02 | 90  0.00000  5.38948e-01
 91 -5.17759  1.21161e+01 | 92 -0.29971 -1.26937e+00 | 93 -0.29966 -1.27042e+00
 94 -0.29961 -1.27169e+00 | 95 -0.29957 -1.27282e+00 | 96 -0.29952 -1.27463e+00
 97 -0.05346 -1.47525e+00 | 98 -0.06551 -1.47743e+00 | 99 -0.10976 -1.45365e+00
100 -0.14867 -1.42801e+00 |101 -0.09355 -1.47834e+00 |102 -0.16457 -1.42001e+00
103  0.03657 -1.60867e+00 |104  0.15926 -1.79493e+00 |105  0.05074 -1.63097e+00
106 -0.03373 -1.47616e+00 |107 -0.01978 -1.49696e+00 |108  0.15165 -1.68290e+00
109  0.13433 -1.71056e+00 |110  0.11892 -1.73842e+00 |111  0.12465 -1.78556e+00
112  0.11672 -1.80522e+00 |113  0.04565 -1.70477e+00 |114  0.09260 -1.83966e+00
115  0.00164 -1.62722e+00 |116 -0.12054 -1.47871e+00 |117 -0.15640 -1.42938e+00
118  0.05512 -1.49843e+00 |119  0.06035 -1.46283e+00 |120 -0.04282 -1.41747e+00
121  0.12165 -1.25047e+00 |122  0.16259 -1.28598e+00 |123  0.23660 -9.12820e-01
124  0.23347 -5.65345e-01 |125  0.30302  2.62983e-01 |126  0.26375  2.47196e-01
127  0.29880  1.13161e+00 |128  0.24644  7.70544e-01 |129  0.21027  6.17100e-01
130  0.24626  1.26981e+00 |131  0.31399  2.35979e+00 |132  0.28243  2.08184e+00
133  0.29351  2.08949e+00 |134  0.35413  3.71966e+00 |135  0.24194  1.53651e+00
136  0.28403  2.75033e+00 |137  0.34192  4.20885e+00 |138  0.32897  4.07702e+00
139  0.35432  4.63855e+00 |140  0.32730  3.95773e+00 |141  0.32200  3.17952e+00
142  0.36701  3.55735e+00 |143  0.29664  1.50474e+00 |144  0.30492  1.27851e+00
145  0.39705  1.08632e+00 |146  0.28531 -4.76908e-01 |147  0.29155 -1.19549e+00
148  0.29579 -1.26869e+00 |

Intermediate statistics: 148 variables; iteration 20; function evaluation 24; phase 2
Function value 9.2544931e+02; maximum gradient component mag -4.4396e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.44688 -9.98050e+01 |  2  0.18139 -1.63384e+02 |  3 -0.57071 -3.59291e+02
  4 -0.23569 -2.11652e+01 |  5 -0.48908  2.64735e+01 |  6 -0.17585 -5.47471e+01
  7  0.36175  2.17607e+01 |  8  0.25385  1.23954e+02 |  9 -0.50650 -6.54362e-07
 10 -0.21635 -1.23413e-07 | 11 -0.63924 -9.89442e-07 | 12  0.17585  8.09598e-08
 13 19.94206 -7.21548e+01 | 14 -0.04161  1.62156e+02 | 15  0.00919  1.57522e+02
 16  0.00879  1.75159e+02 | 17  0.00825  1.97069e+02 | 18  0.00755  2.22422e+02
 19  0.00663  2.49278e+02 | 20  0.00542  2.69848e+02 | 21  0.00386  2.87443e+02
 22  0.00194  3.03095e+02 | 23 -0.00034  3.16532e+02 | 24 -0.00285  3.27750e+02
 25 -0.00535  3.36548e+02 | 26 -0.00740  3.48509e+02 | 27 -0.00842  3.60322e+02
 28 -0.00761  3.80209e+02 | 29  0.00071  4.60913e+02 | 30  0.00867  5.35811e+02
 31  0.01522  6.08476e+02 | 32  0.01518  6.10622e+02 | 33  0.00977  5.46695e+02
 34  0.00386  4.74908e+02 | 35  0.00001  4.24816e+02 | 36 -0.00319  3.99307e+02
 37 -0.00729  3.99166e+02 | 38 -0.00958  4.53995e+02 | 39 -0.01615  4.84025e+02
 40 -0.02352  5.05117e+02 | 41 -0.02009  6.76442e+02 | 42 -0.01145  9.90532e+02
 43  0.00511  1.67687e+03 | 44  0.01640  2.39201e+03 | 45  0.01061  2.18583e+03
 46 -0.00372  1.56275e+03 | 47 -0.02021  1.01013e+03 | 48 -0.03243  6.96348e+02
 49 -0.03086  6.61070e+02 | 50 -0.01917  7.86820e+02 | 51 -0.01259  7.96461e+02
 52 -0.01491  6.15745e+02 | 53 -0.00919  7.15046e+02 | 54  0.00310  1.10009e+03
 55  0.01023  1.38917e+03 | 56  0.01332  1.53211e+03 | 57  0.00604  1.16314e+03
 58 -0.01212  5.02487e+02 | 59  0.02627  2.24778e+03 | 60  0.02492  2.12620e+03
 61  0.02112  1.75646e+03 | 62  0.01792  1.47971e+03 | 63  0.01663  1.19088e+03
 64  0.01386  6.48408e+02 | 65  0.00984  1.17930e+02 | 66  0.00656 -3.28898e+02
 67  0.00495 -8.71256e+02 | 68  0.00352 -1.33980e+03 | 69  0.00206 -1.71742e+03
 70  0.00444 -2.24349e+03 | 71  0.00759 -2.71224e+03 | 72  0.01279 -3.16281e+03
 73  0.02689 -4.43960e+03 | 74  0.01015 -2.98918e+03 | 75  0.00787 -2.83121e+03
 76  0.00615 -2.71281e+03 | 77  0.00008 -2.50954e+03 | 78 -0.00542 -2.33405e+03
 79 -0.01165 -2.09302e+03 | 80 -0.01722 -1.68889e+03 | 81 -0.01517 -1.58583e+03
 82 -0.00092 -1.53753e+03 | 83  0.00315 -1.18908e+03 | 84  0.00380 -8.24760e+02
 85  0.00298 -5.34064e+02 | 86  0.00486 -2.85474e+02 | 87 -0.00049 -1.05474e+02
 88 -0.01874  2.35723e+00 | 89 -0.02839 -2.27579e+01 | 90  0.00976  3.29111e+01
 91 -5.17029 -7.17111e+01 | 92 -0.28030  3.86830e+02 | 93 -0.28496  1.83971e+02
 94 -0.29029  4.87648e+00 | 95 -0.29525 -7.23670e+01 | 96 -0.29889 -2.77158e+01
 97 -0.05405  4.48667e+02 | 98 -0.06657  4.22602e+02 | 99 -0.11023  2.03731e+02
100 -0.14731 -1.68036e+01 |101 -0.08935 -1.97933e+02 |102 -0.15643 -2.38175e+02
103  0.04808 -5.34847e+02 |104  0.17548 -1.79251e+02 |105  0.06841 -2.89014e+02
106 -0.01585 -1.29325e+02 |107 -0.00302  7.39691e+01 |108  0.16760  2.86692e+01
109  0.15103  3.38010e+02 |110  0.13862  6.80609e+02 |111  0.14897  8.33082e+02
112  0.14610  8.80120e+02 |113  0.07891  8.38485e+02 |114  0.12905  5.18993e+02
115  0.03875  1.71215e+02 |116 -0.08320  1.32745e+02 |117 -0.12132  1.16521e+02
118  0.08480 -3.70300e+01 |119  0.08460  4.37448e+01 |120 -0.02437  2.24931e+02
121  0.13354  1.36492e+02 |122  0.16635 -1.11887e+00 |123  0.23188  9.33417e+01
124  0.22095  2.36800e+02 |125  0.28307  3.00831e+02 |126  0.23975  6.69944e+02
127  0.27081  8.44264e+02 |128  0.21773  1.17197e+03 |129  0.18159  1.38114e+03
130  0.21693  1.22595e+03 |131  0.28310  7.93467e+02 |132  0.25257  5.65966e+02
133  0.26291  6.67268e+01 |134  0.32075 -2.95564e+02 |135  0.20887 -1.00494e+03
136  0.24864 -8.96751e+02 |137  0.30359 -7.58912e+02 |138  0.29119 -6.72226e+02
139  0.31724 -6.58241e+02 |140  0.29466 -4.09520e+02 |141  0.29402 -3.74745e+02
142  0.34458  7.85787e+01 |143  0.28035 -5.63988e+02 |144  0.29348 -8.68529e+02
145  0.38622 -2.07299e+03 |146  0.28048 -1.32971e+03 |147  0.28882 -1.23065e+03
148  0.29399 -1.13670e+03 |
148 variables; iteration 40; function evaluation 45; phase 2
Function value 8.4556782e+02; maximum gradient component mag 5.5015e+03
