
Initial statistics: 59 variables; iteration 0; function evaluation 0; phase 1
Function value 1.9189503e+06; maximum gradient component mag -1.4290e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.47619  1.65394e+02 |  2  0.25584 -1.93395e+03 |  3 -0.33580 -3.39043e+02
  4 -0.28385 -1.38528e+03 |  5 -0.52048  2.57168e+01 |  6 -0.14026  2.12362e+01
  7  0.32266 -4.18654e+01 |  8  0.05784 -6.08092e+00 |  9 -0.50650 -6.54362e-07
 10 -0.21635 -1.23413e-07 | 11 -0.63924 -9.89442e-07 | 12  0.17585  8.09598e-08
 13 19.84827  5.50150e+03 | 14 -0.05548 -1.19850e+03 | 15  0.00437 -1.19094e+03
 16  0.00328 -1.11019e+03 | 17  0.00216 -1.02549e+03 | 18  0.00093 -9.38366e+02
 19 -0.00049 -8.49291e+02 | 20 -0.00211 -7.51494e+02 | 21 -0.00397 -6.51865e+02
 22 -0.00603 -5.51640e+02 | 23 -0.00820 -4.49501e+02 | 24 -0.01034 -3.44926e+02
 25 -0.01226 -2.39299e+02 | 26 -0.01360 -1.14115e+02 | 27 -0.01399  4.28775e+01
 28 -0.01300  2.41103e+02 | 29 -0.00705  6.71750e+02 | 30 -0.00038  1.16382e+03
 31  0.00517  1.57160e+03 | 32  0.00630  1.59701e+03 | 33  0.00454  1.37669e+03
 34  0.00205  1.14404e+03 | 35 -0.00153  9.05310e+02 | 36 -0.00727  6.09589e+02
 37 -0.01371  3.41660e+02 | 38 -0.01654  2.86669e+02 | 39 -0.02212  1.21975e+02
 40 -0.02829 -4.18221e+01 | 41 -0.02533  1.92988e+02 | 42 -0.01714  7.43847e+02
 43  0.00034  2.20186e+03 | 44  0.00916  3.29478e+03 | 45  0.01262  3.85780e+03
 46 -0.00132  2.30278e+03 | 47 -0.02234  6.45511e+02 | 48 -0.04211 -3.58509e+02
 49 -0.04250 -5.21783e+02 | 50 -0.02373 -9.15893e+01 | 51 -0.01182  6.32077e+01
 52 -0.01157 -3.02737e+02 | 53 -0.00608 -2.96625e+02 | 54  0.00604  2.33395e+02
 55  0.01280  7.86706e+02 | 56  0.01395  1.17399e+03 | 57  0.00781  9.59117e+02
 58 -0.01316 -2.25384e+02 | 59  0.02234  2.75605e+03 | 60  0.02581  3.07867e+03
 61  0.02736  2.92425e+03 | 62  0.02082  1.92617e+03 | 63  0.01943  1.44212e+03
 64  0.02033  9.93145e+02 | 65  0.01780  4.51688e+02 | 66  0.01333 -4.70824e+01
 67  0.01209 -4.41429e+02 | 68  0.01074 -7.38853e+02 | 69  0.00924 -9.59398e+02
 70  0.01368 -1.06179e+03 | 71  0.01557 -1.08399e+03 | 72  0.01941 -8.65282e+02
 73  0.03454 -1.77133e+02 | 74  0.01573 -5.49350e+02 | 75  0.01397 -5.00399e+02
 76  0.01463 -4.31587e+02 | 77  0.00822 -8.48552e+02 | 78 -0.00742 -1.41709e+03
 79 -0.01905 -1.73064e+03 | 80 -0.00230 -1.47563e+03 | 81  0.00408 -1.54792e+03
 82  0.01642 -1.38303e+03 | 83 -0.01416 -1.75713e+03 | 84 -0.01490 -1.84476e+03
 85  0.01769 -1.74618e+03 | 86  0.01914 -1.68616e+03 | 87  0.01886 -1.65207e+03
 88 -0.00198 -1.63846e+03 | 89 -0.00755 -1.70133e+03 | 90  0.01726 -1.66502e+03
 91 -5.02273  5.08262e+03 | 92 -0.25538 -4.83009e+02 | 93 -0.25828 -1.02626e+02
 94 -0.26205  2.70214e+02 | 95 -0.26644  5.39316e+02 | 96 -0.27095  5.98903e+02
 97 -0.03187  1.06929e+02 | 98 -0.04603  2.03069e+01 | 99 -0.09073 -6.00218e+01
100 -0.12859 -2.25497e+02 |101 -0.07130 -2.56901e+02 |102 -0.13753  1.42645e+02
