"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1.25463e+12,3.12498e+11,1.93369e+11,1.33566e+11,95068600000,70428500000,52174700000,39040500000,29506100000,87704300000
"2",3.17794e+12,3.12487e+11,1.56676e+11,1.19122e+11,90132800000,6.5268e+10,5.0238e+10,37213100000,28138300000,86350600000
"3",3.63796e+12,7.91517e+11,1.56666e+11,96486600000,80247400000,61714700000,46427100000,35731600000,26747100000,84238700000
"4",1.05455e+13,9.05968e+11,3.96187e+11,94827500000,59372600000,47759400000,37902400000,28497800000,22204600000,76240800000
"5",2.1892e+12,2.62598e+12,4.53112e+11,2.37767e+11,5.5806e+10,32982200000,27288300000,21639900000,16486900000,65524700000
"6",2.20957e+12,5.451e+11,1.31211e+12,2.69181e+11,1.3275e+11,28591100000,17314300000,1.4311e+10,11511800000,52742300000
"7",8.66068e+12,5.50234e+11,2.72731e+11,7.907e+11,1.62093e+11,76514300000,16982700000,1.0278e+10,8604070000,43732700000
"8",1.17095e+13,2.15655e+12,2.7506e+11,1.6284e+11,4.54214e+11,86966500000,42168700000,9351760000,5737590000,34557800000
"9",1.43211e+13,2.91558e+12,1.07746e+12,1.63247e+11,90350200000,2.30173e+11,45124600000,21857300000,4917650000,26030900000
"10",2.54248e+13,3.56583e+12,1.45657e+12,6.39382e+11,91395600000,46817800000,1.22384e+11,23971500000,11776300000,2.0145e+10
"11",1.29586e+13,6.33085e+12,1.7825e+12,8.70346e+11,3.73043e+11,5.0654e+10,26720500000,69802600000,13854500000,2.0871e+10
"12",7.23148e+12,3.22708e+12,3.16904e+12,1.08127e+12,5.38889e+11,2.20351e+11,30742900000,16200100000,4.2849e+10,23377500000
"13",7.22904e+12,1.80085e+12,1.61561e+12,1.928e+12,6.85509e+11,3.32246e+11,1.39949e+11,19507100000,10401900000,44914900000
"14",4.96774e+12,1.80002e+12,9.00767e+11,9.78665e+11,1.22727e+12,4.33172e+11,2.17138e+11,91407800000,12888700000,39222900000
"15",5.93345e+12,1.2366e+12,8.9839e+11,5.38762e+11,6.05766e+11,7.52863e+11,2.74789e+11,1.37658e+11,58642100000,36321300000
"16",1.47602e+13,1.47649e+12,6.15717e+11,5.30079e+11,3.20832e+11,3.52629e+11,4.5195e+11,1.64798e+11,8.3598e+10,62198200000
"17",4.3154e+12,3.67346e+12,7.36082e+11,3.65729e+11,3.12949e+11,1.78215e+11,1.99827e+11,2.55463e+11,94376100000,92400700000
"18",1.78947e+12,1.07448e+12,1.83781e+12,4.48285e+11,2.38984e+11,2.04795e+11,1.20618e+11,1.35131e+11,1.7467e+11,1.32915e+11
"19",4.99825e+12,4.45609e+11,5.38064e+11,1.1259e+12,2.98314e+11,1.60107e+11,1.41973e+11,83547500000,94609800000,2.21732e+11
"20",1.14685e+13,1.24467e+12,2.23182e+11,3.30024e+11,7.52362e+11,2.00935e+11,1.11587e+11,98860200000,58799300000,2.30158e+11
"21",8.45193e+12,2.85591e+12,6.23381e+11,1.36841e+11,2.1949e+11,4.99707e+11,1.37604e+11,7.6303e+10,68333600000,2.08951e+11
"22",3.25063e+12,2.10489e+12,1.43116e+12,3.83439e+11,91707100000,1.45375e+11,3.38428e+11,92897500000,52066600000,1.99014e+11
"23",2.36235e+12,8.0954e+11,1.05477e+12,8.80066e+11,2.56039e+11,59390900000,94793300000,2.192e+11,60814500000,1.77087e+11
"24",1.66597e+12,5.88313e+11,4.05624e+11,6.48295e+11,5.86714e+11,1.65518e+11,38674800000,61317800000,1.43311e+11,1.67213e+11
"25",1.70108e+12,4.14861e+11,2.94669e+11,2.48823e+11,4.29402e+11,3.77248e+11,1.07673e+11,25016900000,4.0094e+10,2.15604e+11
"26",6.73947e+12,4.23604e+11,2.07791e+11,1.80773e+11,1.64999e+11,2.77405e+11,2.47092e+11,7.0155e+10,16476300000,1.81349e+11
"27",3.1549e+12,1.67838e+12,2.12263e+11,1.27817e+11,1.21407e+11,1.09885e+11,1.88888e+11,1.67652e+11,4.8104e+10,1.43128e+11
"28",1.45472e+12,7.85703e+11,8.41125e+11,1.30671e+11,86166700000,81566400000,75645800000,1.29625e+11,1.1626e+11,1.38289e+11
"29",1.40214e+12,3.62223e+11,3.93324e+11,5.14387e+11,85437200000,53957500000,51407300000,47357900000,82050700000,1.73487e+11
"30",1.75778e+12,3.49003e+11,1.80913e+11,2.37313e+11,3.17947e+11,48001200000,29996300000,28306100000,26395700000,1.64989e+11
"31",6.62507e+12,4.37574e+11,1.74417e+11,1.09515e+11,1.48815e+11,1.84919e+11,27906100000,17310300000,16531500000,1.29217e+11
"32",7.11416e+12,1.64939e+12,2.18824e+11,1.06001e+11,7.0064e+10,91021200000,1.14653e+11,17222400000,10807500000,1.0139e+11
"33",1.00384e+12,1.77032e+12,8.22523e+11,1.31182e+11,65924300000,42324100000,56332500000,70778700000,1.0759e+10,78179600000
"34",7.76964e+11,2.4974e+11,8.81678e+11,4.91564e+11,82754800000,41553300000,27576100000,3.6666e+10,46599700000,63197900000
"35",7.3172e+11,1.93284e+11,1.24332e+11,5.27431e+11,3.15153e+11,53746200000,27994600000,1.857e+10,24967400000,78186100000
"36",1.87932e+12,1.81882e+11,95767500000,7.3238e+10,3.32828e+11,2.02283e+11,35823600000,18654900000,12515100000,73615800000
"37",6.02555e+12,4.67103e+11,89968300000,55677500000,44800500000,2.05938e+11,1.29876e+11,22994100000,12115700000,60768700000
"38",5.68923e+12,1.49791e+12,2.3116e+11,52299500000,34087800000,27789600000,1.32613e+11,83616400000,14978800000,51422800000
"39",7.02487e+12,1.41483e+12,7.42922e+11,1.35957e+11,32981200000,21928900000,18580400000,8.866e+10,56536900000,47494200000
"40",3.10864e+12,1.74828e+12,7.04859e+11,4.43111e+11,87226600000,21597900000,14927900000,12647800000,61022800000,7.4236e+10
"41",1.21579e+12,7.73874e+11,8.7292e+11,4.25331e+11,2.91343e+11,58759700000,15132500000,10459100000,8956860000,98440600000
