"","Area","Yr","Era","Seas","Bio_all","Bio_smry","SpawnBio","Recruit_0","SpawnBio_GP:1","SmryBio_SX:1_GP:1","SmryNum_SX:1_GP:1","sel(B):_1","dead(B):_1","retain(B):_1","sel(N):_1","dead(N):_1","retain(N):_1","obs_cat:_1","F:_1","sel(B):_2","dead(B):_2","retain(B):_2","sel(N):_2","dead(N):_2","retain(N):_2","obs_cat:_2","F:_2","sel(B):_3","dead(B):_3","retain(B):_3","sel(N):_3","dead(N):_3","retain(N):_3","obs_cat:_3","F:_3","SSB_vir_LH","ABC_buffer"
"1189",1,1975,"VIRG",1,555284,501302,358612,0,358612,501302,336004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358612,NA
"1190",1,1976,"INIT",1,289420,260459,184147,0,184147,260459,178243,1000.72,1000.72,1000.72,461.241,461.241,461.241,1000,0.00445858,2003.05,2003.05,2003.05,640.369,640.369,640.369,2000,0.0118465,0,0,0,0,0,0,0,0,184147,NA
"1191",1,1977,"TIME",1,294210,269586,174699,1669380,174699,269586,200374,653,653,653,326.506,326.506,326.506,653,0.00278454,1615,1615,1615,573.007,573.007,573.007,1615,0.00973753,0,0,0,0,0,0,0,0,174699,NA
"1192",1,1978,"TIME",1,319514,265411,193930,432925,193930,265411,172203,3263,3263,3263,1473.21,1473.21,1473.21,3263,0.0146303,8927,8927,8927,3242.94,3242.94,3242.94,8927,0.0467654,0,0,0,0,0,0,0,0,193930,NA
"1193",1,1979,"TIME",1,373349,261553,189064,740541,189064,261553,182191,3790,3790,3790,1682.82,1682.82,1682.82,3790,0.0182716,11114,11114,11114,3845.45,3845.45,3845.45,11114,0.0646155,0,0,0,0,0,0,0,0,189064,NA
"1194",1,1980,"TIME",1,429509,389618,184798,805551,184798,389618,443778,9851,9851,9851,4327.98,4327.98,4327.98,9851,0.0500761,25494,25494,25494,10532.7,10532.7,10532.7,25494,0.145061,0,0,0,0,0,0,0,0,184798,NA
"1195",1,1981,"TIME",1,459703,399525,211709,821497,211709,399525,338424,10485,10485,10485,5848.4,5848.4,5848.4,10485,0.0319647,25646,25646,25646,12049.9,12049.9,12049.9,25646,0.0945846,0,0,0,0,0,0,0,0,211709,NA
"1196",1,1982,"TIME",1,481922,417381,269205,893635,269205,417381,336856,6680,6680,6680,3567.12,3567.12,3567.12,6680,0.0194361,22785,22785,22785,10031.9,10031.9,10031.9,22785,0.0758865,0,0,0,0,0,0,0,0,269205,NA
"1197",1,1983,"TIME",1,505715,438890,284723,1042800,284723,438890,352465,9512,9512,9512,4259.9,4259.9,4259.9,9512,0.0295752,27028,27028,27028,10987.5,10987.5,10987.5,27028,0.0901856,0,0,0,0,0,0,0,0,284723,NA
"1198",1,1984,"TIME",1,526432,452546,287699,1133280,287699,452546,363645,8806,8806,8806,4320.13,4320.13,4320.13,8806,0.0237995,15092,15092,15092,5550.75,5550.75,5550.75,15092,0.0556002,0,0,0,0,0,0,0,0,287699,NA
