"","Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"5385",1,1,1,1,1,1,1,1975,1,1975,"B","VIRG",677050,398621,234693,138178,81353.9,47898,28200.5,16603.4,9775.42,5755.39,3388.55,1995.05,1174.61,691.564,407.166,239.724,141.14,83.0978,48.9248,28.805,41.2395
"5387",1,1,1,1,1,1,1,1976,1,1976,"B","INIT",363250,213868,125916,74110.1,43514.4,25428.3,14791,8580.4,4972.35,2880.55,1668.59,966.522,559.85,324.288,187.84,108.805,63.0239,36.506,21.1457,12.2484,16.8618
"5389",1,1,1,1,1,1,1,1977,1,1977,"B","TIME",1669380,243357,93268.1,69765.6,69671.1,33001,12995.8,6170.68,3434.9,2048.35,1269.01,792.979,491.117,298.936,178.703,105.609,63.0239,36.506,21.1457,12.2484,16.8618
"5391",1,1,1,1,1,1,1,1978,1,1978,"B","TIME",432925,982868,143279,54900.6,40998.2,40797.1,19253.6,7565.51,3589.18,1997.38,1191.02,737.852,461.067,285.553,173.812,103.904,61.4045,36.6443,21.2258,12.2949,16.9257
"5393",1,1,1,1,1,1,1,1979,1,1979,"B","TIME",740541,254890,578658,84254.6,31988.7,23394.6,22853.4,10695.8,4192.37,1987.71,1106,659.477,408.552,255.294,158.111,96.24,57.532,33.9998,20.2901,11.7528,16.1795
"5395",1,1,1,1,1,1,1,1980,1,1980,"B","TIME",805551,436002,150066,340334,49096.2,18198.7,12972,12485.5,5810.33,2273.49,1077.4,599.41,357.397,221.408,138.352,85.6853,52.1553,31.1783,18.4255,10.9958,15.1374
"5397",1,1,1,1,1,1,1,1981,1,1981,"B","TIME",821497,474277,256685,88153.9,196257,26904.7,9388.39,6438.16,6095.8,2821.19,1102.05,522.002,290.371,173.124,107.249,67.0165,41.5051,25.2635,15.1025,8.92514,12.6586
"5399",1,1,1,1,1,1,1,1982,1,1982,"B","TIME",893635,483666,279232,150830,50642.6,107132,14169.9,4886.35,3342.04,3162.74,1463.61,571.724,270.803,150.638,89.813,55.6383,34.7667,21.532,13.1062,7.83483,11.1972
"5401",1,1,1,1,1,1,1,1983,1,1983,"B","TIME",1042800,526138,284744,164019,87068.4,28184,58048.8,7605.51,2616.81,1788.97,1692.84,783.373,306.006,144.943,80.6262,48.0708,29.7794,18.6083,11.5246,7.01484,10.1866
"5403",1,1,1,1,1,1,1,1984,1,1984,"B","TIME",1133280,613963,309766,167435,94799.2,48061.7,14988.5,30447.1,3975.83,1367.02,934.434,884.197,409.165,159.83,75.7052,42.112,25.1079,15.5541,9.7193,6.01943,8.98449
"5405",1,1,1,1,1,1,1,1985,1,1985,"B","TIME",1119070,667232,361475,182189,97334.8,53745.2,26640.4,8205.87,16590.8,2163.34,743.534,508.19,480.854,222.515,86.9195,41.1702,22.9015,13.6543,8.45869,5.28558,8.15948
"5407",1,1,1,1,1,1,1,1986,1,1986,"B","TIME",794109,658868,392834,212725,106865,56566.5,30813.9,15067,4590.18,9211.81,1196,410.131,280.001,264.793,122.499,47.8444,22.6603,12.6046,7.5149,4.65534,7.39956
"5409",1,1,1,1,1,1,1,1987,1,1987,"B","TIME",836643,467541,387842,230835,124196,61554,31938,17022.8,8179.71,2465.4,4920.65,637.247,218.28,148.948,140.826,65.1422,25.4412,12.0493,6.70218,3.99584,6.40981
"5411",1,1,1,1,1,1,1,1988,1,1988,"B","TIME",786067,492583,275260,227915,133772,69974.9,33895.6,17402.4,9243.86,4438.44,1337.73,2670.24,345.842,118.47,80.8436,76.437,35.3582,13.8092,6.54022,3.63789,5.64812
"5413",1,1,1,1,1,1,1,1989,1,1989,"B","TIME",823390,462806,290009,161848,132349,75525.5,38604.2,18512.4,9476.78,5031.98,2416.75,728.625,1454.72,188.437,64.5552,44.0541,41.6539,19.2685,7.52543,3.56417,5.06056
"5415",1,1,1,1,1,1,1,1990,1,1990,"B","TIME",1135740,484780,272378,169960,93279.8,74054.8,41136.8,20731.3,9892.09,5057.17,2684.55,1289.32,388.728,776.127,100.537,34.4425,23.5046,22.2241,10.2806,4.01515,4.60167
"5417",1,1,1,1,1,1,1,1991,1,1991,"B","TIME",655309,668681,285401,160151,99003.8,52624.8,39398.7,20518.4,9857.17,4579.43,2312.49,1221.36,585.44,176.38,352.061,45.6003,15.6215,10.6605,10.0797,4.66275,3.90817
"5419",1,1,1,1,1,1,1,1992,1,1992,"B","TIME",481631,385820,393666,167788,93171,55480.7,27496.1,19075.8,9408.64,4393.1,2016.73,1014.09,534.914,256.329,77.2259,154.156,19.968,6.84087,4.66854,4.4143,3.75365
"5421",1,1,1,1,1,1,1,1993,1,1993,"B","TIME",562969,283566,227139,231397,97419.5,51704.9,28278.4,12785.6,8315.32,3966.91,1826.86,834.597,419.058,220.974,105.89,31.9044,63.6909,8.25043,2.82664,1.92908,3.37518
"5423",1,1,1,1,1,1,1,1994,1,1994,"B","TIME",469184,331454,166943,133569,134835,54855.7,27277.4,13909.7,5993.19,3806.27,1799.49,826.502,377.403,189.518,99.9553,47.9061,14.4358,28.8205,3.73357,1.27918,2.40052
"5425",1,1,1,1,1,1,1,1995,1,1995,"B","TIME",622067,276237,195138,98192.4,77972.8,76505.2,29478,13827.9,6776.4,2864.08,1806.22,852.317,391.391,178.757,89.7863,47.3633,22.7028,6.84167,13.6599,1.76964,1.74418
"5427",1,1,1,1,1,1,1,1996,1,1996,"B","TIME",523814,366249,162628,114734,57119.4,43507.1,39379.1,13924.4,6169.9,2945.58,1234.38,777.229,366.908,168.604,77.048,38.7144,20.4272,9.79299,2.95149,5.89325,1.51606
"5429",1,1,1,1,1,1,1,1997,1,1997,"B","TIME",389169,308401,215617,95593.6,66621.2,31688.4,22132.2,18248.7,6050.56,2596.94,1224.78,511.392,321.775,151.919,69.8289,31.9171,16.0399,8.46416,4.05807,1.22311,3.07058
"5431",1,1,1,1,1,1,1,1998,1,1998,"B","TIME",495928,229128,181557,126690,55332.1,36515.7,15678.2,9801.55,7472.67,2379.11,1004.07,470.753,196.21,123.411,58.2662,26.7842,12.2435,6.15337,3.24726,1.55693,1.64741
"5433",1,1,1,1,1,1,1,1999,1,1999,"B","TIME",622681,291983,134888,106668,73245.2,30123.4,17731.3,6732.64,3867.25,2827.48,885.892,372.091,174.293,72.6565,45.714,21.5892,9.92625,4.53807,2.28096,1.20379,1.18795
"5435",1,1,1,1,1,1,1,2000,1,2000,"B","TIME",664685,366610,171890,79230.8,61447.9,38975.6,13707.9,6842.89,2338.63,1285,928.691,291.004,122.546,57.5371,24.0241,15.1311,7.15049,3.28897,1.50403,0.756094,0.792947
"5437",1,1,1,1,1,1,1,2001,1,2001,"B","TIME",336124,391341,215828,101012,45799.5,33116.1,18259.4,5548.14,2529.89,834.54,455.338,329.797,103.705,43.7913,20.5975,8.60986,5.42644,2.56545,1.18033,0.539851,0.556104
"5439",1,1,1,1,1,1,1,2002,1,2002,"B","TIME",355472,197897,230388,126842,58517.6,25105.8,16331.2,8043.73,2263.84,994.65,323.592,175.856,127.288,40.0346,16.9111,7.95639,3.32644,2.09679,0.991379,0.456145,0.423565
"5441",1,1,1,1,1,1,1,2003,1,2003,"B","TIME",361230,209288,116506,135423,73510.8,32022.3,12290.1,7109.52,3242.07,880.749,382.351,124.052,67.4206,48.83,15.3663,6.49337,3.0558,1.27779,0.805525,0.380886,0.338007
"5443",1,1,1,1,1,1,1,2004,1,2004,"B","TIME",418358,212678,123213,68485.9,78379,39611.5,14902.1,4918.9,2606.48,1155.02,313.545,137.005,44.723,24.4085,17.7242,5.58636,2.36286,1.1126,0.465405,0.293461,0.261959
"5445",1,1,1,1,1,1,1,2005,1,2005,"B","TIME",711393,246313,125209,72433.7,39634.6,42075.6,18185.5,5831.55,1759.56,908.598,403.881,110.685,48.7534,15.9995,8.76038,6.37359,2.01115,0.851249,0.401003,0.167787,0.200293
"5447",1,1,1,1,1,1,1,2006,1,2006,"B","TIME",886692,418841,145018,73679.7,42200.7,21758,20253.9,7601.27,2219.83,639.33,323.409,142.442,38.8654,17.0804,5.59845,3.06328,2.2278,0.702803,0.297428,0.140098,0.128584
"5449",1,1,1,1,1,1,1,2007,1,2007,"B","TIME",715983,522050,246595,85331.8,42856.3,22922.8,10196.7,8141.66,2773.37,774.583,219.222,110.155,48.3826,13.1842,5.79031,1.8972,1.03787,0.754705,0.238068,0.100746,0.0910049
"5451",1,1,1,1,1,1,1,2008,1,2008,"B","TIME",895520,421543,307276,144724,49013.1,22382.5,9880.05,3637.92,2626.38,872.392,245.358,70.3477,35.7164,15.7935,4.32131,1.90245,0.624238,0.34179,0.248673,0.0784701,0.0632248
"5453",1,1,1,1,1,1,1,2009,1,2009,"B","TIME",443243,527248,248080,180049,82317.6,24639.8,8813.2,3054.34,983.353,682.01,227.019,64.6207,18.724,9.57424,4.25225,1.16653,0.514374,0.168941,0.0925559,0.0673662,0.0383997
"5455",1,1,1,1,1,1,1,2010,1,2010,"B","TIME",626477,260965,310337,145586,103212,42514.9,10333,3015.16,936.666,292.73,203.947,68.6805,19.7385,5.75558,2.95438,1.31515,0.361281,0.159437,0.0523924,0.0287132,0.0328211
"5457",1,1,1,1,1,1,1,2011,1,2011,"B","TIME",918465,368846,153590,181960,82981.6,51976.9,16708.9,3183.21,814.64,244.307,76.825,54.3138,18.512,5.36256,1.57123,0.808836,0.360671,0.0991818,0.0437982,0.0143985,0.0169179
"5459",1,1,1,1,1,1,1,2012,1,2012,"B","TIME",1406210,540757,217108,90158.3,104243,42236.2,20712.5,5246.14,886.283,221.861,67.6675,21.7445,15.623,5.37944,1.56781,0.461003,0.237815,0.106179,0.0292215,0.0129105,0.00923592
"5461",1,1,1,1,1,1,1,2013,1,2013,"B","TIME",926001,827921,318287,127413,51732.7,54106.2,17906.8,7199.64,1640.78,269.945,68.0555,21.0363,6.83247,4.94325,1.70927,0.499399,0.147063,0.0759327,0.0339214,0.00933882,0.00708009
"5463",1,1,1,1,1,1,1,2014,1,2014,"B","TIME",312412,545194,487301,186687,72765.4,26822.1,23948.3,6885.24,2539.39,553.61,89.1641,22.2573,6.84908,2.22068,1.60649,0.556097,0.162804,0.0480731,0.0249007,0.0111621,0.00544488
"5465",1,1,1,1,1,1,1,2015,1,2015,"B","TIME",168673,139345,243066,216145,79572.3,26819.5,7791.48,5631.57,1423.34,491.526,103.849,16.4843,4.08798,1.25481,0.406811,0.294792,0.102358,0.0300906,0.00892827,0.00464874,0.00313225
"5467",1,1,1,1,1,1,1,2016,1,2016,"B","TIME",368823,75233.1,62120.6,107695,91019.3,27721.9,6854,1518.92,934.461,217.989,72.5168,15.0618,2.3728,0.586835,0.180184,0.0585695,0.0426342,0.0148924,0.00440853,0.00131788,0.00116739
"5469",1,1,1,1,1,1,1,2017,1,2017,"B","TIME",630775,164506,33541.9,27545.1,45522.1,32092.8,7281.99,1398.94,267.817,153.483,34.6616,11.3633,2.34522,0.368692,0.091252,0.0281037,0.00918096,0.00672675,0.00236748,0.000706527,0.000406004
