5000
60
30
3.25545 1.2 7.30039 5.39442 7.95499 10.7725 3.74457 5.83648 1.27435 5.53847 0.102467 0.105012 1862.26  485.908 572.811 607.015 620.599 641.929 675.365 695.859 703.555 701.561 679.719 647.32 610.278 560.295 495.709 446.743 406.721 372.18 332.059 303.773 368.353 404.558 426.957 466.977 496.398 536.998 539.322 545.499 528.774 490.088 441.337 393.655 373.755 341.718 331.363 309.314 286.854 267.242 260.858 246.224 255.56 264.184 263.177 293.87 298.187 301.303 292.423 285.039 273.371 261.203 248.361 247.009 237.543 229.466 212.323 198.619 191.301 264.13 306.819 527.322 631.603  229.03 222.684 211.132 199.957 205.535 225.297 249.059 266.261 276.819 277.91 272.784 262.757 248.058 226.436 209.328 190.806 173.015 153.426 139.168 131.987 125.674 123.872 128.123 141.319 158.886 175.079 188.873 194.296 192.465 184.012 172.361 159.026 145.547 133.013 120.993 111.951 106.49 102.612 99.108 95.0189 91.2901 87.8567 87.1846 89.0094 92.3532 96.73 102.047 105.984 106.36 104.375 101.221 97.5834 93.191 88.646 84.6571 81.3907 77.5953 74.4309 74.9011 85.8176  24.3066 111.37 30.4821 23.5611 30.2155 37.976 27.5637 27.2897 25.386 20.7868 19.3579 17.516 11.1358 7.75619 8.13218 15.0339 11.8238 5.42338 6.75552 92.5993 29.6793 13.4463 43.7677 28.0613 43.5747 3.11009 22.4703 17.9554 4.99305 4.45163 5.85662 31.1569 1.63274 23.9237 6.15068 5.73035 7.58378 18.8724 2.76875 30.195 20.4693 9.8633 44.8273 6.54445 14.1407 5.73527 11.8838 7.53205 9.44127 7.34684 18.6251 4.80965 9.67135 1.06638 7.49576 11.2562 93.2252 25.9795 218.528 25.9314 105.976 105.976  113.224 151.261 195.093 229.585 245.887 247.994 242.826 233.844 222.349 209.836 197.792 185.914 173.401 160.908 149.522  43.9577 54.7205 56.6095 54.7514 52.4936 49.7932 46.6847 43.095 40.0817 37.7527 34.7597 31.7079 29.1938 27.1372 25.4376 
3.25545 1.2 7.30039 5.39442 7.95499 10.7725 3.74457 5.83648 1.27435 5.53847 0.102467 0.105012 1862.26  485.908 572.811 607.015 620.599 641.929 675.365 695.859 703.555 701.561 679.719 647.32 610.278 560.295 495.709 446.743 406.721 372.18 332.059 303.773 368.353 404.558 426.957 466.977 496.398 536.998 539.322 545.499 528.774 490.088 441.337 393.655 373.755 341.718 331.363 309.314 286.854 267.242 260.858 246.224 255.56 264.184 263.177 293.87 298.187 301.303 292.423 285.039 273.371 261.203 248.361 247.009 237.543 229.466 212.323 198.619 191.301 264.13 306.819 527.322 631.603  229.03 222.684 211.132 199.957 205.535 225.297 249.059 266.261 276.819 277.91 272.784 262.757 248.058 226.436 209.328 190.806 173.015 153.426 139.168 131.987 125.674 123.872 128.123 141.319 158.886 175.079 188.873 194.296 192.465 184.012 172.361 159.026 145.547 133.013 120.993 111.951 106.49 102.612 99.108 95.0189 91.2901 87.8567 87.1846 89.0094 92.3532 96.73 102.047 105.984 106.36 104.375 101.221 97.5834 93.191 88.646 84.6571 81.3907 77.5953 74.4309 74.9011 85.8176  24.3066 111.37 30.4821 23.5611 30.2155 37.976 27.5637 27.2897 25.386 20.7868 19.3579 17.516 11.1358 7.75619 8.13218 15.0339 11.8238 5.42338 6.75552 92.5993 29.6793 13.4463 43.7677 28.0613 43.5747 3.11009 22.4703 17.9554 4.99305 4.45163 5.85662 31.1569 1.63274 23.9237 6.15068 5.73035 7.58378 18.8724 2.76875 30.195 20.4693 9.8633 44.8273 6.54445 14.1407 5.73527 11.8838 7.53205 9.44127 7.34684 18.6251 4.80965 9.67135 1.06638 7.49576 11.2562 93.2252 25.9795 218.528 25.9314 105.976 105.976  113.211 151.146 194.505 227.423 239.885 235.004 220.149 200.899 181.307 164.31 151.07 140.596 131.284 122.505 114.942  43.9299 54.5032 55.7064 52.2274 47.4083 41.8808 36.6275 32.2313 29.3854 27.5193 25.6244 23.8437 21.9588 20.9555 20.8075 
3.28289 1.2 6.69312 5.19936 7.95499 10.7725 3.4069 5.87408 1.15134 5.17814 0.122549 0.107392 1908.97  566.551 628.512 664.397 684.676 696.601 720.442 742.188 752.843 762.163 738.033 697.704 652.231 595.044 531.659 480.875 449.124 409.74 366.679 339.308 397.655 441.849 464.859 502.551 530.435 580.504 581.485 582.509 565.083 523.861 472.903 420.833 399.287 365.516 357.585 335.089 308.195 289.125 282.733 267.45 279.597 285.642 285.836 317.725 320.64 324.641 315.769 308.192 295.887 285.835 272.772 271.546 260.176 251.678 232.891 217.759 210.958 295.262 341.79 586.345 700.019  265.164 257.171 243.87 231.53 234.042 250.769 272.245 288.141 297.155 296.03 291.341 282.403 267.776 244.947 226.058 206.676 186.682 166.999 152.519 146.219 139.612 137.49 141.681 155.05 173.856 190.372 203.838 210.449 209.392 202.257 189.216 173.78 158.66 145.963 133.364 123.027 117.864 113.714 110.423 105.94 101.228 97.4341 96.6165 97.7185 101.279 105.706 110.887 115.066 116.199 114.32 111.313 107.232 103.002 97.9765 93.7303 90.0525 85.6567 82.2763 83.7357 96.7361  33.3451 87.4149 46.0988 35.4419 22.4225 32.875 36.5417 34.8128 39.3975 17.7858 10.9038 15.5139 14.2401 16.4829 7.29211 23.7855 8.25183 4.94209 12.4414 86.5268 43.4303 13.3774 40.8901 28.9953 55.7058 1.97924 19.1798 18.6959 6.15938 3.54237 7.0134 33.9383 2.38159 26.0233 6.26366 4.13708 9.03086 20.624 1.72068 34.4673 18.8289 12.8113 46.4951 7.23999 15.3644 6.8796 13.4236 7.46509 11.6085 8.02476 19.6821 4.88576 10.4291 1.71235 7.55895 13.5237 106.734 26.1835 240.796 26.6526 96.0542 96.0542  127.413 166.258 209.141 239.588 248.196 239.754 223.951 207.426 192.404 178.135 163.408 148.326 133.918 121.985 114.638  58.2337 70.7598 71.1495 65.5167 58.9168 53.3588 48.9815 45.3105 41.1439 36.6949 32.482 28.9475 26.6428 26.8605 28.0577 
3.37801 1.2 6.11515 4.69337 7.95499 10.7725 2.96316 5.25669 1.04692 4.48483 0.143762 0.115513 1924.97  575.836 689.711 729.471 761.26 786.899 802.299 831.809 841.107 825.654 786.607 756.723 715.18 659.008 580.306 527.159 480.114 437.308 395.574 365.625 432.72 477.219 512.899 549.684 587.712 639.654 639.18 644.007 624.659 578.526 523.171 469.837 445.363 408.984 397.489 373.786 343.792 324.005 316.066 299.197 311.359 314.901 318.09 353.723 358.955 363.383 352.864 345.27 332.277 318.201 305.148 300.932 287.69 278.878 256.173 241.576 235.342 336.022 389.905 654.134 774.341  258.902 252.279 241.553 232.145 241.229 267.02 296.61 317.839 329.02 327.967 321.333 307.295 289.668 262.758 243.998 224.747 204.281 183.536 166.117 156.907 148.503 145.919 151.815 167.031 188.48 208.041 223.589 231.759 231.314 224.522 212.235 194.868 179.157 164.071 150.325 138.908 133.616 128.442 124.417 118.756 113.307 108.884 107.695 109.388 113.565 118.523 124.94 130.246 131.095 129.086 125.439 120.495 115.539 109.071 103.862 99.543 94.4501 90.8863 93.0375 108.412  40.3537 143.278 30.6594 43.5128 33.9567 21.6043 52.3272 35.8404 18.4943 16.7237 37.2028 25.5618 11.1461 5.84725 13.4661 14.9912 14.2973 9.96349 12.3301 99.3643 43.1645 28.5893 35.6473 42.7511 56.8256 1.18545 28.0365 19.3005 5.89455 3.78145 9.32071 38.4281 1.95822 28.5482 8.30514 4.3525 10.6013 23.2124 2.90909 38.1645 18.2453 19.0946 51.7638 8.48388 16.5114 7.93533 15.4462 8.29201 11.1475 11.1245 19.1423 6.27773 12.5534 0.97475 11.0616 15.4731 125.828 29.8042 259.136 29.3123 90.063 90.063  143.036 181.923 222.22 247.474 249.561 233.349 207.608 179.367 153.156 131.402 114.509 101.156 89.9095 81.0799 76.776  73.6936 87.6632 86.5974 78.1753 67.1235 55.8297 45.9409 38.0983 32.6387 28.9013 25.535 22.5313 20.6231 18.9397 19.3503 
3.62839 1.2 5.67799 4.18498 7.95499 10.7725 2.65563 5.0821 0.991896 4.3328 0.103511 0.119682 1947.33  708.123 782.139 790.998 787.678 778.81 810.458 843.825 849.41 845.765 809.539 779.593 746.327 694.141 611.592 556.081 513.552 467.102 424.736 393.116 478.282 529.706 561.743 605.197 639.306 689.964 687.12 690.993 671.64 621.739 565.159 510.402 484.511 442.35 431.836 404.643 372.356 350.588 342.785 323.048 336.34 342.264 341.266 373.842 383.44 386.638 376.019 366.2 353.657 339.514 325.369 320.331 307.074 296.251 273.261 257.297 248.45 358.386 427.311 682.04 804.843  327.083 316.566 299.932 285.158 286.206 300.102 315.541 323.87 326.243 323.86 320.631 312.869 299.306 274.329 256.606 239.711 218.286 196.379 177.35 168.212 160.736 159.004 166.305 184.623 208.674 229.938 245.958 252.99 252.426 244.839 231.792 214.679 196.74 181.645 167.005 154.892 148.722 142.859 137.755 131.501 125.247 119.82 117.402 119.065 122.595 127.071 132.475 138.211 139.484 137.399 133.043 127.82 121.567 115.284 109.804 105.188 99.811 96.8751 99.0459 115.041  50.5359 111.458 23.7639 27.6361 20.2445 62.7529 57.0526 29.4078 34.9284 16.0906 34.91 30.7204 14.9706 3.58115 13.4885 20.0241 14.9447 12.5168 14.2067 119.312 44.4358 22.9793 47.2482 39.0728 60.2103 1.69053 31.5693 25.3229 3.49794 7.2641 11.2066 39.0818 3.01353 31.2062 7.29291 5.83757 10.7837 25.2771 2.07979 40.9613 22.2608 15.7489 52.382 14.8935 16.337 8.54968 15.9237 9.38987 12.1522 11.6291 20.8999 7.37086 13.6666 0.876643 11.4227 14.731 138.017 42.2499 244.283 37.6522 123.477 123.477  151.326 196.989 246.81 285.183 302.005 298.279 281.211 258.472 234.754 212.65 193.959 179.107 167.235 157.294 149.369  55.5726 67.253 70.7066 68.4585 62.5773 55.8521 49.6322 43.9057 39.176 35.9337 33.4319 31.3972 29.6298 28.5663 29.4892 
3.7415 1.2 5.46143 4.01151 7.95499 10.7725 2.54831 4.41928 0.931268 4.02421 0.12877 0.121674 1947.68  780.106 874.249 915.65 942.842 943.944 958.209 946.366 930.504 928.362 891.788 849.98 792.907 737.115 650.77 599.657 556.362 511.775 466.256 427.969 528.643 573.147 619.763 657.357 692.063 747.783 747.049 745.347 723.325 670.36 608.81 545.821 517.52 474.093 460.928 432.692 398.537 374.033 365.431 343.226 356.027 361.692 361.337 396.964 405.082 407.103 394.066 384.462 371.763 357.298 341.139 335.254 323.742 312.225 289.789 272.017 264.589 383.174 454.902 726.522 859.509  351.171 343.259 329.728 316.569 320.972 342.175 367.541 384.75 389.053 379.536 364.467 347.636 328.963 302.071 280.743 260.501 237.508 214.988 196.949 187.556 179.585 176.694 183.796 203.247 228.38 251.195 267.75 275.27 274.614 267.036 251.147 233.086 215.128 198.081 181.812 168.827 160.34 153.606 147.334 140.664 133.774 128.137 125.778 127.328 130.826 134.827 140.935 146.482 147.206 144.477 139.092 133.869 127.728 121.941 116.647 112.516 107.02 104.153 106.096 123.143  52.35 136.654 53.512 50.2767 18.9826 40.2013 21.8629 33.6256 57.6762 24.501 26.7474 12.0561 26.6979 6.26502 23.6759 17.7106 15.859 11.4334 9.45584 142.131 33.566 42.0388 37.488 42.573 70.2576 3.99817 27.3387 26.4664 6.03301 6.09406 11.1 39.8533 2.39375 33.2289 9.10053 4.79646 12.9112 26.0159 2.22288 41.9283 23.9558 17.2917 55.5608 13.3769 16.7785 9.32175 16.1534 11.0448 13.2438 10.866 22.9139 9.66826 12.7299 1.3528 10.434 17.1669 148.051 42.2986 262.334 42.1614 109.211 109.211  161.729 205.089 249.113 276.843 280.687 267.332 246.454 223.114 198.988 174.961 152.187 132.277 116.382 104.911 98.2417  72.571 84.769 84.766 77.8352 69.7173 62.0523 54.209 46.6598 39.4469 33.2713 28.56 25.5088 23.8075 22.41 21.6126 
3.9325 1.2 5.00998 3.61215 7.95499 10.7725 2.37431 4.24804 0.865556 3.70745 0.133042 0.129021 1952.11  780.725 884.722 927.707 913.285 927.329 995.196 1019.44 1004.88 993.804 954.228 933.13 883.251 832.874 744.034 678.127 624.506 573.252 514.338 469.398 576.455 629.747 672.497 709.182 759.679 804.648 801.542 813.199 788.346 726.994 661.643 590.69 561.879 516.702 499.545 469.648 429.941 402.563 391.674 367.152 380.131 383.58 386.699 428.61 439.073 439.317 424.689 414.848 400.406 382.853 365.475 360.382 347.395 333.615 308.404 289.997 280.104 412.183 494.928 796.726 944.317  356.26 339.928 322.735 307.667 312.413 333.319 356.538 371.813 381.382 384.539 381.014 370.017 349.489 321.16 303.684 286.238 263.966 240.638 221.114 208.535 197.358 192.29 198.017 218.029 244.28 267.447 285.08 293.133 289.808 282.59 267.191 249.586 232.767 213.652 196.241 181.205 171.839 162.798 155.669 147.642 140.173 134.529 132.32 134.153 137.906 142.551 150.122 156.123 156.844 153.833 148.666 142.681 136.527 129.651 123.991 119.409 113.666 110.044 111.795 129.952  59.8467 150.169 51.3949 9.9946 52.9748 100.974 41.0906 16.7598 43.5081 28.4586 58.7632 17.6104 37.4195 7.17288 9.29235 21.2449 23.0669 5.06365 8.92103 156.597 46.5765 37.3154 41.0068 63.4746 58.1294 10.2198 46.4712 23.7254 7.75085 6.54524 9.59073 46.4559 1.70033 35.9558 11.2178 4.69114 13.7846 30.8607 2.15308 46.067 23.6656 23.3199 63.2937 15.4055 16.2166 11.3808 18.4283 13.0207 12.9544 12.8297 25.3899 11.1954 11.4942 2.91613 12.3295 16.4826 164.182 52.6827 292.325 51.0345 113.063 113.063  172.27 218.957 265.078 291.496 290.648 272.734 252.417 237.217 226.317 216.452 205.218 192.833 182.863 180.093 185.577  80.9124 94.1043 91.8825 82.1731 72.6146 67.2553 64.7768 61.7444 58.9515 54.2773 50.2481 48.7017 51.0131 56.2593 57.3367 
3.91125 1.2 4.89863 3.6078 7.95499 10.7725 2.51328 4.28231 0.899886 3.70195 0.119121 0.126565 1965.25  857.283 967.28 980.547 958.692 1042.7 1090.11 1122.82 1107.42 1084.87 1045.68 993.576 939.591 859.369 759.475 688.177 627.643 581.446 521.708 479.512 574.847 623.854 670.23 709.182 761.643 806.261 801.399 814.317 787.783 726.165 661.158 590.176 563.928 517.563 504.69 476.782 438.476 412.657 400.86 374.856 388.229 391.659 388.041 432.784 439.919 440.214 424.851 415.825 400.876 382.989 366.025 363.154 347.979 334.812 310.421 292.78 282.142 419.366 498.228 787.042 931.121  397.475 379.412 361.828 345.46 347.557 364.797 385.683 403.629 420.524 429.743 426.643 411.92 388.313 356.152 331.843 305.672 276.475 247.066 225.179 212.064 201.824 197.554 202.428 220.621 244.857 268.03 286.883 295.539 293.345 284.979 269.8 252.386 234.175 216.537 199.021 184.368 175.235 167.626 160.17 152.535 144.321 137.411 135.429 136.567 140.063 143.997 150.593 156.171 156.984 154.781 149.836 143.614 137.838 131.415 126.355 122.124 116.163 112.235 113.734 132.271  35.1694 167.272 22.8101 17.8408 135.687 54.5548 51.4815 15.7192 34.4769 37.9295 33.2845 32.0469 9.33985 8.69819 15.4902 20.9297 30.7261 3.28459 10.1985 143.269 45.3264 43.4096 42.9403 63.4147 56.5442 6.29343 47.1251 22.6223 5.41879 9.65959 6.59537 47.8313 1.88203 36.6151 12.999 4.35781 14.6837 27.0877 3.40496 46.7201 25.0067 17.3724 66.6805 13.0839 16.6967 11.1241 20.4581 11.8652 11.7648 11.9739 28.2589 8.64869 11.3614 2.72571 12.0203 15.157 170.295 46.1363 278.969 49.9615 125.05 125.05  174.578 222.754 271.227 301.883 307.318 296.852 284.233 276.331 271.745 267.53 262.97 257.077 248.743 240.335 236.437  72.1956 84.9971 84.5183 77.6301 71.361 68.4851 68.2066 66.9387 65.4476 64.3332 62.0487 58.7958 56.752 58.0664 59.7289 
3.97723 1.2 4.72458 3.40603 7.95499 10.7725 2.61143 4.01701 0.866507 3.63662 0.113192 0.129486 1963.92  820.757 919.378 966.89 962.83 966.613 1044.27 1064.07 1053.75 1022.64 982.132 937.141 895.311 819.45 732.835 670.4 612.557 572.755 521.979 481.957 587.409 635.642 683.75 726.98 783.221 833.51 827.277 828.146 801.135 737.705 670.143 595.098 576.076 527.691 519.219 492.373 454.132 428.054 417.047 390.653 404.862 410.204 411.658 455.413 466.446 467.608 452.575 440.784 424.005 405.376 387.481 385.546 371.386 356.246 329.396 313.25 302.27 449.384 531.33 831.293 979.3  378.125 360.296 342.297 327.022 329.794 348.794 371.682 388.303 398.668 403.395 399.575 385.714 363.444 335.387 312.715 289.302 262.371 236.28 216.645 205.679 197.345 195.137 202.361 222.096 247.942 271.416 290.153 299.553 298.152 289.1 271.834 255.726 236.385 218.674 200.432 186.123 177.3 169.753 163.187 156.172 149.078 142.822 141.192 142.516 146.803 152.38 160.199 165.87 167.076 164.432 159.017 152.254 145.609 138.771 133.738 129.069 123.069 119.432 122.09 141.958  32.3597 154.514 64.4621 21.6245 39.1395 115.747 36.6714 23.3545 23.9333 33.669 39.149 40.4735 4.51379 10.3713 21.6951 18.3587 35.3716 8.08815 8.97118 152.336 41.7161 46.2066 47.3772 67.3761 60.9623 6.01163 38.1872 27.9843 5.35751 10.1923 5.68836 52.1655 1.24188 41.5299 14.9262 3.97919 15.8712 30.5241 3.11996 48.5857 26.5699 23.5524 65.3691 19.1225 17.2284 10.6169 19.0065 14.6993 12.8254 13.0981 30.4961 10.9015 11.4191 2.32859 15.6883 16.7959 181.557 46.8365 289.487 53.3691 134.077 134.077  186.079 236.933 289.559 326.249 337.651 327.895 305.71 278.687 253.19 239.116 246.958 272.209 292.199 291.169 271.876  73.1691 86.7304 88.3629 83.26 75.3074 66.7643 58.1377 52.194 52.3115 62.8472 74.9451 73.9873 66.6789 57.6094 49.1421 
3.74155 1.2 5.21007 3.72124 7.95499 10.7725 2.5359 4.48176 0.883634 4.10854 0.113341 0.128601 1962.37  741.104 910.596 954.353 974.69 995.459 993.873 979.441 958.651 954.226 931.001 887.641 843.489 779.436 702.553 629.109 603.583 552.477 503.724 462.661 572.236 621.544 651.314 695.217 726.981 775.336 766.368 781.876 757.2 699.608 637.249 566.504 544.033 494.331 486.668 455.634 419.382 393.985 381.572 358.714 367.361 375.649 370.12 415.672 417.939 419.967 408.521 394.702 378.164 361.222 342.413 339.873 328.483 316.082 289.497 277.032 268.472 398.961 464.059 778.601 922.153  333.739 321.718 305.512 294.265 306.955 339.669 373.671 393.329 397.666 387.259 368.957 350.531 333.799 312.71 292.924 273.619 249.929 226.503 209.137 200.673 193.802 190.879 197.618 216.546 241.097 261.153 275.952 281.918 278.75 270.505 255.904 241.329 221.915 204.142 186.907 172.864 165.087 158.567 152.462 144.304 136.536 130.262 127.728 127.924 130.587 136.438 142.629 147.149 148.388 145.16 139.259 133.361 127.281 119.876 114.936 111.14 105.654 102.145 104.322 122.736  54.6159 215.519 26.6859 35.5214 44.9629 21.7336 28.3025 36.576 60.2397 42.4013 27.3212 28.5692 12.7003 15.6726 7.60462 48.4067 8.30956 9.94769 8.01188 155.654 39.1696 25.1411 53.3453 43.0417 66.1046 4.94306 51.3808 20.7384 5.26295 10.2398 5.74538 46.8041 1.82679 42.4004 6.87343 5.73142 13.4211 25.6049 5.19923 42.1541 29.7009 12.1073 69.1561 9.18617 20.5635 8.34195 15.6252 13.3356 11.1788 10.8487 28.7791 9.86152 10.9913 1.47167 17.0491 14.862 161.512 34.5587 312.464 42.1635 121.022 121.022  163.945 213.666 267.116 305.825 319.157 311.048 290.774 265.34 237.571 208.984 182.01 159.196 142.913 134.563 131.992  68.0759 83.4933 85.508 80.7214 72.8982 64.9839 57.479 49.2388 41.5756 35.2081 30.7853 28.7494 29.657 31.1528 29.609 
