"","model","AIC"
"1","SS-Climate naive",11206.3912223031
"2","SS-SSP-126",11192.0921401597
"3","SS-SSP-245",11181.4884875068
"4","SS-SSP-585",11185.4018986449
"5","MS-Climate naive",11173.0087879785
"6","MS-SSP-126",11155.1736592444
"7","MS-SSP-245",11135.7470179789
"8","MS-SSP-585",11136.4160986762
