"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10"
1977,1262800,130777,78147.6,78414.1,77457.7,26067.3,14068.6,8026.18,4799.01,2797.47,3824.87
1978,604371,782693,81055.7,48416,48479.3,47743,16033.7,8646.74,4932.03,2948.84,4069.17
1979,506832,374593,485089,50108.4,29531.9,29079.5,28428.4,9531.58,5138.86,2931.05,4170.68
1980,496002,314137,232168,300030,30519.7,17576.6,17118.9,16693.5,5594.73,3016.15,4168.16
1981,981002,307425,194672,143289,180730,17589.9,9791.45,9400.26,9127.6,3055.73,3922.62
1982,981855,608030,190534,120058,85678,104579,10089.6,5610.11,5385.36,5229.1,3997.81
1983,570000,608559,376757,117440,72240.6,50436.9,61144.5,5893.27,3276.47,3145.18,5388.72
1984,699229,347581,371093,228772,69468.6,41334.8,28569.6,34578.9,3332.21,1852.57,4825.19
1985,1125350,412239,204916,218440,132228,39574.1,23313.1,16054.2,19410.6,1870.07,3747.39
1986,444091,688898,252346,125307,133114,79765.6,23700.1,13863.9,9497.19,11439.6,3298.37
1987,662566,273026,423364,154525,76090.6,80158.2,47282.9,13912.7,8075.03,5506.9,8521.06
1988,733584,409550,168752,260731,93359.5,44992.9,47045.9,27663,8137.56,4723.32,8206.52
1989,785796,454679,253822,104272,158329,55424.1,26451.9,27608.1,16229.3,4775.19,7590.1
1990,849847,487041,281608,155808,62774,93140.6,32179.6,15298.8,15958.1,9380.04,7147.3
1991,496059,524499,300561,173368,94205,36626.6,51840.5,17243,8032.55,8324.47,8589.46
1992,500158,307460,325055,185876,105433,54454.1,20094.5,27264.6,8867.29,4096.71,8611.27
1993,375499,310001,190542,200960,113019,60770.7,29129.1,10296.5,13648.8,4399.74,6291.42
1994,448965,230529,190296,116744,121627,66051.5,33708.4,15544,5419.31,7147.8,5596.31
1995,614606,278271,142873,117719,71465.5,72344.4,37767,18663.9,8482.8,2947.87,6931.26
1996,389634,380936,172458,88352.9,71542,41601.7,39720.8,19828,9583.15,4331.01,5050.6
1997,396960,241498,236084,106614,53678.1,41236.9,22566.2,20548,10010.2,4794.4,4688.28
1998,316265,225176,136969,133523,59019.3,28014,19826.6,10283.5,9099.19,4382.95,4137.8
1999,577215,178166,126828,76859.5,73247.6,30179.1,13087.8,8660.91,4374.7,3835.85,3588.17
2000,573622,357761,110380,78242.2,45943.6,40162.1,14592.1,5829.65,3736.88,1879.77,3206.3
2001,495890,355534,221715,67996.9,47031.6,25502.8,20169.5,6798.24,2645.95,1691.5,2318.06
2002,303613,299870,214967,133674,39656.8,26019.9,13052.6,9791.61,3214.55,1242.16,1882.19
2003,367079,183137,180854,129295,78724.8,21385.2,13133.6,6226.77,4563.55,1487.79,1447.52
2004,426752,196937,98243,96680,67339.2,37620.9,8828.41,5146.87,2386.77,1751.25,1139.83
2005,550204,246540,113752,56595.4,53858.3,34082.5,16711.3,3563.51,2053.05,956.716,1174.9
2006,725197,273589,122588,56423.1,27528.9,23834.9,13448.1,6030.87,1212.29,684.414,688.152
2007,489954,441434,166528,74462.8,33005.2,14665.2,10770.9,5510.13,2343.81,455.114,501.614
2008,688836,303676,273489,102489,43891.3,16441.2,6228.06,4004.74,1988.52,851.085,356.427
2009,390700,426944,188128,168094,59405.8,21601.1,6269.63,2106,1281.44,637.518,394.581
2010,446613,242158,264539,116041,99595.7,30574.8,9322.24,2361.96,768.109,466.922,381.788
2011,696395,275935,149562,162415,68292.7,50065,12289.2,3271.35,787.104,256.456,289.407
2012,1332300,431630,170948,92304.2,96269.3,35184.5,20754.8,4441.68,1144.24,278.55,198.389
2013,924050,825768,267436,105209,55129.9,50838.6,15715.8,8198.34,1689.87,436.685,185.577
2014,367286,572731,511672,164951,62360.1,30102.1,23977.5,6722.82,3375.76,695.483,259.137
2015,223547,182939,285150,253402,78225.7,25142.7,10413.6,7198.08,1924.85,965.21,277.429
2016,511796,97482.3,79730,123534,105019,27354.9,6861.26,2552.33,1686.62,454.741,300.592
2017,322429,176286,33542.1,27255.6,40311.8,29257.2,6050.43,1330.98,488.259,328.603,151.545
2018,361458,194288,106085,19866.3,15372.5,19851.8,11898.1,2099.66,426.646,153.158,148.675
2019,207419,207162,111327,60529.1,11052.4,8222.05,10031.2,5746.9,989.673,199.215,140.529
2020,314651,81349.6,81216.7,43489.9,22943.7,3898.41,2743.67,3189.86,1781.42,303.52,103.777
2021,472916,183677,47460.9,47244.5,24993.5,12714.1,2084.94,1444.67,1663.06,924.816,211.071
2022,507565,290891,112932,28868.2,27756.7,13421.8,5889.73,886.958,597.762,677.498,459.612
2023,507565,267362,153187,59295.7,14418.8,12629.4,5390.07,2157.73,320.805,217.436,418.442
2024,507565,267362,140801,80391,30433.2,6534.23,5215.55,2088.08,819.94,122.771,245.933
2025,507565,267362,140802,73899.2,41051.3,14413.5,2670.04,2032.53,801.384,316.507,144.149
2026,507565,267362,140795,73838.8,37470.7,18671.1,5789.08,964.011,725.66,287.648,167.796
2027,507565,267362,140789,73789.6,37243.2,16700,7102.47,2019.52,326.122,247.207,157.416
2028,507565,267362,140788,73776.9,37175.9,16525.7,6298.44,2433.08,675.909,110.071,138.356
2029,507565,267362,140788,73777.3,37173.6,16502.9,6237.93,2159.97,814.657,227.523,85.261
2030,507565,267362,140788,73778.5,37178.9,16510.6,6235.71,2142.04,724.22,274.945,107.014
2031,507565,267362,140788,73779,37181.2,16515.8,6240.76,2142.23,718.545,244.535,130.768
2032,507565,267362,140788,73779.1,37181.7,16517.3,6243.09,2144.12,718.662,242.637,128.577
2033,507565,267362,140788,73779.1,37181.7,16517.6,6243.67,2144.92,719.297,242.677,127.194
2034,507565,267362,140788,73779.1,37181.7,16517.6,6243.73,2145.11,719.562,242.89,126.735
2035,507565,267362,140788,73779.1,37181.7,16517.5,6243.71,2145.12,719.623,242.979,126.65
2036,507565,267362,140788,73779.1,37181.7,16517.5,6243.7,2145.12,719.627,242.999,126.651
