"","Pred_species","Prey_species","Pred","Prey","PredSex","PreySex","PredAge","PreyAge","Year","Sample_size","propPreyAge"
"14331","W_Pollock","W_Pollock",1,1,0,0,"1",1,0,20,0.00237908523065371
"14252","W_Pollock","W_Pollock",1,1,0,0,"1",2,0,20,1.43717711220122e-09
"14293","W_Pollock","W_Pollock",1,1,0,0,"1",3,0,20,0
"14618","W_Pollock","W_Pollock",1,1,0,0,"1",4,0,20,0
"14295","W_Pollock","W_Pollock",1,1,0,0,"1",5,0,20,0
"14296","W_Pollock","W_Pollock",1,1,0,0,"1",6,0,20,0
"14297","W_Pollock","W_Pollock",1,1,0,0,"1",7,0,20,0
"14338","W_Pollock","W_Pollock",1,1,0,0,"1",8,0,20,0
"14299","W_Pollock","W_Pollock",1,1,0,0,"1",9,0,20,0
"15353","W_Pollock","W_Pollock",1,1,0,0,"1",10,0,20,0
"4278","W_Pollock","Arrowtooth",1,2,0,2,"1",1,0,20,0
"5080","W_Pollock","Arrowtooth",1,2,0,1,"1",1,0,20,0
"4279","W_Pollock","Arrowtooth",1,2,0,2,"1",2,0,20,0
"5037","W_Pollock","Arrowtooth",1,2,0,1,"1",2,0,20,0
"4280","W_Pollock","Arrowtooth",1,2,0,2,"1",3,0,20,0
"4998","W_Pollock","Arrowtooth",1,2,0,1,"1",3,0,20,0
"4241","W_Pollock","Arrowtooth",1,2,0,2,"1",4,0,20,0
"5082","W_Pollock","Arrowtooth",1,2,0,1,"1",4,0,20,0
"4282","W_Pollock","Arrowtooth",1,2,0,2,"1",5,0,20,0
"5043","W_Pollock","Arrowtooth",1,2,0,1,"1",5,0,20,0
"4243","W_Pollock","Arrowtooth",1,2,0,2,"1",6,0,20,0
"5152","W_Pollock","Arrowtooth",1,2,0,1,"1",6,0,20,0
"4244","W_Pollock","Arrowtooth",1,2,0,2,"1",7,0,20,0
"5112","W_Pollock","Arrowtooth",1,2,0,1,"1",7,0,20,0
"4285","W_Pollock","Arrowtooth",1,2,0,2,"1",8,0,20,0
