"","Area","Yr","Era","Seas","Bio_all","Bio_smry","SpawnBio","Recruit_0","SpawnBio_GP:1","SmryBio_SX:1_GP:1","SmryNum_SX:1_GP:1","sel(B):_1","dead(B):_1","retain(B):_1","sel(N):_1","dead(N):_1","retain(N):_1","obs_cat:_1","F:_1","SSB_vir_LH","ABC_buffer"
"1459",1,1964,"VIRG",1,4873770,4673240,2047850,2173730,2047850,4673240,8087540,0,0,0,0,0,0,0,0,2047850,NA
"1460",1,1965,"INIT",1,4873770,4673240,2047850,2173730,2047850,4673240,8087540,0,0,0,0,0,0,0,0,2047850,NA
"1461",1,1966,"TIME",1,1539620,1388750,581565,1117340,581565,1388750,2616470,137700,137700,137700,206003,206003,206003,137700,0.161886,581565,NA
"1462",1,1967,"TIME",1,1597460,1469070,578636,2992440,578636,1469070,3116280,214370,214370,214370,346082,346082,346082,214370,0.281586,578636,NA
"1463",1,1968,"TIME",1,1666270,1405740,578059,1841810,578059,1405740,2992410,122180,122180,122180,211030,211030,211030,122180,0.167045,578059,NA
"1464",1,1969,"TIME",1,1906880,1753740,638387,599594,638387,1753740,4271540,180130,180130,180130,334560,334560,334560,180130,0.233453,638387,NA
"1465",1,1970,"TIME",1,2012850,1897520,751753,5044900,751753,1897520,4435780,234590,234590,234590,449941,449941,449941,234590,0.281794,751753,NA
"1466",1,1971,"TIME",1,2151680,1746440,769892,587696,769892,1746440,3632270,154620,154620,154620,290084,290084,290084,154620,0.169466,769892,NA
"1467",1,1972,"TIME",1,2418210,2367220,808580,348621,808580,2367220,6102970,117540,117540,117540,228477,228477,228477,117540,0.114887,808580,NA
"1468",1,1973,"TIME",1,2470630,2398430,1036620,3314660,1036620,2398430,5189800,162640,162640,162640,307000,307000,307000,162640,0.130327,1036620,NA
"1469",1,1974,"TIME",1,2491910,2227340,1028340,261620,1028340,2227340,4210090,211260,211260,211260,371271,371271,371271,211260,0.159827,1028340,NA
"1470",1,1975,"TIME",1,3072910,2981880,1166470,1041060,1166470,2981880,5341310,221350,221350,221350,300404,300404,300404,221350,0.134943,924331,NA
"1471",1,1976,"TIME",1,3249580,3156880,1423820,156028,1423820,3156880,4281820,237520,237520,237520,274690,274690,274690,237520,0.112305,987663,NA
"1472",1,1977,"TIME",1,3037730,2808760,1230970,3964260,1230970,2808760,3960200,132690,132690,132690,161806,161806,161806,132690,0.0725039,939906,NA
"1473",1,1978,"TIME",1,2508350,2267520,1051160,102506,1051160,2267520,3204060,103637,103637,103637,132829,132829,132829,103637,0.0652136,869277,NA
"1474",1,1979,"TIME",1,2871520,2823930,1114600,850951,1114600,2823930,5168070,137110,137110,137110,167360,167360,167360,137110,0.0743304,859893,NA
"1475",1,1980,"TIME",1,3079420,2505610,1130510,11460600,1130510,2505610,4152960,89929.9,89929.9,89929.9,127864,127864,127864,89929.9,0.0573605,999732,NA
"1476",1,1981,"TIME",1,3301280,2284750,1048380,187027,1048380,2284750,3859340,139120,139120,139120,208269,208269,208269,139120,0.0924399,978891,NA
"1477",1,1982,"TIME",1,3748970,3723470,1097910,191830,1097910,3723470,10671400,107737,107737,107737,204158,204158,204158,107737,0.0720538,1115170,NA
"1478",1,1983,"TIME",1,3665980,3633220,1598400,354693,1598400,3633220,8686360,113931,113931,113931,227664,227664,227664,113931,0.0598772,1752160,NA
"1479",1,1984,"TIME",1,3907820,3563610,1686750,9532250,1686750,3563610,7041650,138492,138492,138492,248011,248011,248011,138492,0.0649538,1808460,NA
"1480",1,1985,"TIME",1,4610150,3248010,1491670,101068,1491670,3248010,5784830,110399,110399,110399,189669,189669,189669,110399,0.0524087,1537170,NA
"1481",1,1986,"TIME",1,4682060,4665530,1574980,143190,1574980,4665530,10971000,210582,210582,210582,361119,361119,361119,210582,0.0783435,1559410,NA
"1482",1,1987,"TIME",1,4292920,4173680,1855430,4589620,1855430,4173680,8732530,234148,234148,234148,426263,426263,426263,234148,0.0943977,1971700,NA
"1483",1,1988,"TIME",1,4401230,3844120,1828270,1607490,1828270,3844120,6867660,248840,248840,248840,413288,413288,413288,248840,0.0999296,1904120,NA
"1484",1,1989,"TIME",1,4069340,3884530,1527430,116566,1527430,3884530,8337250,298079,298079,298079,525396,525396,525396,298079,0.137908,1656570,NA
"1485",1,1990,"TIME",1,3786350,3724750,1623170,3104990,1623170,3724750,7437860,261286,261286,261286,436062,436062,436062,261286,0.103833,1689620,NA
"1486",1,1991,"TIME",1,3633130,3270010,1518890,979659,1518890,3270010,5780070,319705,319705,319705,565304,565304,565304,319705,0.172973,1606230,NA
"1487",1,1992,"TIME",1,3134540,3023810,1267140,120712,1267140,3023810,6312100,299650,299650,299650,506738,506738,506738,299650,0.16007,1388650,NA
"1488",1,1993,"TIME",1,2385970,2335940,1010970,2415030,1010970,2335940,5373690,198905,198905,198905,418601,418601,418601,198905,0.13316,1304770,NA
"1489",1,1994,"TIME",1,2400290,2126110,991698,2498010,991698,2126110,4107120,362407,362407,362407,646498,646498,646498,362407,0.271411,1184700,NA
"1490",1,1995,"TIME",1,2371220,2128650,851311,1023270,851311,2128650,4405620,249495,249495,249495,397340,397340,397340,249495,0.21417,921373,NA
"1491",1,1996,"TIME",1,2283660,2176290,833575,1438360,833575,2176290,4929980,306298,306298,306298,591510,591510,591510,306298,0.280533,913058,NA
"1492",1,1997,"TIME",1,2179660,2058860,861782,746111,861782,2058860,4194470,325147,325147,325147,609526,609526,609526,325147,0.282054,905393,NA
"1493",1,1998,"TIME",1,1792950,1718880,732346,1502390,732346,1718880,3854460,320722,320722,320722,622803,622803,622803,320722,0.346335,789264,NA
"1494",1,1999,"TIME",1,1740450,1423300,611163,9784710,611163,1423300,3099370,311887,311887,311887,638749,638749,638749,311887,0.37609,671921,NA
"1495",1,2000,"TIME",1,3200520,1673340,646378,295616,646378,1673340,2974260,228777,228777,228777,338318,338318,338318,228777,0.283673,556625,NA
"1496",1,2001,"TIME",1,3319850,3293440,888015,927183,888015,3293440,8703900,227525,227525,227525,353268,353268,353268,227525,0.228136,739783,NA
"1497",1,2002,"TIME",1,3625080,3567050,1532140,38698.9,1532140,3567050,7012930,180697,180697,180697,302726,302726,302726,180697,0.16696,1284750,NA
"1498",1,2003,"TIME",1,3212560,3189540,1462310,1323120,1462310,3189540,6096510,205162,205162,205162,355337,355337,355337,205162,0.130591,1366580,NA
"1499",1,2004,"TIME",1,2691430,2573630,1180530,39122.4,1180530,2573630,4701360,342307,342307,342307,610877,610877,610877,342307,0.300253,1174230,NA
"1500",1,2005,"TIME",1,2190330,2155390,928614,2095330,928614,2155390,4190730,363135,363135,363135,622727,622727,622727,363135,0.323686,951742,NA
"1501",1,2006,"TIME",1,1907940,1656780,753023,1608750,753023,1656780,2899930,361699,361699,361699,615283,615283,615283,361699,0.316118,781397,NA
"1502",1,2007,"TIME",1,1516040,1457050,583554,21821.2,583554,1457050,3230220,291238,291238,291238,505357,505357,505357,291238,0.341782,612462,NA
"1503",1,2008,"TIME",1,1540420,1478070,582381,4221130,582381,1478070,3272930,323101,323101,323101,574073,574073,574073,323101,0.428288,576298,NA
"1504",1,2009,"TIME",1,1312030,1070760,495018,1113570,495018,1070760,2180630,178683,178683,178683,337331,337331,337331,178683,0.271615,523888,NA
"1505",1,2010,"TIME",1,1768560,1516770,490523,11814600,490523,1516770,4317950,228059,228059,228059,494366,494366,494366,228059,0.428365,506834,NA
"1506",1,2011,"TIME",1,2310810,1489500,603732,337135,603732,1489500,3841590,287331,287331,287331,782244,782244,782244,287331,0.3638,651576,NA
"1507",1,2012,"TIME",1,2933550,2884470,773157,1148500,773157,2884470,10379300,207200,207200,207200,562930,562930,562930,207200,0.206576,860393,NA
"1508",1,2013,"TIME",1,3442740,3317280,1422530,308235,1422530,3317280,8224420,285827,285827,285827,656498,656498,656498,285828,0.205566,1486570,NA
