"","Area","Bio_Pattern","Sex","BirthSeas","Settlement","Platoon","Morph","Yr","Seas","Time","Beg/Mid","Era","0","1","2","3","4","5","6","7","8","9","10"
"5204",1,1,1,1,1,1,1,1984,1,1984.5,"M","TIME",695632,319328,271168,121719,66382,20883.3,12254.4,20252.1,2076.58,752.396,1967.25
"5205",1,1,1,1,1,1,1,1985,1,1985,"B","TIME",871955,543674,249572,211864,94466.9,50792.8,15814.1,9239.69,15249.9,1563.12,2046.91
"5206",1,1,1,1,1,1,1,1985,1,1985.5,"M","TIME",681480,424909,195020,165277,73341,39178.1,12123.8,7049.96,11598.2,1186.44,1550.37
"5207",1,1,1,1,1,1,1,1986,1,1986,"B","TIME",607756,532613,332088,152392,128934,56939.5,30219.2,9294.65,5379.19,8820.92,2074.81
"5208",1,1,1,1,1,1,1,1986,1,1986.5,"M","TIME",474994,416241,259272,118554,99697.2,43667.7,22969.8,7013.16,4038.86,6603.73,1548.86
"5209",1,1,1,1,1,1,1,1987,1,1987,"B","TIME",648587,371233,325295,202421,92228.7,77090.2,33489.4,17459.5,5291.69,3032.51,6100.09
"5210",1,1,1,1,1,1,1,1987,1,1987.5,"M","TIME",506906,290137,254021,156876,70564.9,58520.9,25351,13206.9,4002.35,2293.68,4614.27
"5211",1,1,1,1,1,1,1,1988,1,1988,"B","TIME",651262,396174,226756,198363,121579,53989.7,44424.5,19190.4,9990.18,3027.16,5225.21
"5212",1,1,1,1,1,1,1,1988,1,1988.5,"M","TIME",508996,309631,177131,153871,93046.7,41006.5,33664.9,14536.4,7567.85,2293.46,3959.6
"5213",1,1,1,1,1,1,1,1989,1,1989,"B","TIME",684925,397808,241993,138366,119359,71210.2,31145.5,25511.3,11011.1,5732.86,4738.14
"5214",1,1,1,1,1,1,1,1989,1,1989.5,"M","TIME",535306,310869,188683,106899,90958.2,53763.5,23432.5,19175.8,8274.95,4308.22,3560.8
"5215",1,1,1,1,1,1,1,1990,1,1990,"B","TIME",774589,418370,242931,147117,82587.6,69315.4,40591.3,17629.7,14413.7,6218.73,5913.62
"5216",1,1,1,1,1,1,1,1990,1,1990.5,"M","TIME",605383,326974,189734,114212,62928.5,51454.5,29531.7,12695.7,10338.3,4454.57,4234.48
"5217",1,1,1,1,1,1,1,1991,1,1991,"B","TIME",569212,473139,255544,148186,88665.8,47949,38195.9,21485.4,9142.52,7415.25,6222.99
"5218",1,1,1,1,1,1,1,1991,1,1991.5,"M","TIME",444870,369778,199575,114959,67309.8,35292.6,27464.2,15277.4,6476.49,5248.5,4406.59
"5219",1,1,1,1,1,1,1,1992,1,1992,"B","TIME",423009,347690,288997,155864,89182.6,51097.6,25977,19747.7,10863.1,4587.9,6835.25
"5220",1,1,1,1,1,1,1,1992,1,1992.5,"M","TIME",330604,271733,225689,120808,67404.4,37240.4,18417.5,13817.8,7567.05,3192.44,4758.12
"5221",1,1,1,1,1,1,1,1993,1,1993,"B","TIME",358870,258385,212371,176249,93637.1,50944.3,27141.2,13057.9,9668.59,5271.06,5533.63
"5222",1,1,1,1,1,1,1,1993,1,1993.5,"M","TIME",280477,201939,165885,136916,71387,37791.7,19726.2,9402.3,6942.41,3783.45,3975.25
"5223",1,1,1,1,1,1,1,1994,1,1994,"B","TIME",419132,219208,157824,129574,106360,54424,28034.8,14337.1,6770.11,4984.91,5571.42
"5224",1,1,1,1,1,1,1,1994,1,1994.5,"M","TIME",327574,171321,123291,100764,81428.1,40725.2,20624.4,10467.4,4932.24,3631.1,4061.9
"5225",1,1,1,1,1,1,1,1995,1,1995,"B","TIME",534933,256017,133895,96313,78359.1,62340.3,30474.5,15172.8,7642.17,3593.28,5606.32
"5226",1,1,1,1,1,1,1,1995,1,1995.5,"M","TIME",418079,200088,104578,74738.1,59408.9,45663.9,21763,10718.4,5384.47,2532.28,3958.32
