"","Area","Yr","Era","Seas","Bio_all","Bio_smry","SpawnBio","Recruit_0","SpawnBio_GP:1","SmryBio_SX:1_GP:1","SmryNum_SX:1_GP:1","mature_bio","mature_num","sel(B):_1","dead(B):_1","retain(B):_1","sel(N):_1","dead(N):_1","retain(N):_1","obs_cat:_1","F:_1","sel(B):_2","dead(B):_2","retain(B):_2","sel(N):_2","dead(N):_2","retain(N):_2","obs_cat:_2","F:_2","sel(B):_3","dead(B):_3","retain(B):_3","sel(N):_3","dead(N):_3","retain(N):_3","obs_cat:_3","F:_3","SSB_vir_LH","ABC_buffer"
"1573",1,1975,"VIRG",1,545074,544997,380946,480494,380946,544997,754159,380946,108920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380946,NA
"1574",1,1976,"INIT",1,276634,276595,193336,243858,193336,276595,382747,193336,55278.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193336,NA
"1575",1,1977,"TIME",1,259583,259397,162823,1162840,162823,259397,346710,162823,54990.7,653,653,653,292.913,292.913,292.913,653,0.0028131,1615,1615,1615,523.304,523.304,523.304,1615,0.00933247,0,0,0,0,0,0,0,0,162823,NA
"1576",1,1978,"TIME",1,266870,266808,185712,386108,185712,266808,921441,185712,59865.6,3263,3263,3263,1297.65,1297.65,1297.65,3263,0.0144864,8927,8927,8927,2950.73,2950.73,2950.73,8927,0.0439405,0,0,0,0,0,0,0,0,185712,NA
"1577",1,1979,"TIME",1,301736,301678,181503,361607,181503,301678,795405,181503,53834.1,3790,3790,3790,1457.97,1457.97,1457.97,3790,0.0185947,11114,11114,11114,3546.3,3546.3,3546.3,11114,0.0588274,0,0,0,0,0,0,0,0,181503,NA
"1578",1,1980,"TIME",1,362427,362325,171694,639419,171694,362325,702871,171694,53845.5,9851,9851,9851,3798.2,3798.2,3798.2,9851,0.0520979,25494,25494,25494,9499.16,9499.16,9499.16,25494,0.140603,0,0,0,0,0,0,0,0,171694,NA
"1579",1,1981,"TIME",1,397298,397187,198988,688743,198988,397187,809661,198988,77812.6,10485,10485,10485,5354.38,5354.38,5354.38,10485,0.0315398,25646,25646,25646,10955.5,10955.5,10955.5,25646,0.0927485,0,0,0,0,0,0,0,0,198988,NA
"1580",1,1982,"TIME",1,421730,421582,254073,930215,254073,421582,902691,254073,94604,6680,6680,6680,3187.45,3187.45,3187.45,6680,0.0190253,22785,22785,22785,9060.16,9060.16,9060.16,22785,0.0715301,0,0,0,0,0,0,0,0,254073,NA
"1581",1,1983,"TIME",1,455828,455721,275258,668899,275258,455721,1110140,275258,92359.8,9512,9512,9512,3730.88,3730.88,3730.88,9512,0.0291919,27028,27028,27028,9686.57,9686.57,9686.57,27028,0.0870656,0,0,0,0,0,0,0,0,275258,NA
"1582",1,1984,"TIME",1,498840,498698,278598,890062,278598,498698,1076340,278598,93309,8806,8806,8806,3891.19,3891.19,3891.19,8806,0.0231387,15092,15092,15092,4975.7,4975.7,4975.7,15092,0.0522976,0,0,0,0,0,0,0,0,278598,NA
"1583",1,1985,"TIME",1,561616,561477,309476,871955,309476,561477,1194280,309476,107297,4876,4876,4876,1820.23,1820.23,1820.23,4876,0.0138549,9552,9552,9552,2523.87,2523.87,2523.87,9552,0.0509194,0,0,0,0,0,0,0,0,309476,NA
"1584",1,1986,"TIME",1,633128,633031,367194,607756,367194,633031,1258760,367194,129199,6851,6851,6851,3618.55,3618.55,3618.55,6851,0.0127558,18161,18161,18161,4761.56,4761.56,4761.56,18161,0.0814754,0,0,0,0,0,0,0,0,367194,NA
"1585",1,1987,"TIME",1,696790,696687,423472,648587,423472,696687,1133640,423472,142851,22487,22487,22487,9519.76,9519.76,9519.76,22487,0.0413648,9809,9809,9809,3124.74,3124.74,3124.74,9809,0.0228326,643,643,643,190.478,190.478,190.478,643,0.00209263,423472,NA
"1586",1,1988,"TIME",1,724978,724874,454336,651262,454336,724874,1078720,454336,150470,27145,27145,27145,10613.1,10613.1,10613.1,27145,0.0485126,5236,5236,5236,1719.17,1719.17,1719.17,5236,0.0108301,1421,1421,1421,415.032,415.032,415.032,1421,0.00433256,454336,NA
"1587",1,1989,"TIME",1,730286,730176,483358,684925,483358,730176,1046870,483358,156959,37638,37638,37638,14764.3,14764.3,14764.3,37638,0.0668954,5280,5280,5280,1632.71,1632.71,1632.71,5280,0.0108806,375,375,375,108.001,108.001,108.001,375,0.00109409,483358,NA
"1588",1,1990,"TIME",1,713952,713828,489593,774589,489593,713828,1045090,489593,151693,59190,59190,59190,16600.1,16600.1,16600.1,59190,0.146972,7666,7666,7666,2019.21,2019.21,2019.21,7666,0.0192644,5661,5661,5661,1585.62,1585.62,1585.62,5661,0.0170224,489593,NA
"1589",1,1991,"TIME",1,671473,671382,451215,569212,451215,671382,1095950,451215,137239,58101.5,58101.5,58101.5,16234.5,16234.5,16234.5,58101.5,0.157347,7734.9,7734.9,7734.9,2016.29,2016.29,2016.29,7734.9,0.0212595,10464.1,10464.1,10464.1,2904.31,2904.31,2904.31,10464.1,0.0348912,451215,NA
"1590",1,1992,"TIME",1,639198,639131,412224,423009,412224,639131,1000840,412224,126817,54762.2,54762.2,54762.2,15664.3,15664.3,15664.3,54762.2,0.163237,15830.5,15830.5,15830.5,4187.92,4187.92,4187.92,15830.5,0.048114,10154.4,10154.4,10154.4,2858.84,2858.84,2858.84,10154.4,0.0376359,412224,NA
"1591",1,1993,"TIME",1,607145,607088,378501,358870,378501,607088,852259,378501,121313,37809.5,37809.5,37809.5,11222,11222,11222,37809.5,0.119128,8970.38,8970.38,8970.38,2455.51,2455.51,2455.51,8970.38,0.0289316,9707.62,9707.62,9707.62,2809.42,2809.42,2809.42,9707.62,0.0377754,378501,NA
"1592",1,1994,"TIME",1,588115,588048,379770,419132,379770,588048,727088,379770,124501,31446.7,31446.7,31446.7,9329.7,9329.7,9329.7,31446.7,0.0982132,6877.4,6877.4,6877.4,1903.53,1903.53,1903.53,6877.4,0.0219181,9160.54,9160.54,9160.54,2682.85,2682.85,2682.85,9160.54,0.0347395,379770,NA
"1593",1,1995,"TIME",1,556873,556788,385229,534933,385229,556788,689413,385229,123474,41875,41875,41875,11999.7,11999.7,11999.7,41875,0.133858,11055.3,11055.3,11055.3,2990.68,2990.68,2990.68,11055.3,0.0357772,16054.9,16054.9,16054.9,4611.32,4611.32,4611.32,16054.9,0.0613013,385229,NA
