"","Wt_name","Wt_index","Species","Sex","year","1","2","3","4","5","6","7","8","9","10"
"2","Pcod_trawl_fishery",1,1,0,1977,0.137927,0.514728,1.03118,1.68644,2.55507,3.54755,4.56316,5.5447,6.45883,8.64695
"14","Pcod_trawl_fishery",1,1,0,1978,0.11464,0.480275,1.02618,1.70176,2.56298,3.54968,4.56366,5.54482,6.45886,8.64696
"26","Pcod_trawl_fishery",1,1,0,1979,0.127131,0.520485,1.09846,1.7741,2.59823,3.56062,4.56662,5.54566,6.45913,8.64703
"38","Pcod_trawl_fishery",1,1,0,1980,0.131504,0.554963,1.19764,1.9314,2.72725,3.62584,4.59268,5.55554,6.46306,8.64807
"50","Pcod_trawl_fishery",1,1,0,1981,0.149012,0.541129,1.06616,1.71038,2.56298,3.54933,4.56354,5.54479,6.45885,8.64696
"62","Pcod_trawl_fishery",1,1,0,1982,0.113398,0.476234,1.01901,1.6955,2.56051,3.54904,4.56351,5.54479,6.45885,8.64696
"74","Pcod_trawl_fishery",1,1,0,1983,0.149935,0.569769,1.15195,1.81003,2.61382,3.5655,4.56797,5.54605,6.45926,8.64706
"86","Pcod_trawl_fishery",1,1,0,1984,0.206376,0.629208,1.12584,1.73173,2.56766,3.55014,4.56368,5.54482,6.45886,8.64696
"98","Pcod_trawl_fishery",1,1,0,1985,0.112334,0.511615,1.15551,1.92137,2.74512,3.64543,4.60432,5.56122,6.46573,8.64884
"110","Pcod_trawl_fishery",1,1,0,1986,0.0849743,0.418041,0.981711,1.69847,2.56838,3.55208,4.56439,5.54504,6.45893,8.64698
"122","Pcod_trawl_fishery",1,1,0,1987,0.122467,0.509607,1.0856,1.76463,2.59392,3.55925,4.56624,5.54555,6.45909,8.64702
"134","Pcod_trawl_fishery",1,1,0,1988,0.141057,0.552571,1.13711,1.80404,2.61269,3.56545,4.56802,5.54608,6.45927,8.64706
"146","Pcod_trawl_fishery",1,1,0,1989,0.0855775,0.432338,1.03535,1.79561,2.65007,3.59256,4.58023,5.55097,6.46127,8.6476
"158","Pcod_trawl_fishery",1,1,0,1990,0.0967114,0.482475,1.15404,2.00126,2.91456,3.83432,4.75162,5.6571,6.52399,8.67045
