"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10"
1977,1162840,134185,54654.6,49777.8,63067.1,21207.7,10497.8,5529.5,3180.12,1975.96,2634.49
1978,386108,710293,81963.9,33377.2,30333.6,38271.1,12825.3,6338.96,3337.37,1919.15,2782.21
1979,361607,235845,433859,49987.2,20074.3,17802,22156,7396.78,3653.02,1922.96,2708.76
1980,639419,220879,144060,264723,30019.2,11650.9,10130.8,12541.9,4182.68,2065.26,2618.43
1981,688743,390574,134918,87845.8,157555,16702.2,6097.6,5161.37,6337.94,2109.03,2359.88
1982,930215,420703,238572,82255.1,52013.3,88154,9084.13,3294.22,2785.03,3419.14,2410.73
1983,668899,568200,256971,145362,48853.3,29646.9,49389.2,5071.84,1838.21,1553.93,3252.75
1984,890062,408581,347071,156833,86755.8,27577.2,16252.8,26895.1,2758.71,999.647,2613.83
1985,871955,543674,249572,211864,94466.9,50792.8,15814.1,9239.69,15249.9,1563.12,2046.91
1986,607756,532613,332088,152392,128934,56939.5,30219.2,9294.65,5379.19,8820.92,2074.81
1987,648587,371233,325295,202421,92228.7,77090.2,33489.4,17459.5,5291.69,3032.51,6100.09
1988,651262,396174,226756,198363,121579,53989.7,44424.5,19190.4,9990.18,3027.16,5225.21
1989,684925,397808,241993,138366,119359,71210.2,31145.5,25511.3,11011.1,5732.86,4738.14
1990,774589,418370,242931,147117,82587.6,69315.4,40591.3,17629.7,14413.7,6218.73,5913.62
1991,569212,473139,255544,148186,88665.8,47949,38195.9,21485.4,9142.52,7415.25,6222.99
1992,423009,347690,288997,155864,89182.6,51097.6,25977,19747.7,10863.1,4587.9,6835.25
1993,358870,258385,212371,176249,93637.1,50944.3,27141.2,13057.9,9668.59,5271.06,5533.63
1994,419132,219208,157824,129574,106360,54424,28034.8,14337.1,6770.11,4984.91,5571.42
1995,534933,256017,133895,96313,78359.1,62340.3,30474.5,15172.8,7642.17,3593.28,5606.32
1996,398329,326751,156377,81680.8,57996.1,45041.6,33448.5,15541.8,7571.67,3793.75,4579.31
1997,361378,243310,199582,95370.8,49077.1,33119.6,23889.7,16786.5,7605.44,3677.32,4067.66
1998,339854,220739,148614,121670,57016.5,27385,16693.7,11168.7,7594.73,3412.05,3484.02
