Year,Region 3
1993,0.63
1994,0.60
1995,0.60
1996,0.61
1997,0.60
1998,0.59
1999,0.62
2000,0.61
2001,0.60
2002,0.63
2003,0.65
2004,0.68
2005,0.65
2006,0.63
2007,0.63
2008,0.59
2009,0.57
2010,0.56
2011,0.56
2012,0.56
2013,0.51
2014,0.53
2015,0.52
2016,0.54
2017,0.51
2018,0.51
