"","Wt_name","Wt_index","Species","Sex","Yr","1","2","3","4","5","6","7","8","9","10"
"5","Pcod_bt_survey",8,1,0,1977,0.120088,0.543875,1.12079,1.74135,2.3379,2.97391,3.75845,4.64125,5.48523,7.40962
"17","Pcod_bt_survey",8,1,0,1978,0.120088,0.543875,1.12079,1.74135,2.3379,2.97391,3.75845,4.64125,5.48523,7.40962
"29","Pcod_bt_survey",8,1,0,1979,0.122264,0.547311,1.12621,1.74868,2.34724,2.98807,3.78021,4.6691,5.51617,7.19336
"41","Pcod_bt_survey",8,1,0,1980,0.13858,0.5559,1.13686,1.76331,2.36619,3.01724,3.82525,4.7267,5.58014,7.15662
"53","Pcod_bt_survey",8,1,0,1981,0.150546,0.596347,1.15996,1.79185,2.40354,3.07561,3.91521,4.84052,5.70582,7.23596
"65","Pcod_bt_survey",8,1,0,1982,0.190509,0.606174,1.18848,1.79075,2.40029,3.07204,3.91152,4.83757,5.70403,7.18157
"77","Pcod_bt_survey",8,1,0,1983,0.104703,0.669448,1.19354,1.81106,2.38758,3.04963,3.87851,4.79744,5.66106,6.94426
"89","Pcod_bt_survey",8,1,0,1984,0.147835,0.517227,1.27659,1.82964,2.42553,3.06135,3.89326,4.81728,5.68396,7.12607
"101","Pcod_bt_survey",8,1,0,1985,0.126602,0.598438,1.09179,1.90207,2.42986,3.08557,3.87381,4.7897,5.65488,7.29199
"113","Pcod_bt_survey",8,1,0,1986,0.120965,0.558498,1.18654,1.71465,2.504,3.09146,3.90385,4.77116,5.63152,7.30628
"125","Pcod_bt_survey",8,1,0,1987,0.131415,0.554461,1.15184,1.8278,2.33525,3.21744,3.96012,4.86221,5.68155,6.73759
"137","Pcod_bt_survey",8,1,0,1988,0.16049,0.57414,1.14538,1.79002,2.44658,3.00339,4.1055,4.91129,5.75459,7.01573
"149","Pcod_bt_survey",8,1,0,1989,0.121742,0.614718,1.14894,1.75725,2.37417,3.08585,3.7669,4.94954,5.68539,7.08699
"161","Pcod_bt_survey",8,1,0,1990,0.100376,0.537945,1.1872,1.74983,2.32769,2.97735,3.83087,4.57242,5.67009,7.02191
"173","Pcod_bt_survey",8,1,0,1991,0.103722,0.4958,1.10441,1.79576,2.32954,2.93674,3.72363,4.66426,5.36731,6.80508
"185","Pcod_bt_survey",8,1,0,1992,0.114923,0.510535,1.06696,1.72768,2.39613,2.97002,3.72197,4.61706,5.51904,6.74749
"197","Pcod_bt_survey",8,1,0,1993,0.134031,0.535387,1.08536,1.69046,2.33068,3.05393,3.76861,4.62266,5.4849,6.98336
"209","Pcod_bt_survey",8,1,0,1994,0.117376,0.569831,1.10852,1.70156,2.28371,2.95902,3.84552,4.63913,5.45457,6.94949
"221","Pcod_bt_survey",8,1,0,1995,0.112845,0.531941,1.1406,1.71504,2.28152,2.88456,3.69983,4.67681,5.42487,6.67731
"233","Pcod_bt_survey",8,1,0,1996,0.0955656,0.489886,1.09997,1.79414,2.47332,3.23779,4.03209,4.86729,5.66937,6.96076
"245","Pcod_bt_survey",8,1,0,1997,0.108514,0.470265,1.09736,1.75697,2.53435,3.28147,4.06061,4.824,5.59775,6.93126
