"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0.00306496,0.01006322,0.03105783,0.07368476,0.13440426,0.18850285,0.20328985,0.16858215,0.10749607,0.0527021,0.01986414,0.00575513,0.00128147,0.00021925,2.88e-05,2.91e-06,2.3e-07,1e-08,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.00077418,0.00227183,0.00712143,0.01871788,0.04125352,0.07624231,0.11816095,0.15356904,0.16737494,0.15298051,0.11725701,0.07536906,0.04062469,0.01836189,0.0069592,0.00221156,0.00058927,0.00013164,2.47e-05,3.87e-06,5.1e-07,6e-08,1e-08,0,0,0,0,0,0,0
"3",0.00026263,0.00072542,0.00227538,0.00621614,0.01479102,0.03065458,0.05533745,0.08701122,0.11917028,0.14216752,0.14773187,0.13371799,0.10542565,0.07240045,0.04330829,0.02256476,0.01024033,0.00404775,0.00139355,0.00041786,0.00010912,2.48e-05,4.92e-06,8.5e-07,1.3e-07,2e-08,0,0,0,0
"4",0.00011649,0.00030642,0.00095195,0.00263212,0.00647735,0.01418719,0.02765709,0.0479879,0.07410972,0.10186835,0.12463097,0.13571768,0.13154403,0.11348277,0.08713887,0.05955464,0.03622753,0.01961455,0.00945216,0.00405409,0.0015476,0.0005258,0.00015899,4.28e-05,1.03e-05,2.18e-06,4.1e-07,7e-08,1e-08,0
"5",6.47e-05,0.00016248,0.00049654,0.00136973,0.00341079,0.00766675,0.01555637,0.02849367,0.04711222,0.07031795,0.09474311,0.11523359,0.12652065,0.12539925,0.11219658,0.09061811,0.06606938,0.04348446,0.02583539,0.01385609,0.00670825,0.00293169,0.00115654,0.00041185,0.00013239,3.84e-05,1.01e-05,2.38e-06,5.1e-07,0
"6",4.31e-05,0.00010334,0.00030932,0.00084412,0.00210039,0.00476529,0.00985764,0.01859323,0.03197688,0.05014393,0.07169735,0.09347408,0.11111775,0.12044267,0.11903706,0.10727261,0.08814549,0.06604125,0.04511632,0.02810309,0.01596156,0.008266,0.00390313,0.00168045,0.00065968,0.00023612,7.71e-05,2.29e-05,6.22e-06,0
"7",3.31e-05,7.59e-05,0.00022179,0.00059573,0.00146999,0.00333238,0.00694011,0.01327861,0.02334075,0.03769238,0.0559204,0.07621944,0.09544226,0.1097983,0.11604618,0.1126799,0.10051767,0.08237937,0.06202606,0.04290509,0.02726602,0.01591885,0.00853843,0.00420745,0.00190473,0.00079217,0.00030267,0.00010624,3.43e-05,0
"8",2.84e-05,6.22e-05,0.0001775,0.00046782,0.00113946,0.00256481,0.00533524,0.01025643,0.0182214,0.02991662,0.04539303,0.06365205,0.0824865,0.09878729,0.10933703,0.11183602,0.10571689,0.09235388,0.07456137,0.05563141,0.03835953,0.02444403,0.01439521,0.00783443,0.0039404,0.00183154,0.00078674,0.00031231,0.00011457,1e-04
"9",2.66e-05,5.56e-05,0.00015462,0.00039919,0.00095704,0.00213056,0.00440429,0.00845434,0.01506968,0.02494309,0.03833707,0.05471555,0.07251475,0.08924133,0.10198357,0.10822285,0.10664303,0.09758222,0.08291507,0.06542151,0.04793267,0.03261116,0.02060268,0.01208658,0.00658423,0.00333063,0.00156447,0.00068238,0.00027638,2e-04
"10",2.65e-05,5.3e-05,0.00014366,0.00036306,0.0008554,0.00187885,0.00384731,0.00734451,0.01307105,0.02168703,0.03354538,0.04837365,0.06503228,0.08150672,0.09523631,0.10374246,0.10535507,0.09974688,0.08804164,0.0724472,0.05557758,0.0397486,0.02650255,0.01647392,0.0095466,0.00515754,0.00259763,0.0012197,0.00053391,3e-04
