ATM1_M,ATM1_F,ATM1_U,ATM2_M,ATM2_F,ATM3
0,0.0012197,0.00165485,1.00E-07,0.00471836,0
0,0.00053391,0.00077131,1.00E-08,0.00235392,0
0,3.00E-04,6.00E-04,0,0.0019,0
1.50E-05,2.76E-05,5.07E-05,9.70E-07,2.76E-06,0
5.86E-05,5.30E-05,8.61E-05,4.92E-06,6.37E-06,0
0.00024185,0.00014012,0.00021165,2.53E-05,1.92E-05,0
0.00086711,0.00034658,0.00048917,0.00011283,5.43E-05,0
0.00269929,0.00080186,0.00106333,0.00043716,0.00014326,0
0.00729614,0.00173531,0.00217384,0.00147075,0.00035376,0.001
0.01712441,0.0035128,0.00417965,0.00429649,0.00081714,0.005
0.03489988,0.00665155,0.00755796,0.0108986,0.00176559,0.026
0.06176265,0.01178114,0.01285343,0.02400553,0.00356847,0.082
0.09491335,0.01951854,0.02055806,0.0459133,0.00674642,0.174
0.12665795,0.03024848,0.0309239,0.07625358,0.01193055,0.247
0.14677243,0.04384867,0.04374779,0.10997272,0.01973522,0.233
0.14769468,0.05945746,0.05820622,0.13772584,0.03053643,0.147
0.12906061,0.07541429,0.07283413,0.14977962,0.04419672,0.062
0.09793312,0.08947435,0.0857141,0.14144873,0.05983552,0.017
0.06453118,0.09929818,0.09486798,0.11599875,0.07577511,0.003
0.03692406,0.10308178,0.09875065,0.08260626,0.08976193,0
0.01834608,0.10009688,0.0966742,0.05108304,0.09946124,0
0.00791524,0.09091952,0.08900919,0.02743069,0.10308965,0
0.00296527,0.07724876,0.07707422,0.01279042,0.09994771,0
0.00096457,0.06139367,0.06276749,0.00517865,0.09064216,0
0.00027243,0.04564078,0.04807427,0.00182066,0.07689247,0
6.68E-05,0.031738,0.03462919,0.00055581,0.06101481,0
1.42E-05,0.02064442,0.02345969,0.00014733,0.04528822,0
2.63E-06,0.01256094,0.0149469,3.39E-05,0.03144363,0
4.20E-07,0.00714887,0.00895631,6.78E-06,0.02042094,0
6.00E-08,0.00380581,0.00504727,1.18E-06,0.01240547,0
1.00E-08,0.00189519,0.00267506,1.80E-07,0.00704929,0
0,0.00088278,0.00133341,2.00E-08,0.00374691,0
0,6.00E-04,0.0011,0,0.0033,0
1.31E-05,2.98E-05,5.35E-05,9.20E-07,2.86E-06,0
5.13E-05,5.49E-05,8.72E-05,4.58E-06,6.35E-06,0
0.00021189,0.00014169,0.00020914,2.34E-05,1.87E-05,0
0.00076196,0.00034308,0.00047341,0.00010376,5.16E-05,0
0.00238452,0.00077928,0.00101087,0.00040079,0.00013378,0
0.00649435,0.00166045,0.00203616,0.00134732,0.00032521,0
0.01539375,0.00331896,0.00386881,0.00394189,0.00074162,0.001
0.0317567,0.00622328,0.00693414,0.01003733,0.00158652,0.008
0.05701848,0.01094657,0.01172347,0.02224396,0.0031839,0.031
0.08910273,0.01806259,0.01869677,0.04290316,0.00599401,0.086
0.12118975,0.02795923,0.02812703,0.0720206,0.01058569,0.169
0.14346413,0.04059886,0.03991432,0.10522592,0.0175373,0.231
0.1478172,0.05530273,0.05342967,0.13381066,0.02725512,0.222
0.1325596,0.07066812,0.0674662,0.14810204,0.03973524,0.15
0.10346675,0.08471202,0.08036,0.14267115,0.05434348,0.071
0.07028965,0.09526014,0.09029047,0.11962338,0.06972111,0.024
0.04156035,0.10048985,0.09569585,0.08729657,0.08391245,0.005
0.02138745,0.09944387,0.09567406,0.05544718,0.09473972,0.001
0.00957909,0.09231637,0.09022881,0.03065179,0.10034198,0
0.00373394,0.08039409,0.08026855,0.0147475,0.099696,0
0.00126672,0.06567714,0.06735873,0.00617536,0.0929221,0
0.00037398,0.05033252,0.05332027,0.00225053,0.08124639,0
9.61E-05,0.0361849,0.03981445,0.00071382,0.06663971,0
2.15E-05,0.02440338,0.02804387,0.00019705,0.05127522,0
4.18E-06,0.01543889,0.018633,4.73E-05,0.03701068,0
