"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0.03229836,0.0693534,0.14145159,0.2089351,0.22352526,0.17320591,0.09720458,0.03950258,0.01162154,0.00247442,0.00038117,4.25e-05,3.42e-06,2e-07,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.00472718,0.01098414,0.02809001,0.05919091,0.10277719,0.14706034,0.17340354,0.16849602,0.13492428,0.0890333,0.04841363,0.02169276,0.00800891,0.00243628,0.00061061,0.00012608,2.15e-05,3.01e-06,3.5e-07,3e-08,0,0,0,0,0,0,0,0,0,0
"3",0.00113413,0.00264318,0.00723215,0.01713933,0.03518108,0.06254891,0.09632402,0.12848728,0.14845548,0.14857532,0.12879867,0.09671341,0.0629032,0.03543751,0.01729215,0.00730842,0.00267537,0.00084826,0.00023295,5.54e-05,1.14e-05,2.04e-06,3.1e-07,4e-08,0,0,0,0,0,0
"4",0.00039383,0.0008987,0.00250794,0.00622508,0.01374345,0.02698788,0.04713752,0.07323086,0.10119434,0.12438088,0.13598355,0.13223791,0.11438348,0.08800447,0.06022571,0.03665993,0.01984853,0.00955847,0.00409422,0.00155983,0.00052858,0.00015932,4.27e-05,1.02e-05,2.16e-06,4.1e-07,7e-08,1e-08,0,0
"5",0.0001828,0.00040368,0.0011248,0.00283433,0.00645896,0.01331099,0.02480799,0.0418126,0.06373242,0.08785268,0.10951967,0.12347234,0.12589005,0.11607958,0.09679703,0.07299782,0.04978518,0.03070644,0.01712751,0.00863958,0.00394117,0.0016259,0.0006066,0.00020467,6.25e-05,1.72e-05,4.3e-06,9.7e-07,2e-07,0
"6",0.00010655,0.00022623,0.00062248,0.00156675,0.00360728,0.00759742,0.01463702,0.02579526,0.04158421,0.06132261,0.08272169,0.10207642,0.11522227,0.11897506,0.11237821,0.09709919,0.07674581,0.05548827,0.03669894,0.02220285,0.01228754,0.00622045,0.00288058,0.00122023,0.00047284,0.00016761,5.44e-05,1.61e-05,4.37e-06,0
"7",7.41e-05,0.00015081,0.00040728,0.00101461,0.00233165,0.00494293,0.00966622,0.01743729,0.02901693,0.04454253,0.06307415,0.08239164,0.09928189,0.11035955,0.11316356,0.10704285,0.09340372,0.0751838,0.05582643,0.03823932,0.02416198,0.01408333,0.0075723,0.00375579,0.00171842,0.00072529,0.00028239,0.00010143,3.36e-05,0
"8",5.91e-05,0.00011501,0.00030382,0.00074519,0.00169701,0.00358809,0.00704376,0.01283821,0.02172511,0.03413321,0.04979107,0.06743526,0.08479787,0.09900203,0.10731581,0.10800566,0.10092322,0.08755824,0.07052836,0.05274642,0.03662551,0.02361206,0.01413324,0.0078543,0.00405258,0.0019414,0.0008635,0.0003566,0.00013673,1e-04
"9",5.23e-05,9.72e-05,0.00025083,0.00060391,0.00135696,0.00284555,0.0055688,0.01017074,0.0173355,0.02757488,0.04093406,0.05670894,0.07331883,0.08846608,0.09961699,0.10468577,0.10266862,0.09396944,0.08026582,0.06398398,0.04760027,0.0330479,0.02141278,0.01294778,0.00730653,0.00384788,0.00189116,0.00086743,0.00037131,2e-04
"10",5e-05,8.89e-05,0.00022376,0.00052801,0.00116772,0.00242025,0.00470118,0.00855812,0.01460063,0.02334462,0.03498031,0.04912286,0.06464997,0.07974039,0.0921749,0.09985508,0.10138048,0.09646332,0.08601923,0.07188729,0.0563033,0.04132766,0.02842965,0.0183284,0.01107387,0.00627041,0.00332748,0.00165485,0.00077131,6e-04
