"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2012,773157,569791.136964124,976522.863035876,0.377545,0.222177086974322,0.532912913025678
2013,1422530,1040995.5709135,1804064.4290865,0.694643,0.407700352735367,0.981585647264633
2014,1522170,1114956.12278805,1929383.87721195,0.7433,0.436751832998013,1.04984816700199
2015,1159130,845533.802509607,1472726.19749039,0.566022,0.331855302947077,0.800188697052923
2016,1035880,749764.457536843,1321995.54246316,0.505837,0.295315308456568,0.716358691543432
2017,1298340,899497.128966022,1697182.87103398,0.634003,0.359972595465517,0.908033404534483
2018,1236700,802409.22034163,1670990.77965837,0.603902,0.32766271605494,0.88014128394506
2019,1289090,776602.537250436,1801577.46274956,0.629483,0.322595759228687,0.936370240771313
2020,1158770,624432.858750783,1693107.14124922,0.565845,0.264553456404549,0.867136543595451
2021,1007470,460687.087448954,1554252.91255105,0.491963,0.199428575487474,0.784497424512526
2022,857143,331167.065108831,1383118.93489117,0.418556,0.147612538741168,0.689499461258832
