"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2012,1148500,751186.110921422,1755959.31663595,0.404937,-0.0294537378215812,0.839327737821581
2013,308235,154973.909382684,613063.293063033,-0.95617,-1.65984998947746,-0.252490010522538
2014,6543420,4483313.07719432,9550157.34105161,2.09553,1.67674645538731,2.51431354461269
2015,43979.5,12748.0292054329,151725.132495436,-2.89072,-4.2392712595988,-1.5421687404012
2016,4518030,2812808.36870049,7257015.90909679,1.74939,1.25333095536885,2.24544904463115
2017,1810690,924184.282772292,3547559.00659242,0.819746,0.136869068254446,1.50262293174555
2018,547256,207467.559357409,1443546.79094703,-0.373774,-1.37531951602794,0.627771516027936
2019,738207,259005.663336124,2104006.40599813,-0.0770542,-1.1711766548737,1.0170682548737
2020,4244830,1280189.36615399,14074934.6973818,1.67903,0.384154314081815,2.97390568591819
2021,783935,99484.81264611,6177365.84991227,0,-2.74394957835607,2.74394957835607
2022,773497,98139.0593890939,6096426.97549114,0,-2.74394957835607,2.74394957835607
