"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 2+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2022,457346,457346,2490420,857143,0.418556
2023,390936,390936,2168510,913025,0.445845
2024,373594,372934,1770350,778000,0.37991
2025,330614,317665,1353370,580207,0.283324
