"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 2+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_40%)","Exploitation Rate"
1966,1539620,581565,1388750,0.283988085064824,1117340,137700,0.701645,0.0991539153915392
1967,1597460,578636,1469070,0.282557804526699,2992440,214370,0.905149,0.145922250131035
1968,1666270,578059,1405740,0.282276045608809,1841810,122180,0.713319,0.086915076756726
1969,1906880,638387,1753740,0.311735234514247,599594,180130,0.837496,0.102711918528402
1970,2012850,751753,1897520,0.367093781282809,5044900,234590,0.905411,0.123629790463342
1971,2151680,769892,1746440,0.375951363625266,587696,154620,0.718678,0.0885343899590023
1972,2418210,808580,2367220,0.394843372317308,348621,117540,0.576437,0.0496531796791173
1973,2470630,1036620,2398430,0.506199184510584,3314660,162640,0.621757,0.0678110263797568
1974,2491910,1028340,2227340,0.502155919623019,261620,211260,0.696885,0.0948485637576661
1975,3072910,1166470,2981880,0.569607148961106,1041060,221350,0.771819,0.0742316927575892
1976,3249580,1423820,3156880,0.695275532875943,156028,237520,0.692048,0.0752388434150174
1977,3037730,1230970,2808760,0.601103596454818,3964260,132690,0.484352,0.0472414873467295
1978,2508350,1051160,2267520,0.513299313914593,102506,103637,0.48152,0.0457049992943833
1979,2871520,1114600,2823930,0.544278145371975,850951,137110,0.507527,0.0485529032235218
1980,3079420,1130510,2505610,0.552047269087091,11460600,89929.9,0.400771,0.0358914196542958
1981,3301280,1048380,2284750,0.511941792611764,187027,139120,0.550104,0.0608906882591093
1982,3748970,1097910,3723470,0.536128134384843,191830,107737,0.463906,0.0289345690981799
1983,3665980,1598400,3633220,0.780525917425593,354693,113931,0.443919,0.0313581341069354
1984,3907820,1686750,3563610,0.823668725736748,9532250,138492,0.499037,0.0388628385261013
1985,4610150,1491670,3248010,0.728407842371267,101068,110399,0.329022,0.0339897352532782
1986,4682060,1574980,4665530,0.769089532924775,143190,210582,0.556594,0.0451357080546047
1987,4292920,1855430,4173680,0.9060380398955,4589620,234148,0.61543,0.0561010906442276
1988,4401230,1828270,3844120,0.892775349757062,1607490,248840,0.615831,0.0647326306150692
1989,4069340,1527430,3884530,0.7458700588422,116566,298079,0.688575,0.0767348945689697
1990,3786350,1623170,3724750,0.792621529897209,3104990,261286,0.615094,0.07014860057722
1991,3633130,1518890,3270010,0.74169983153063,979659,319705,0.856115,0.0977688141626478
1992,3134540,1267140,3023810,0.618766022902068,120712,299650,0.766072,0.0990968347879
1993,2385970,1010970,2335940,0.49367385306541,2415030,198905,0.645228,0.0851498754248825
1994,2400290,991698,2126110,0.484263007544498,2498010,362407,0.750958,0.170455432691629
1995,2371220,851311,2128650,0.415709646702639,1023270,249495,0.676122,0.117208089634275
1996,2283660,833575,2176290,0.407048856117391,1438360,306298,0.831412,0.140743191394529
1997,2179660,861782,2058860,0.42082281417096,746111,325147,0.847132,0.157925745315369
1998,1792950,732346,1718880,0.357617012964817,1502390,320722,0.99532,0.186587778088057
1999,1740450,611163,1423300,0.298441292086823,9784710,311887,1.09552,0.219129487810019
2000,3200520,646378,1673340,0.315637375784359,295616,228777,0.819043,0.136718778012837
2001,3319850,888015,3293440,0.433632834436116,927183,227525,0.827564,0.0690843009133307
2002,3625080,1532140,3567050,0.748170031984765,38698.9,180697,0.615326,0.0506572658078805
2003,3212560,1462310,3189540,0.714070854798936,1323120,205162,0.563309,0.0643233820550926
2004,2691430,1180530,2573630,0.57647288619772,39122.4,342307,0.850886,0.133005521384193
2005,2190330,928614,2155390,0.4534580169446,2095330,363135,0.831213,0.168477630498425
2006,1907940,753023,1656780,0.367713943892375,1608750,361699,0.934348,0.218314441265587
2007,1516040,583554,1457050,0.284959347608467,21821.2,291238,0.984989,0.199881953261727
2008,1540420,582381,1478070,0.284386551749396,4221130,323101,1.01733,0.218596548201371
2009,1312030,495018,1070760,0.241725712332446,1113570,178683,0.911476,0.166874929956293
2010,1768560,490523,1516770,0.239530727348194,11814600,228059,1.05723,0.150358327234848
2011,2310810,603732,1489500,0.294812608345338,337135,287331,1.01407,0.192904330312185
2012,2933550,773157,2884470,0.377545718680567,1148500,207200,0.808202,0.0718329537142005
2013,3442740,1422530,3317280,0.694645603926069,308235,285827,0.796374,0.0861630613032364
2014,3526220,1522170,3432200,0.743301511341163,6543420,299254,0.760729,0.0871901404347066
2015,2974030,1159130,2566600,0.566022902068023,43979.5,193838,0.585183,0.0755232603444245
2016,3039830,1035880,2992300,0.505837829919184,4518030,332067,0.876924,0.110973832837617
2017,3455380,1298340,2920520,0.634001513782748,1810690,440942,0.897597,0.150980647281991
2018,3645570,1236700,3360270,0.603901652953097,547256,413718,0.850698,0.12312046353418
2019,3153290,1289090,3108170,0.629484581390239,738207,412004,0.846334,0.132555169118806
2020,2718390,1158770,2573540,0.565847107942476,4244830,380388,0.748816,0.147807300449964
2021,2739730,1007470,2270090,0.491964743511488,783935,326629,0.695635,0.143883722671788
2022,2583480,857143,2490420,0.41855751153649,773497,457346,0.97986,0.183642116590776
2023,2260580,913025,2168510,0.44584564299143,777745,390936,0.981863,0.180278624493316
2024,1862670,778000,1770350,0.379910637986181,766539,372934,1.00594,0.210655520094896
2025,1423750,580207,1353370,0.283324950557902,741898,317665,1.10264,0.234721473063538
