"Year","Fishery (mt)","Total Catch (mt)"
2012,207200,207200
2013,285827,285827
2014,299254,299254
2015,193838,193838
2016,332067,332067
2017,440942,440942
2018,413718,413718
2019,412004,412004
2020,380388,380388
2021,326629,326629
