,Wt_name,Wt_index,Species,Sex,Yr,1,2,3,4,5,6,7,8,9,10
5,Pcod_bt_survey,1,1,0,1977,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
17,Pcod_bt_survey,1,1,0,1978,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
29,Pcod_bt_survey,1,1,0,1979,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
41,Pcod_bt_survey,1,1,0,1980,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
53,Pcod_bt_survey,1,1,0,1981,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
65,Pcod_bt_survey,1,1,0,1982,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
77,Pcod_bt_survey,1,1,0,1983,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
89,Pcod_bt_survey,1,1,0,1984,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
101,Pcod_bt_survey,1,1,0,1985,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
113,Pcod_bt_survey,1,1,0,1986,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
125,Pcod_bt_survey,1,1,0,1987,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
137,Pcod_bt_survey,1,1,0,1988,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
149,Pcod_bt_survey,1,1,0,1989,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
161,Pcod_bt_survey,1,1,0,1990,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
173,Pcod_bt_survey,1,1,0,1991,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
185,Pcod_bt_survey,1,1,0,1992,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
197,Pcod_bt_survey,1,1,0,1993,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
209,Pcod_bt_survey,1,1,0,1994,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
221,Pcod_bt_survey,1,1,0,1995,0.122432,0.563615,1.15933,1.79888,2.41824,3.10779,3.96147,4.87376,5.70767,7.54831
233,Pcod_bt_survey,1,1,0,1996,0.113419,0.526245,1.14597,1.83052,2.61179,3.46125,4.30838,5.10942,5.84309,7.58422
245,Pcod_bt_survey,1,1,0,1997,0.113419,0.526245,1.14597,1.83052,2.61179,3.46125,4.30838,5.10942,5.84309,7.58422
257,Pcod_bt_survey,1,1,0,1998,0.113419,0.526245,1.14597,1.83052,2.61179,3.46125,4.30838,5.10942,5.84309,7.58422
269,Pcod_bt_survey,1,1,0,1999,0.113419,0.526245,1.14597,1.83052,2.61179,3.46125,4.30838,5.10942,5.84309,7.58422
281,Pcod_bt_survey,1,1,0,2000,0.113419,0.526245,1.14597,1.83052,2.61179,3.46125,4.30838,5.10942,5.84309,7.58422
293,Pcod_bt_survey,1,1,0,2001,0.113419,0.526245,1.14597,1.83052,2.61179,3.46125,4.30838,5.10942,5.84309,7.58422
305,Pcod_bt_survey,1,1,0,2002,0.113419,0.526245,1.14597,1.83052,2.61179,3.46125,4.30838,5.10942,5.84309,7.58422
317,Pcod_bt_survey,1,1,0,2003,0.113419,0.526245,1.14597,1.83052,2.61179,3.46125,4.30838,5.10942,5.84309,7.58422
329,Pcod_bt_survey,1,1,0,2004,0.113419,0.526245,1.14597,1.83052,2.61179,3.46125,4.30838,5.10942,5.84309,7.58422
341,Pcod_bt_survey,1,1,0,2005,0.113419,0.526245,1.14597,1.83052,2.61179,3.46125,4.30838,5.10942,5.84309,7.58422
353,Pcod_bt_survey,1,1,0,2006,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
365,Pcod_bt_survey,1,1,0,2007,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
377,Pcod_bt_survey,1,1,0,2008,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
389,Pcod_bt_survey,1,1,0,2009,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
401,Pcod_bt_survey,1,1,0,2010,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
413,Pcod_bt_survey,1,1,0,2011,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
425,Pcod_bt_survey,1,1,0,2012,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
437,Pcod_bt_survey,1,1,0,2013,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
449,Pcod_bt_survey,1,1,0,2014,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
461,Pcod_bt_survey,1,1,0,2015,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
473,Pcod_bt_survey,1,1,0,2016,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
485,Pcod_bt_survey,1,1,0,2017,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
497,Pcod_bt_survey,1,1,0,2018,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
509,Pcod_bt_survey,1,1,0,2019,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
521,Pcod_bt_survey,1,1,0,2020,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
533,Pcod_bt_survey,1,1,0,2021,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
545,Pcod_bt_survey,1,1,0,2022,0.111428,0.53894,1.13445,1.79396,2.59558,3.45757,4.3077,5.10929,5.84307,7.58421
6,Pcod_ll_survey,2,1,0,1977,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
18,Pcod_ll_survey,2,1,0,1978,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
30,Pcod_ll_survey,2,1,0,1979,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
42,Pcod_ll_survey,2,1,0,1980,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
54,Pcod_ll_survey,2,1,0,1981,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
66,Pcod_ll_survey,2,1,0,1982,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
78,Pcod_ll_survey,2,1,0,1983,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
90,Pcod_ll_survey,2,1,0,1984,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
102,Pcod_ll_survey,2,1,0,1985,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
114,Pcod_ll_survey,2,1,0,1986,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
126,Pcod_ll_survey,2,1,0,1987,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
138,Pcod_ll_survey,2,1,0,1988,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
150,Pcod_ll_survey,2,1,0,1989,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
162,Pcod_ll_survey,2,1,0,1990,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
174,Pcod_ll_survey,2,1,0,1991,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
186,Pcod_ll_survey,2,1,0,1992,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
198,Pcod_ll_survey,2,1,0,1993,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
210,Pcod_ll_survey,2,1,0,1994,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
222,Pcod_ll_survey,2,1,0,1995,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
234,Pcod_ll_survey,2,1,0,1996,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
246,Pcod_ll_survey,2,1,0,1997,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
258,Pcod_ll_survey,2,1,0,1998,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
270,Pcod_ll_survey,2,1,0,1999,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
282,Pcod_ll_survey,2,1,0,2000,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
294,Pcod_ll_survey,2,1,0,2001,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
306,Pcod_ll_survey,2,1,0,2002,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
318,Pcod_ll_survey,2,1,0,2003,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
330,Pcod_ll_survey,2,1,0,2004,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
342,Pcod_ll_survey,2,1,0,2005,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
354,Pcod_ll_survey,2,1,0,2006,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
366,Pcod_ll_survey,2,1,0,2007,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
378,Pcod_ll_survey,2,1,0,2008,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
390,Pcod_ll_survey,2,1,0,2009,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
402,Pcod_ll_survey,2,1,0,2010,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
414,Pcod_ll_survey,2,1,0,2011,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
426,Pcod_ll_survey,2,1,0,2012,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
438,Pcod_ll_survey,2,1,0,2013,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
450,Pcod_ll_survey,2,1,0,2014,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
462,Pcod_ll_survey,2,1,0,2015,0.364066,0.879675,1.48511,2.09788,2.70392,3.32543,3.99515,4.72635,5.48129,7.371
