"Year","R_admb","R_rce","SSB_admb","SSB_rce","Bio_admb","Bio_rce","F_admb","F_rce","R_pdiff","SSB_pdiff","Bio_pdiff"
1961,107.319,1979.08479835062,225831,407444.161157666,1061380,1113834.31570561,0.0328195,0.0182734240155418,1744.11408823286,80.4199428588927,4.94208631268858
1962,130.653,76.0100573332621,239606,401056.856869246,1189110,1181896.18166782,0.115034,0.0785809209806145,-41.8229529109457,67.3818088316844,-0.606656939406625
1963,199.196,87.2000775046332,249991,373866.56475225,1252840,1208222.61066288,0.210761,0.185255956929054,-56.2239816539322,49.552009773252,-3.56129987365637
1964,133.601,161.219348357477,251420,318352.007607285,1218900,1159408.70995153,0.404908,0.4073314292719,20.6722617027395,26.621592398093,-4.88073591340267
1965,139.588,174.998765862402,220195,228182.45287925,1047200,990822.777088522,0.704485,0.77617211918112,25.3680587603536,3.62744516417275,-5.38361563325798
1966,276.745,147.390885573712,155624,130823.12665787,751217,704560.565507235,0.46279,0.538063648374554,-46.7412652175425,-15.936406558198,-6.21077990683989
1967,155.555,290.222639481319,133981,104313.518425421,604437,566404.274480141,0.321939,0.353924971200314,86.572363139288,-22.1430513092002,-6.29225635092805
1968,88.8808,152.223302159223,125731,100557.701703524,531516,499229.754797265,0.31711,0.333196031000632,71.2668002079445,-20.0215525975904,-6.07436938920655
1969,64.4148,101.358669239936,114208,96138.1460122188,471225,444947.647835471,0.262953,0.273820928262702,57.3530760631658,-15.8218811184691,-5.57639177983539
1970,66.4173,78.5837127790386,106345,92849.1835402099,433135,413407.078600211,0.172399,0.178560548421092,18.3181381643617,-12.6905980156943,-4.55468188896975
1971,56.3864,69.2125389272152,106328,94577.0499099987,417477,404984.204799354,0.309817,0.324057245724655,22.7468661365422,-11.0516045538346,-2.99245112919894
1972,42.2068,59.6622813709196,93895.6,83359.8277991819,362260,356349.182445425,0.340868,0.359670174500217,41.3570357641887,-11.2207304717346,-1.63165062512424
1973,36.6124,46.0534526395488,80804.4,71631.8144411377,301873,301902.627015332,0.2795,0.28907317163388,25.7864893848771,-11.3515916940938,0.00981439722411714
1974,33.4321,36.6121602905676,72942.4,65889.3430743107,259029,264029.281995599,0.293101,0.291296721740226,9.51199682511008,-9.66935133158395,1.93039466453522
1975,31.3522,30.2964784671106,63921.2,59967.3363840047,218523,227099.578413387,0.354762,0.337188170026557,-3.36729649877643,-6.18552783113472,3.92479437559776
1976,30.9443,26.427815273507,52011.8,51409.1846054645,176535,187108.850876327,0.410482,0.371785489111892,-14.5955304417712,-1.1586128427309,5.98966260306859
1977,36.8758,27.5755216635281,39833.1,41932.3535260112,138954,150066.501224481,0.269589,0.206444115240056,-25.2205466362001,5.2701234049352,7.99725176999675
