"","age","M1","M2","M","Fmort","Z"
"1",1,0.474,0.401,0.865,0,0.865
"2",2,0.474,0.124,0.596,0.001,0.597
"3",3,0.474,0.019,0.493,0.004,0.497
"4",4,0.474,0.001,0.475,0.028,0.503
