"","Year","Age1M2","Age1Z","Age2M2","Age2Z","Age3M2","Age4Z","Age4M2","Age4Z.1"
"1",1977,0.27,0.748,0.105,0.583,0.015,0.49,0.001,0.48
"2",1978,0.258,0.734,0.096,0.572,0.014,0.491,0.001,0.498
"3",1979,0.237,0.711,0.087,0.561,0.013,0.49,0.001,0.502
"4",1980,0.24,0.716,0.082,0.556,0.013,0.495,0.001,0.553
"5",1981,0.291,0.77,0.087,0.561,0.013,0.493,0.001,0.521
"6",1982,0.271,0.751,0.076,0.55,0.012,0.488,0.001,0.497
"7",1983,0.334,0.816,0.09,0.566,0.014,0.491,0.001,0.496
"8",1984,0.345,0.826,0.091,0.567,0.015,0.49,0.001,0.487
"9",1985,0.337,0.817,0.092,0.567,0.016,0.49,0.001,0.48
"10",1986,0.327,0.805,0.095,0.571,0.017,0.492,0.001,0.481
"11",1987,0.359,0.835,0.108,0.584,0.02,0.495,0.001,0.487
"12",1988,0.37,0.844,0.104,0.579,0.019,0.495,0.001,0.486
"13",1989,0.396,0.868,0.1,0.575,0.018,0.495,0.001,0.488
"14",1990,0.418,0.888,0.1,0.575,0.018,0.496,0.001,0.494
"15",1991,0.539,1.004,0.126,0.6,0.022,0.499,0.001,0.497
"16",1992,0.51,0.974,0.118,0.592,0.019,0.497,0.001,0.499
"17",1993,0.52,0.983,0.124,0.597,0.02,0.496,0.001,0.493
"18",1994,0.513,0.976,0.134,0.607,0.021,0.497,0.001,0.49
"19",1995,0.455,0.918,0.133,0.606,0.022,0.499,0.001,0.495
"20",1996,0.465,0.925,0.148,0.62,0.025,0.503,0.001,0.5
"21",1997,0.435,0.895,0.155,0.627,0.028,0.507,0.001,0.507
"22",1998,0.445,0.902,0.172,0.642,0.031,0.51,0.002,0.508
"23",1999,0.381,0.841,0.156,0.627,0.029,0.508,0.002,0.513
"24",2000,0.377,0.837,0.153,0.624,0.028,0.506,0.001,0.506
"25",2001,0.409,0.867,0.147,0.618,0.026,0.503,0.001,0.503
"26",2002,0.438,0.893,0.131,0.602,0.022,0.5,0.001,0.501
"27",2003,0.556,1.005,0.147,0.616,0.023,0.5,0.001,0.501
"28",2004,0.605,1.052,0.149,0.618,0.022,0.499,0.001,0.5
"29",2005,0.637,1.082,0.163,0.631,0.022,0.498,0.001,0.495
"30",2006,0.542,0.993,0.158,0.627,0.021,0.498,0.001,0.499
"31",2007,0.457,0.911,0.154,0.623,0.021,0.499,0.001,0.513
"32",2008,0.419,0.873,0.143,0.613,0.018,0.5,0.001,0.533
"33",2009,0.402,0.855,0.136,0.605,0.017,0.496,0.001,0.516
"34",2010,0.495,0.944,0.161,0.628,0.02,0.499,0.001,0.522
"35",2011,0.433,0.887,0.149,0.617,0.019,0.496,0.001,0.513
"36",2012,0.379,0.837,0.141,0.61,0.018,0.497,0.001,0.514
"37",2013,0.308,0.771,0.126,0.596,0.016,0.495,0,0.514
"38",2014,0.274,0.739,0.106,0.579,0.014,0.497,0,0.534
"39",2015,0.349,0.806,0.125,0.597,0.017,0.498,0.001,0.535
"40",2016,0.369,0.822,0.117,0.588,0.015,0.494,0,0.512
"41",2017,0.352,0.806,0.118,0.589,0.016,0.493,0.001,0.502
"42",2018,0.335,0.791,0.121,0.591,0.016,0.49,0,0.482
"43",2019,0.272,0.73,0.098,0.568,0.009,0.483,0,0.474
