"Quantity","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","79480.5","64054.5","48726.93","15150.42","15715.87","6842.41","19173.1","25921.85","21725.58","23170.79","NA"
"1-SPR","0.434072","0.432005","0.600651","0.333928","0.343036","0.179176","0.347681","0.402115","0.363767","0.387975",NA
"Fill in F method","0.77612","0.788061","0.740881","0.230744","0.23932","0.095864","0.242482","0.307929","0.259689","0.291048",NA
"Age 1+ Biomass (mt)","358832","253115","159376","134851","144236","157223","175043","177040","171084","170412","498698"
"Spawning Biomass (mt)","157180","124447","95983.9","84234.8","82872.4","83024.6","99509.5","109627","107020","102580","99210.3"
"Lower Interval","127584.935826242","102468.551866563","78777.7681725198","66407.5947850987","66045.1292107314","66488.4426613551","81703.0312040552","90225.4341148771","87094.222147572","82292.6087924244","77101.3182651928"
"Upper Interval","186775.064173758","146425.448133437","113190.03182748","102062.005214901","99699.6707892686","99560.7573386449","117315.968795945","129028.565885123","126945.777852428","122867.391207576","121319.281734807"
"Recruits","278914","271411","293611","208612","171594","187267","217044","212307","410739","480494","517216"
"Lower Interval","167824.125576541","173052.936654226","198033.455188558","139048.132451645","112590.524949012","121392.048513327","134128.239136203","117738.386684014","173089.503038536","193718.016507343","348334.630095965"
"Upper Interval","463538.95263122","425672.816337041","435317.452997614","312977.713376582","261518.461250042","288889.838490121","351216.852166106","382834.040099175","974677.973877132","1191806.97902329","767975.296002872"
"Fraction Unfished","0.412605","0.326679","0.251962","0.22112","0.217544","0.217943","0.261217","0.287776","0.280932","0.269278","0.260431"
"Lower Interval","0.341998669431734","0.27146387460953","0.205350528512465","0.175950082023095","0.174880091973727","0.176360404103998","0.215501624046197","0.238297689192279","0.231245737013519","0.219390840705104","0.20696161453056"
"Upper Interval","0.483211330568266","0.38189412539047","0.298573471487535","0.266289917976905","0.260207908026273","0.259525595896002","0.306932375953803","0.337254310807721","0.330618262986481","0.319165159294896","0.31390038546944"
