"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2015,157180,127584.935826242,186775.064173758,0.412605,0.341998669431734,0.483211330568266
2016,124447,102468.551866563,146425.448133437,0.326679,0.27146387460953,0.38189412539047
2017,95983.9,78777.7681725198,113190.03182748,0.251962,0.205350528512465,0.298573471487535
2018,84234.8,66407.5947850987,102062.005214901,0.22112,0.175950082023095,0.266289917976905
2019,82872.4,66045.1292107314,99699.6707892686,0.217544,0.174880091973727,0.260207908026273
2020,83024.6,66488.4426613551,99560.7573386449,0.217943,0.176360404103998,0.259525595896002
2021,99509.5,81703.0312040552,117315.968795945,0.261217,0.215501624046197,0.306932375953803
2022,109627,90225.4341148771,129028.565885123,0.287776,0.238297689192279,0.337254310807721
2023,107020,87094.222147572,126945.777852428,0.280932,0.231245737013519,0.330618262986481
2024,102580,82292.6087924244,122867.391207576,0.269278,0.219390840705104,0.319165159294896
2025,99210.3,77101.3182651928,121319.281734807,0.260431,0.20696161453056,0.31390038546944
