"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 1+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","1-SPR","Exploitation Rate"
1977,259583,162823,259397,0.427417534243699,1162840,2268,0.0359157,0.00874335478051018
1978,266870,185712,266808,0.487502165661275,386108,12190,0.169427,0.0456882852088393
1979,301736,181503,301678,0.476453355593706,361607,14904,0.209787,0.0494036688124424
1980,362427,171694,362325,0.450704299297013,639419,35345,0.37334,0.0975505416407921
1981,397298,198988,397187,0.522352249400177,688743,36131,0.311789,0.0909672270240466
1982,421730,254073,421582,0.666952796459341,930215,29465,0.253902,0.0698915039067133
1983,455828,275258,455721,0.722564352952912,668899,36540,0.289648,0.0801806368370121
1984,498840,278598,498698,0.731331999810997,890062,23898,0.193196,0.0479207857260306
1985,561616,309476,561477,0.812388107500801,871955,14428,0.109194,0.0256965111660852
1986,633128,367194,633031,0.963900395331622,607756,25012,0.157098,0.0395114931180306
1987,696790,423472,696687,1.11163261984638,648587,32939,0.183368,0.047279481316574
1988,724978,454336,724874,1.19265197692061,651262,33802,0.177047,0.0466315525180928
1989,730286,483358,730176,1.26883600300305,684925,43293,0.216966,0.0592911845911123
1990,713952,489593,713828,1.2852031521528,774589,72517,0.298503,0.101588898165945
1991,671473,451215,671382,1.18445921469185,569212,76300.5,0.328865,0.113646925297372
1992,639198,412224,639131,1.0821061252776,423009,80747.1,0.362899,0.126338888271731
1993,607145,378501,607088,0.993581767494606,358870,56487.5,0.29705,0.0930466423319189
1994,588115,379770,588048,0.996912948291884,419132,47484.64,0.259826,0.0807495986722172
1995,556873,385229,556788,1.01124306332131,534933,68985.2,0.341911,0.123898503559703
1996,495443,351296,495380,0.922167446304726,398329,68279.9,0.363699,0.137833380435221
1997,444326,302755,444269,0.794745186981882,361378,77170.3,0.435023,0.173701743763351
1998,397597,249212,397543,0.654192457723667,339854,72624.7,0.468777,0.182683885768332
1999,361650,218545,361569,0.573690234311425,504029,82542.6,0.537276,0.228290035926753
2000,320411,192636,320332,0.505677970105999,494146,66551.4,0.508388,0.207757576514366
2001,301906,175616,301859,0.460999721745339,296645,51530.4,0.461622,0.170710166004658
2002,307147,167053,307106,0.438521470234626,257487,54637.4,0.488282,0.177910558569354
2003,308180,164401,308132,0.431559853627548,301870,52581.5,0.478335,0.170646021834798
2004,299260,175163,299213,0.459810576827162,294189,56623.6,0.482334,0.189241777596562
2005,277152,174736,277066,0.458689683052191,534749,47584.35,0.437341,0.17174373614951
2006,260283,162842,260166,0.427467410079119,732468,47897.1,0.461875,0.184102073291668
2007,256668,145104,256583,0.380904380148367,532209,52260.9,0.526554,0.203680290588231
2008,278050,129626,277925,0.340273949588656,783890,59014,0.583004,0.212337860933705
2009,314253,129276,314185,0.339355184199335,425130,53196.3,0.536235,0.169315212374875
2010,366682,163344,366600,0.428785182151801,514503,78593,0.577858,0.214383524277141
2011,389786,188299,389658,0.494293154410336,796742,85366.7,0.563673,0.219081091623937
2012,392348,205738,392163,0.540071296194211,1163520,77930.4,0.518794,0.198719410041233
2013,405483,219205,405369,0.575422763331286,712407,68575.9,0.473882,0.169169078049876
2014,456163,221073,456125,0.580326345466287,235525,84945.1,0.375544,0.186232063579063
2015,358877,157180,358832,0.412604411123886,278914,79480.5,0.434072,0.221497803986267
2016,253158,124447,253115,0.326678846870685,271411,64054.5,0.432005,0.253064812437035
2017,159423,95983.9,159376,0.251961957862794,293611,48726.93,0.600651,0.305735681658468
2018,134884,84234.8,134851,0.2211200537609,208612,15150.42,0.333928,0.112349333709057
2019,144263,82872.4,144236,0.217543693856872,171594,15715.87,0.343036,0.108959413738595
2020,157253,83024.6,157223,0.217943225549028,187267,6842.41,0.179176,0.0435204136799323
2021,175078,99509.5,175043,0.261216812881616,217044,19173.1,0.347681,0.109533657444171
2022,177074,109627,177040,0.287775695242895,212307,25921.85,0.402115,0.146418041120651
2023,171150,107020,171084,0.280932205614444,410739,21725.58,0.363767,0.126987795468892
2024,170489,102580,170412,0.269277010389924,480494,23170.79,0.387975,0.135969239255452
2025,180671,99210.3,180589,0.260431399725945,517216,35626.9,0.519421,0.197281672748617
2026,199315,91206.9,199233,0.239422122820557,517216,31346.56,0.497425,0.157336184266663
2027,239418,100785,239336,0.264565056464696,517216,39483.4,0.523505,0.164970585285958
2028,281020,123771,280937,0.324904317147312,517216,59021.6,0.575573,0.210088382804686
2029,307507,143601,307424,0.376958939062229,517216,71269.2,0.588433,0.231827053190382
2030,321735,156438,321652,0.410656628498527,517216,76887.5,0.588433,0.239039396614975
2031,328879,163368,328796,0.428848183207069,517216,79745.7,0.588433,0.24253853453205
2032,331995,166455,331912,0.436951693940874,517216,80959.6,0.588433,0.243918870061944
2033,333403,167860,333320,0.440639880718002,517216,81479.3,0.588433,0.244447677907116
2034,333968,168424,333885,0.442120405516792,517216,81682.5,0.588433,0.244642616469743
2035,334193,168649,334110,0.442711040409927,517216,81761.4,0.588433,0.244714016341923
2036,334270,168726,334187,0.442913168795577,517216,81788.6,0.588433,0.244739023361172
2037,334297,168753,334214,0.442984044982753,517216,81798.2,0.588433,0.24474797584781
2038,334306,168762,334224,0.443007670378479,517216,81801.5,0.588433,0.244750526592944
2039,334309,168766,334227,0.443018170554357,517216,81802.7,0.588433,0.244751920102206
