"Year","OFL (mt)","ABC (mt)","ACL (mt)","Catch (mt)"
2015,"fill in","fill in","fill in",79480.5
2016,"fill in","fill in","fill in",64054.5
2017,"fill in","fill in","fill in",48726.93
2018,"fill in","fill in","fill in",15150.42
2019,"fill in","fill in","fill in",15715.87
2020,"fill in","fill in","fill in",6842.41
2021,"fill in","fill in","fill in",19173.1
2022,"fill in","fill in","fill in",25921.85
2023,"fill in","fill in","fill in",21725.58
2024,"fill in","fill in","fill in",23170.79
