"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 1+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2025,45521.7,35626.9,180589,99210.3,0.260431
2026,43484,31346.5,199233,91206.9,0.239422
2027,50050.6,39483.4,239336,100785,0.264564
2028,61886.7,59021.6,280937,123771,0.324905
2029,71269.3,71269.3,307424,143601,0.376959
2030,76887.5,76887.5,321652,156438,0.410657
2031,79745.7,79745.7,328796,163368,0.428847
2032,80959.5,80959.5,331912,166455,0.436953
2033,81479.3,81479.3,333320,167860,0.440639
2034,81682.4,81682.4,333885,168424,0.442121
2035,81761.4,81761.4,334110,168649,0.44271
2036,81788.6,81788.6,334187,168726,0.442913
2037,81798.2,81798.2,334214,168753,0.442984
2038,81801.5,81801.5,334224,168762,0.443008
2039,81802.7,81802.7,334227,168766,0.443017
