"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","no","ssp126","Mean temp Feb to April",1980,4.1209984321891
"Bottom","no","ssp126","Mean temp Feb to April",1981,3.43723874258903
"Bottom","no","ssp126","Mean temp Feb to April",1982,4.39060004169268
"Bottom","no","ssp126","Mean temp Feb to April",1983,4.08724286199123
"Bottom","no","ssp126","Mean temp Feb to April",1984,4.14297453019555
"Bottom","no","ssp126","Mean temp Feb to April",1985,3.58351606640016
"Bottom","no","ssp126","Mean temp Feb to April",1986,3.9152824058417
"Bottom","no","ssp126","Mean temp Feb to April",1987,3.82123892752303
"Bottom","no","ssp126","Mean temp Feb to April",1988,2.96612836361668
"Bottom","no","ssp126","Mean temp Feb to April",1989,4.1129177823488
"Bottom","no","ssp126","Mean temp Feb to April",1990,2.61642932429123
"Bottom","no","ssp126","Mean temp Feb to April",1991,2.96241506327827
"Bottom","no","ssp126","Mean temp Feb to April",1992,3.384422244662
"Bottom","no","ssp126","Mean temp Feb to April",1993,2.10761832000183
"Bottom","no","ssp126","Mean temp Feb to April",1994,3.09945377165997
"Bottom","no","ssp126","Mean temp Feb to April",1995,2.97727440907165
"Bottom","no","ssp126","Mean temp Feb to April",1996,2.2940419301722
"Bottom","no","ssp126","Mean temp Feb to April",1997,2.88268766121716
"Bottom","no","ssp126","Mean temp Feb to April",1998,4.78419760916357
"Bottom","no","ssp126","Mean temp Feb to April",1999,2.51731536249386
"Bottom","no","ssp126","Mean temp Feb to April",2000,4.69289659891464
"Bottom","no","ssp126","Mean temp Feb to April",2001,4.33297298621322
"Bottom","no","ssp126","Mean temp Feb to April",2002,5.05575818636698
"Bottom","no","ssp126","Mean temp Feb to April",2003,4.36109540294988
"Bottom","no","ssp126","Mean temp Feb to April",2004,5.00357949167929
"Bottom","no","ssp126","Mean temp Feb to April",2005,3.86319757978283
"Bottom","no","ssp126","Mean temp Feb to April",2006,3.99373239804327
"Bottom","no","ssp126","Mean temp Feb to April",2007,3.47788597394913
"Bottom","no","ssp126","Mean temp Feb to April",2008,2.54789679509402
"Bottom","no","ssp126","Mean temp Feb to April",2009,4.03210334632192
"Bottom","no","ssp126","Mean temp Feb to April",2010,4.3372929954271
"Bottom","no","ssp126","Mean temp Feb to April",2011,4.60557464205286
"Bottom","no","ssp126","Mean temp Feb to April",2012,4.66158082903471
"Bottom","no","ssp126","Mean temp Feb to April",2013,4.52717885240817
"Bottom","no","ssp126","Mean temp Feb to April",2014,3.07509990745161
"Bottom","no","ssp126","Mean temp Feb to April",2015,2.49982417429641
"Bottom","no","ssp126","Mean temp Feb to April",2016,2.45553539320915
"Bottom","no","ssp126","Mean temp Feb to April",2017,5.92488450277599
"Bottom","no","ssp126","Mean temp Feb to April",2018,3.20303616987555
"Bottom","no","ssp126","Mean temp Feb to April",2019,3.78066213787698
"Bottom","no","ssp126","Mean temp Feb to April",2020,4.47248185032185
"Bottom","no","ssp126","Mean temp Feb to April",2021,4.74064624338521
"Bottom","no","ssp126","Mean temp Feb to April",2022,2.91215644522254
"Bottom","no","ssp126","Mean temp Feb to April",2023,1.86925591796564
"Bottom","no","ssp126","Mean temp Feb to April",2024,2.78148119316525
"Bottom","no","ssp126","Mean temp Feb to April",2025,3.3106509008338
"Bottom","no","ssp126","Mean temp Feb to April",2026,6.0842665993551
"Bottom","no","ssp126","Mean temp Feb to April",2027,5.44302631304684
"Bottom","no","ssp126","Mean temp Feb to April",2028,4.20243935702558
"Bottom","no","ssp126","Mean temp Feb to April",2029,5.57355506788221
"Bottom","no","ssp126","Mean temp Feb to April",2030,5.808381428745
"Bottom","no","ssp126","Mean temp Feb to April",2031,6.11324776704208
"Bottom","no","ssp126","Mean temp Feb to April",2032,4.11652487794379
"Bottom","no","ssp126","Mean temp Feb to April",2033,4.88566648099313
"Bottom","no","ssp126","Mean temp Feb to April",2034,3.85555918777058
"Bottom","no","ssp126","Mean temp Feb to April",2035,4.69593951152537
"Bottom","no","ssp126","Mean temp Feb to April",2036,3.91434998425906
"Bottom","no","ssp126","Mean temp Feb to April",2037,4.9840646115331
"Bottom","no","ssp126","Mean temp Feb to April",2038,5.18663565707002
"Bottom","no","ssp126","Mean temp Feb to April",2039,4.88594548069678
