"","MSE","Year","MeanSSB"
"1","MS-Climate naive OM - SS_fixM_Tier3_EM","2091",625857.293660592
"2","MS-SSP-126 OM - SS_fixM_Tier3_EM","2091",656148.225601759
"3","MS-SSP-245 OM - SS_fixM_Tier3_EM","2091",171601.055138077
"4","MS-SSP-585 OM - SS_fixM_Tier3_EM","2091",251694.541772585
"5","SS-Climate naive OM - SS_fixM_Tier3_EM","2091",303854.691295739
"6","SS-SSP-126 OM - SS_fixM_Tier3_EM","2091",256531.222153116
"7","SS-SSP-245 OM - SS_fixM_Tier3_EM","2091",113480.253445574
"8","SS-SSP-585 OM - SS_fixM_Tier3_EM","2091",172793.410426429
"9","MS-Climate naive OM - SS_fixM_Tier3_EM","2092",643971.950086615
"10","MS-SSP-126 OM - SS_fixM_Tier3_EM","2092",607952.616121357
"11","MS-SSP-245 OM - SS_fixM_Tier3_EM","2092",160372.089242625
"12","MS-SSP-585 OM - SS_fixM_Tier3_EM","2092",232107.650510369
"13","SS-Climate naive OM - SS_fixM_Tier3_EM","2092",304665.815670599
"14","SS-SSP-126 OM - SS_fixM_Tier3_EM","2092",250702.568004531
"15","SS-SSP-245 OM - SS_fixM_Tier3_EM","2092",106342.905562637
"16","SS-SSP-585 OM - SS_fixM_Tier3_EM","2092",166687.196545837
"17","MS-Climate naive OM - SS_fixM_Tier3_EM","2093",654057.854539361
"18","MS-SSP-126 OM - SS_fixM_Tier3_EM","2093",555114.048083415
"19","MS-SSP-245 OM - SS_fixM_Tier3_EM","2093",148778.079218827
"20","MS-SSP-585 OM - SS_fixM_Tier3_EM","2093",213340.384662491
"21","SS-Climate naive OM - SS_fixM_Tier3_EM","2093",307726.887709919
"22","SS-SSP-126 OM - SS_fixM_Tier3_EM","2093",246976.929343379
"23","SS-SSP-245 OM - SS_fixM_Tier3_EM","2093",101665.09275648
"24","SS-SSP-585 OM - SS_fixM_Tier3_EM","2093",161038.942209528
"25","MS-Climate naive OM - SS_fixM_Tier3_EM","2094",666802.89493497
"26","MS-SSP-126 OM - SS_fixM_Tier3_EM","2094",564029.300139274
"27","MS-SSP-245 OM - SS_fixM_Tier3_EM","2094",161664.355313192
"28","MS-SSP-585 OM - SS_fixM_Tier3_EM","2094",203876.872681104
"29","SS-Climate naive OM - SS_fixM_Tier3_EM","2094",320902.549039633
"30","SS-SSP-126 OM - SS_fixM_Tier3_EM","2094",260912.359865899
"31","SS-SSP-245 OM - SS_fixM_Tier3_EM","2094",111174.898302357
"32","SS-SSP-585 OM - SS_fixM_Tier3_EM","2094",162320.307525078
"33","MS-Climate naive OM - SS_fixM_Tier3_EM","2095",680589.265087543
"34","MS-SSP-126 OM - SS_fixM_Tier3_EM","2095",580600.18206976
"35","MS-SSP-245 OM - SS_fixM_Tier3_EM","2095",182717.752158072
"36","MS-SSP-585 OM - SS_fixM_Tier3_EM","2095",193396.363728387
"37","SS-Climate naive OM - SS_fixM_Tier3_EM","2095",334398.623113983
"38","SS-SSP-126 OM - SS_fixM_Tier3_EM","2095",277311.387474655
"39","SS-SSP-245 OM - SS_fixM_Tier3_EM","2095",119725.591461748
"40","SS-SSP-585 OM - SS_fixM_Tier3_EM","2095",161294.312827269
"41","MS-Climate naive OM - SS_fixM_Tier3_EM","2096",691425.315016084
"42","MS-SSP-126 OM - SS_fixM_Tier3_EM","2096",570483.627655829
"43","MS-SSP-245 OM - SS_fixM_Tier3_EM","2096",196439.697194941
"44","MS-SSP-585 OM - SS_fixM_Tier3_EM","2096",187189.841428355
"45","SS-Climate naive OM - SS_fixM_Tier3_EM","2096",345614.342597988
"46","SS-SSP-126 OM - SS_fixM_Tier3_EM","2096",286266.551032867
"47","SS-SSP-245 OM - SS_fixM_Tier3_EM","2096",121678.308280915
"48","SS-SSP-585 OM - SS_fixM_Tier3_EM","2096",161469.003345705
"49","MS-Climate naive OM - SS_fixM_Tier3_EM","2097",782945.822115683
"50","MS-SSP-126 OM - SS_fixM_Tier3_EM","2097",627963.803500457
"51","MS-SSP-245 OM - SS_fixM_Tier3_EM","2097",238469.795362153
"52","MS-SSP-585 OM - SS_fixM_Tier3_EM","2097",223347.29204861
