"","Year","PollockM2","PollockZ","ATFFM2","ATFFZ","AFTMM2","AFTMZ","CODM2","CODZ"
"1",1977,0.607,0.937,0.038,0.328,0.058,0.414,0.06,0.534
"2",1978,0.585,0.915,0.04,0.329,0.06,0.417,0.057,0.531
"3",1979,0.588,0.927,0.046,0.337,0.07,0.429,0.052,0.526
"4",1980,0.586,0.934,0.046,0.339,0.069,0.432,0.051,0.526
"5",1981,0.678,1.041,0.057,0.354,0.085,0.455,0.061,0.536
"6",1982,0.598,0.965,0.056,0.357,0.085,0.459,0.058,0.533
"7",1983,0.667,1.035,0.063,0.367,0.095,0.474,0.069,0.544
"8",1984,0.641,1.003,0.061,0.365,0.092,0.471,0.069,0.544
"9",1985,0.634,0.989,0.062,0.364,0.094,0.47,0.066,0.541
"10",1986,0.662,1.009,0.071,0.371,0.107,0.481,0.065,0.539
"11",1987,0.778,1.123,0.071,0.372,0.108,0.482,0.072,0.546
"12",1988,0.779,1.121,0.066,0.367,0.1,0.474,0.074,0.548
"13",1989,0.768,1.102,0.066,0.365,0.099,0.471,0.083,0.556
"14",1990,0.786,1.114,0.061,0.36,0.092,0.463,0.089,0.563
"15",1991,1.041,1.363,0.074,0.374,0.111,0.484,0.115,0.587
"16",1992,0.966,1.287,0.073,0.371,0.11,0.481,0.107,0.579
"17",1993,0.962,1.281,0.07,0.368,0.105,0.475,0.109,0.58
"18",1994,0.946,1.26,0.067,0.366,0.102,0.472,0.107,0.579
"19",1995,0.885,1.196,0.061,0.359,0.093,0.461,0.097,0.569
"20",1996,0.906,1.21,0.063,0.359,0.095,0.462,0.099,0.57
"21",1997,0.881,1.182,0.06,0.355,0.09,0.455,0.093,0.564
"22",1998,0.984,1.28,0.067,0.361,0.101,0.465,0.096,0.567
"23",1999,0.879,1.175,0.061,0.354,0.093,0.455,0.083,0.555
"24",2000,0.881,1.175,0.057,0.35,0.086,0.449,0.082,0.554
"25",2001,0.962,1.249,0.068,0.36,0.102,0.464,0.088,0.559
"26",2002,0.933,1.22,0.052,0.344,0.078,0.439,0.094,0.564
"27",2003,1.109,1.388,0.058,0.35,0.087,0.448,0.119,0.588
"28",2004,1.115,1.393,0.059,0.351,0.088,0.449,0.13,0.599
"29",2005,1.135,1.411,0.063,0.355,0.095,0.456,0.138,0.606
"30",2006,1.08,1.357,0.064,0.356,0.097,0.458,0.117,0.586
"31",2007,0.974,1.255,0.061,0.352,0.092,0.451,0.097,0.567
"32",2008,0.927,1.21,0.056,0.347,0.085,0.444,0.088,0.56
"33",2009,0.832,1.122,0.052,0.343,0.078,0.438,0.084,0.554
"34",2010,0.962,1.248,0.06,0.352,0.091,0.452,0.105,0.575
"35",2011,0.843,1.135,0.054,0.346,0.081,0.442,0.093,0.563
"36",2012,0.762,1.059,0.054,0.347,0.081,0.443,0.081,0.552
"37",2013,0.723,1.023,0.05,0.343,0.075,0.437,0.065,0.538
"38",2014,0.617,0.925,0.045,0.338,0.068,0.43,0.055,0.53
"39",2015,0.779,1.079,0.046,0.337,0.069,0.429,0.07,0.543
"40",2016,0.762,1.068,0.053,0.346,0.08,0.443,0.074,0.545
"41",2017,0.694,0.998,0.052,0.346,0.078,0.443,0.072,0.544
"42",2018,0.691,0.99,0.054,0.348,0.081,0.446,0.07,0.54
"43",2019,0.633,0.931,0.047,0.34,0.071,0.433,0.06,0.531
"44",2020,0.636,0.932,0.044,0.336,0.066,0.427,0.06,0.531
"45",2021,0.643,0.942,0.042,0.333,0.063,0.423,0.058,0.53
"46",2022,0.603,0.901,0.04,0.332,0.061,0.421,0.06,0.53
"47",2023,0.651,0.949,0.04,0.331,0.06,0.419,0.066,0.536
