"","model....1.length.mod_list_all.","nll","k","aic","daic"
"1",1,68409,602,138022,0
"2",2,68424,606,138060,38
"3",3,68435,606,138083,61
"4",4,68435,606,138082,60
"5",5,68436,606,138083,61
"6",6,68435,606,138082,60
"7",7,68435,606,138081,59
"8",8,68435,606,138082,60
"9",9,53191,446,107274,40
"10",10,53187,450,107275,41
"11",11,53166,451,107234,0
"12",12,42601,410,86023,0
"13",13,42601,414,86030,7
"14",14,42604,414,86035,12
"15",15,42604,414,86037,14
