"","Age","Avg1","Avg1","Avg1","Avg1","Avg2","Avg2","Avg2","Avg2","Avg3","Avg3","Avg3","Avg3","Avg4","Avg4","Avg4","Avg4"
"1","NA","Pollock","ATF Fem","ATF Male","Cod","Pollock","ATF Fem","ATF Male","Cod","Pollock","ATF Fem","ATF Male","Cod","Pollock","ATF Fem","ATF Male","Cod"
"2","M1","1.39","0.2","0.35","0.505","0.346","0.299","0.367","0.458","0.341","0.299","0.363","0.48","0.342","0.302","0.368","0.45"
"3","1","1.39","0.2","0.35","0.505","1.401","0.349","0.442","0.93","1.325","0.352","0.442","0.906","1.461","0.354","0.448","1.005"
"4","2","0.69","0.2","0.35","0.505","0.796","0.357","0.451","0.594","0.766","0.359","0.449","0.618","0.824","0.362","0.454","0.588"
"5","3","0.48","0.2","0.35","0.505","0.603","0.351","0.445","0.468","0.605","0.353","0.444","0.496","0.611","0.352","0.443","0.46"
"6","4","0.37","0.2","0.35","0.505","0.541","0.315","0.39","0.458","0.56","0.318","0.389","0.481","0.538","0.316","0.389","0.45"
"7","5","0.34","0.2","0.35","0.505","0.451","0.303","0.375","0.458","0.47","0.308","0.377","0.48","0.439","0.305","0.375","0.45"
"8","6","0.3","0.2","0.35","0.505","0.417","0.3","0.37","0.458","0.439","0.305","0.374","0.48","0.405","0.302","0.37","0.45"
"9","7","0.3","0.2","0.35","0.505","0.405","0.299","0.368","0.458","0.429","0.305","0.376","0.48","0.395","0.302","0.369","0.45"
"10","8","0.29","0.2","0.35","0.505","0.388","0.299","0.367","0.458","0.413","0.303","0.376","0.48","0.378","0.302","0.368","0.45"
"11","9","0.28","0.2","0.35","0.505","0.385","0.299","0.367","0.458","0.422","0.301","0.376","0.48","0.374","0.302","0.368","0.45"
"12","10","0.29","0.2","0.35","0.505","0.351","0.299","0.367","0.458","0.356","0.3","0.371","0.48","0.346","0.302","0.368","0.45"
"13","11",NA,"0.2","0.35","0.505",NA,"0.299","0.367","0.458",NA,"0.3","0.379","0.48",NA,"0.302","0.368","0.45"
"14","12",NA,"0.2","0.35","0.505",NA,"0.299","0.367","0.458",NA,"0.3","0.37","0.48",NA,"0.302","0.368","0.45"
"15","13",NA,"0.2","0.35",NA,NA,"0.299","0.367",NA,NA,"0.3","0.38",NA,NA,"0.302","0.368",NA
"16","14",NA,"0.2","0.35",NA,NA,"0.299","0.367",NA,NA,"0.299","0.38",NA,NA,"0.302","0.368",NA
"17","15",NA,"0.2","0.35",NA,NA,"0.299","0.367",NA,NA,"0.299","0.371",NA,NA,"0.302","0.368",NA
"18","16",NA,"0.2","0.35",NA,NA,"0.299","0.367",NA,NA,"0.299","0.379",NA,NA,"0.302","0.368",NA
"19","17",NA,"0.2","0.35",NA,NA,"0.299","0.367",NA,NA,"0.299","0.363",NA,NA,"0.302","0.368",NA
"20","18",NA,"0.2","0.35",NA,NA,"0.299","0.367",NA,NA,"0.299","0.363",NA,NA,"0.302","0.368",NA
"21","19",NA,"0.2","0.35",NA,NA,"0.299","0.367",NA,NA,"0.299","0.363",NA,NA,"0.302","0.368",NA
"22","20",NA,"0.2","0.35",NA,NA,"0.299","0.367",NA,NA,"0.299","0.363",NA,NA,"0.302","0.368",NA
"23","21",NA,"0.2","0.35",NA,NA,"0.299","0.367",NA,NA,"0.299","0.363",NA,NA,"0.302","0.368",NA
