"","model....1.length.mod_list_all.","nll","k","aic","daic","M_pollock","M_atff","M_atfm","M_cod","M2_pollock","M2_atff","M2_atfm","M2_cod","M1_pollock","M1_atff","M1_atfm","M1_cod"
"1",1,68409,602,138022,0,0.473,0.2,0.35,0.504911,0,0,0,0,0.473,0.2,0.35,0.504911
"2",2,68424,606,138060,38,0.526083529008229,0.294553712827657,0.371416693489506,0.507260695505177,0.519882552306226,0.0555215569349619,0.0824308250688514,0.169391627955087,0.335545666593745,0.285419268706395,0.357461729288116,0.466111760897732
"3",3,68435,606,138083,61,0.532745099526003,0.298362081203298,0.375671673481731,0.518523023117923,0.500174667992236,0.0581121144501902,0.0860206214073577,0.18007859105331,0.329370780538563,0.287728056536177,0.354121530745792,0.47466719745058
"4",4,68435,606,138082,60,0.532588269657078,0.298274615919048,0.375519530650871,0.518368824414947,0.499729855299884,0.0580717559883813,0.0859555505037226,0.17989163467696,0.329636529139491,0.287663651400792,0.354096478113733,0.474553424399758
"5",5,68436,606,138083,61,0.532982421535998,0.298490053819932,0.375890448082566,0.518740291651234,0.50071857826164,0.0581661495468132,0.0861080845381325,0.180339694301999,0.329042187154059,0.287824230526041,0.354162886452943,0.47482805875664
"6",6,68435,606,138082,60,0.534346060015983,0.298616317496189,0.376203259232115,0.518036463900164,0.503850908417822,0.058062576110673,0.0858766263594631,0.180512107361454,0.326425707794317,0.287782717988582,0.353554800084152,0.474055423875485
"7",7,68435,606,138081,59,0.534143581298664,0.298515961419228,0.376021359366027,0.517893813585564,0.503184454778245,0.058027020143087,0.0858200196879179,0.18032114939019,0.326801781481253,0.287710428442659,0.353532886894878,0.473953826213826
"8",8,68435,606,138082,60,0.534644093066474,0.298752955817241,0.376454146277346,0.518236432368377,0.504636534719924,0.0581142755017364,0.0859590651464723,0.180777717958452,0.325961602554088,0.28787979003993,0.353581131092861,0.474198367413132
"9",9,53191,446,107274,40,0.473,0.2,0.35,0.504911,0,0,0,0,0.473,0.2,0.35,0.504911
"10",10,53187,450,107275,41,0.57547692336424,0.310572367943089,0.380999636129104,0.492226244984806,0.749158127544472,0.0507043146146541,0.074518590042126,0.255762085744381,0.341734028050525,0.302007897475162,0.368090584219991,0.431183262807336
"11",11,53166,451,107234,0,0.57503795884128,0.310302357562821,0.380679436626892,0.50757002128135,0.747930249996448,0.0508682758047793,0.074763211952104,0.241837330060414,0.341713781477503,0.301712520171106,0.36773211841981,0.449636581644109
"12",12,42601,410,86023,0,0.473,0.2,0.35,0.504911,0,0,0,0,0.473,0.2,0.35,0.504911
"13",13,42601,414,86030,7,0.596337295288079,0.316996595846232,0.385522226458932,0.523498190339191,0.734304765487079,0.0399161925819831,0.0581710487174455,0.195650498787753,0.361983260518256,0.3100746428098,0.375158334183552,0.476406847101599
"14",14,42604,414,86035,12,0.601704253225112,0.319007705710555,0.387918051952005,0.533535934472529,0.720465095605204,0.0413579947549335,0.0600883127446765,0.200862578773466,0.355576692791189,0.311037301981224,0.372069762088062,0.485207767220284
"15",15,42604,414,86037,14,0.603115398636201,0.319681537078502,0.388755132594676,0.535569793773889,0.713371987297208,0.041813517806703,0.0607071108548174,0.202681997836806,0.354318079315667,0.311375268072336,0.37126018193214,0.486787306521153
