"","nll","aic","daic"
"1",4325,9626,0
"2",4563,10102,476
"3",4637,10249,623
"4",4635,10246,621
"5",4642,10260,634
"6",4630,10237,611
"7",4635,10247,621
"8",4632,10240,614
