"","nll","k","aic","daic","M1_pollock","M1_atff","M1_atfm","M1_cod","M2_pollock","M2_atff","M2_atfm","M2_cod","M_pollock","M_atff","M_atfm","M_cod"
"1",68378,605,137878,0,0.473,0.2,0.35,0.504911,0,0,0,0,0.473,0.2,0.35,0.504911
"2",68375,609,137891,13,0.335545666593745,0.285419268706395,0.357461729288116,0.466111760897732,0.22641027701313,0.00895605011397177,0.0135590787147618,0.0423479069887717,0.526083529008229,0.294553712827657,0.371416693489506,0.507260695505177
"3",68435,606,138083,205,0.329370780538563,0.287728056536177,0.354121530745792,0.47466719745058,0.24667213936189,0.0103275660956709,0.021023646638496,0.0450826522179203,0.532745099526003,0.298362081203298,0.375671673481731,0.518523023117923
"4",68435,606,138082,205,0.329636529139491,0.287663651400792,0.354096478113733,0.474553424399758,0.245978429205879,0.0103062871319394,0.0208955836636502,0.0450349574570128,0.532588269657078,0.298274615919048,0.375519530650871,0.518368824414947
"5",68436,606,138083,205,0.329042187154059,0.287824230526041,0.354162886452943,0.47482805875664,0.247601594055597,0.0103569039429171,0.02120282290825,0.0451492650777167,0.532982421535998,0.298490053819932,0.375890448082566,0.518740291651234
"6",68435,606,138082,204,0.326425707794317,0.287782717988582,0.353554800084152,0.474055423875485,0.254196011343348,0.0105021271088284,0.0221072350175728,0.0452044757110111,0.534346060015983,0.298616317496189,0.376203259232115,0.518036463900164
"7",68435,606,138081,204,0.326801781481253,0.287710428442659,0.353532886894878,0.473953826213826,0.253218670114319,0.0104765589004678,0.0219453264594568,0.0451554077436237,0.534143581298664,0.298515961419228,0.376021359366027,0.517893813585564
"8",68435,606,138082,204,0.325961602554088,0.28787979003993,0.353581131092861,0.474198367413132,0.255483084047359,0.0105381808598166,0.0223349414598389,0.0452727390001299,0.534644093066474,0.298752955817241,0.376454146277346,0.518236432368377
"9",53167,449,107187,60,0.473,0.2,0.35,0.504911,0,0,0,0,0.473,0.2,0.35,0.504911
"10",53157,453,107198,71,0.341734028050525,0.302007897475162,0.368090584219991,0.431183262807336,0.314369106379481,0.00811897780952976,0.0121144694196987,0.0639405214360953,0.57547692336424,0.310572367943089,0.380999636129104,0.492226244984806
"11",53122,454,107127,0,0.341895405367013,0.301729957764377,0.367707756012704,0.458522319558209,0.313020369430736,0.00815452452890587,0.0121713119592457,0.0586483617940135,0.574924670917758,0.310327751944231,0.380669927067438,0.514844909954753
"12",42582,413,85938,0,0.473,0.2,0.35,0.504911,0,0,0,0,0.473,0.2,0.35,0.504911
"13",42574,417,85953,14,0.361983260518256,0.3100746428098,0.375158334183552,0.476406847101599,0.315539056410346,0.00653418351345197,0.00967009792437963,0.0489126246969382,0.596337295288079,0.316996595846232,0.385522226458932,0.523498190339191
"14",42577,417,85958,20,0.355576692791189,0.311037301981224,0.372069762088062,0.485207767220284,0.338833103358754,0.00751258719068527,0.0150172831205452,0.0502244632259073,0.601704253225112,0.319007705710555,0.387918051952005,0.533535934472529
"15",42578,417,85959,21,0.354318079315667,0.311375268072336,0.37126018193214,0.486787306521153,0.344288435743531,0.00781766815806438,0.0166142462034311,0.0506820024883513,0.603115398636201,0.319681537078502,0.388755132594676,0.535569793773889
