"","Likelihood component","Likelihood component2","Fleet_name","1","2","3","4","5","6","7","8","9","10","11","12","13"
"1","Survey biomass","Survey biomass_$Sp/Srv/Fsh_1","Pollock_survey_1_shelikof_acoustic",13.5056075408747,3.027324848564,1.45435405828275,1.55159902104215,0,0.163290751305983,0.533068677071142,0.0246946768383012,15.590620099139,0,2.46263136400928,3.96603223218229,0.468789103425948
"3","Age/length composition data","Age/length composition data_$Sp/Srv/Fsh_1","Pollock_survey_1_shelikof_acoustic",0,1.59614367123595,9.87631293563209,9.83099448993738,9.15346824539506,9.02600536450575,7.19822419882553,9.07816510148456,0,3.3795892811313,7.22330031295985,10.4680602665521,2.90831801040878
"19","Survey biomass","Survey biomass_$Sp/Srv/Fsh_2","Pollock_survey_2_bottom_trawl",0,5.06369105639675,12.1290620322815,12.1389812160337,11.210328959912,10.8025034178651,11.1465795507904,10.7635982006309,0,7.87774227939363,12.4055591170257,11.2206657989836,7.12225558289443
"21","Age/length composition data","Age/length composition data_$Sp/Srv/Fsh_2","Pollock_survey_2_bottom_trawl",0,3.68049791224499,5.98017885182301,5.94757739015861,5.08636227456429,5.46464776681495,7.73242536544373,5.51156134435396,0,5.94187643598295,6.35630239305627,7.58194402888901,5.31058504859541
"22","Non-parametric selectivity","Non-parametric selectivity_$Sp/Srv/Fsh_2","Pollock_survey_2_bottom_trawl",0,1.26664148283,1.9401868691041,1.93979501744851,1.95032850027671,1.88859114761117,1.85079021554848,1.89045990260555,0,1.71252157605659,2.07216771293831,1.95584485806312,1.60267280290763
"25","Selectivity normalization","Selectivity normalization_$Sp/Srv/Fsh_2","Pollock_survey_2_bottom_trawl",3.72589203168985e-09,0,5.27149759891696e-10,6.06211178349367e-08,4.26843449455188e-09,5.65183338880469e-11,1.13648539726562e-10,9.8141165630859e-11,0,2.79067896609913e-09,6.26859851322457e-10,1.04762519270918e-12,5.56013030580089e-12
"37","Survey biomass","Survey biomass_$Sp/Srv/Fsh_3","Pollock_survey_3_adfg",0,7.24570253814996,0.595307099994258,0.637310276463396,0.83944053608856,2.0255992906919,2.1686251962183,1.9737956462055,0,5.2719705597637,4.64595512792427,4.44529414158764,5.02566675015458
"39","Age/length composition data","Age/length composition data_$Sp/Srv/Fsh_3","Pollock_survey_3_adfg",0,5.7928262502121,12.1556429426037,12.1530360840771,11.128875598119,10.9249163438423,10.4245581402354,10.9452248572351,0,11.7874744568032,12.4695579139903,14.7184215451962,10.5353743896413
"55","Survey biomass","Survey biomass_$Sp/Srv/Fsh_4","Pollock_survey_4_age1_acoustic",0,0.87302382320648,6.18024410697462,6.1280460975497,6.92678770399071,6.54297012427684,5.97974550853469,6.64887586177081,0,4.08419857436458,2.6440054777304,3.02464089498522,4.58461831222613
"73","Survey biomass","Survey biomass_$Sp/Srv/Fsh_5","Pollock_survey_5_age2_acoustic",0,3.09829948579875,6.25825781401878,6.28763206652519,6.02105000430165,5.74916661940588,5.7792364924289,5.72564239978242,0,5.38645263592856,8.96102761313902,9.1777838226027,4.25292478941291
