"","Likelihood component","Likelihood component2","Fleet_name","1","2","3","4","5","6","7","8","9","10","11","12","13"
"1","Survey biomass","Survey biomass_$Sp/Srv/Fsh_1","Pollock_survey_1_shelikof_acoustic",44.108524357606,33.6302416652953,32.0572708750141,32.1545158377735,30.6029168167313,30.7662075680373,31.1359854938025,30.6276114935696,47.3821516824767,31.7915315833376,34.2541629473469,35.7575638155199,32.2603206867636
"3","Age/length composition data","Age/length composition data_$Sp/Srv/Fsh_1","Pollock_survey_1_shelikof_acoustic",36.0754141362405,37.6715578074764,45.9517270718725,45.9064086261778,45.2288823816355,45.1014195007462,43.273638335066,45.153579237725,47.0119650500819,50.3915543312132,54.2352653630418,57.4800253166341,49.9202830604907
"10","Recruitment deviates","Recruitment deviates_$Sp/Srv/Fsh_1","Pollock_survey_1_shelikof_acoustic",76.610054190804,96.8684294456886,125.441370975525,125.291500443041,127.691385533684,124.308454442349,122.604270963321,124.678130021243,48.1889772614831,70.5330077779457,79.298078991815,76.686962779261,66.7889067900084
"11","Initial abundance deviates","Initial abundance deviates_$Sp/Srv/Fsh_1","Pollock_survey_1_shelikof_acoustic",16.0407889138508,32.7919126336384,33.2466814503908,33.2282738292779,33.4000699042861,33.3399430544097,33.3540234135898,33.3713340309068,15.2370566884248,28.0302342724843,30.2792196536423,30.344675612561,28.4395962212967
"19","Survey biomass","Survey biomass_$Sp/Srv/Fsh_2","Pollock_survey_2_bottom_trawl",-0.991205786648387,4.07248526974837,11.1378562456332,11.1477754293853,10.2191231732636,9.81129763121666,10.155373764142,9.77239241398256,-0.210552281407974,7.66718999798565,12.1950068356177,11.0101135175756,6.91170330148646
"21","Age/length composition data","Age/length composition data_$Sp/Srv/Fsh_2","Pollock_survey_2_bottom_trawl",14.8442405182886,18.5247384305336,20.8244193701117,20.7918179084473,19.9306027928529,20.3088882851036,22.5766658837324,20.3558018626426,30.5500665302247,36.4919429662076,36.906368923281,38.1320105591137,35.8606515788201
"22","Non-parametric selectivity","Non-parametric selectivity_$Sp/Srv/Fsh_2","Pollock_survey_2_bottom_trawl",0.500457311977508,1.7670987948075,2.44064418108161,2.44025232942602,2.45078581225422,2.38904845958868,2.35124752752599,2.39091721458306,0.512948410715648,2.22546998677224,2.58511612365396,2.46879326877876,2.11562121362328
"25","Selectivity normalization","Selectivity normalization_$Sp/Srv/Fsh_2","Pollock_survey_2_bottom_trawl",3.73535464821606e-09,9.46261652620861e-12,5.36612376417905e-10,6.0630580451463e-08,4.27789711107809e-09,6.59809504142555e-11,1.23111156252771e-10,1.07603782157068e-10,5.55565548453414e-15,2.79068452175462e-09,6.26865406977942e-10,1.05318084819371e-12,5.56568596128542e-12
"28","Recruitment deviates","Recruitment deviates_$Sp/Srv/Fsh_2","Pollock_survey_2_bottom_trawl",71.2410623301507,71.6192675292715,71.8420220739504,71.8393758526479,71.7612463532899,71.7424248604605,71.703998750128,71.746229614701,43.3612082892497,43.4613339416917,43.9556513871531,44.0428252841552,43.5009247255174
"29","Initial abundance deviates","Initial abundance deviates_$Sp/Srv/Fsh_2","Pollock_survey_2_bottom_trawl",25.0938643638782,26.9151815969316,26.5172791980413,26.5127923609694,26.6768976065191,26.6599956419041,26.5797772459282,26.6660025858351,19.0185908191973,19.2394784303991,19.1944873380565,19.2118482907768,19.2790366961516
