"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"1","Survey biomass",157.62936680935,143.44977203766,156.666968577849,156.68165298748,156.648326901719,156.425907913039,156.448912142783,156.395607475202,142.909259941933,142.451715632723,151.70528152069,132.082072051779,138.481358745761,138.783977060037,138.951034870287
"2","Total catch",-410.859356116612,-409.948752916303,-410.971204736928,-410.970214941072,-410.972634646572,-410.963700316296,-410.963101641036,-410.964668764501,-266.363187959577,-265.821872729705,-264.828947983236,-235.250201498052,-235.236246709321,-235.336634708908,-235.357669437346
"3","Age/length composition data",68258.9582352455,68267.7157813568,68272.607739422,68272.55890066,68272.677210932,68272.5551857901,68272.5117720963,68272.6192374419,53053.3007158926,53053.7550961165,53018.0726096986,42465.9571243032,42458.4974895788,42459.2237932559,42459.5371212703
"5","Non-parametric selectivity",212.335471033144,207.826163742801,213.055993504944,213.048980868253,213.065717456593,213.055573143421,213.049242825764,213.064580910328,198.082633266786,192.837467772345,180.889451273164,180.908322578315,177.430776709338,178.053861913213,178.190421601288
"6","Selectivity random walk deviates",-99.3361376415925,-99.1564895172974,-98.3191936588093,-98.3207965015979,-98.3171012082238,-98.3366348626606,-98.3357529252338,-98.3372350898562,-60.8930868945768,-61.3253473234374,-61.3310172843151,-53.1236088184988,-53.2957253421792,-53.0212311971429,-52.9458867026704
"8","Selectivity normalization",2.47826620256079e-10,1.66112151452009e-08,4.42130235641172e-08,1.71564395046584e-08,4.57757780821471e-08,2.90621679726328e-09,1.34575671234534e-09,2.64958148155531e-09,1.37240069205761e-08,1.8493088684114e-09,1.76007031955113e-10,1.59817351504769e-09,4.98003242441862e-09,5.16592993695844e-09,6.78959209091357e-09
"9","Catchability random walk deviates",-148.561653636428,-147.314720890182,-146.874223891777,-146.865253059649,-146.886593331836,-146.932889347773,-146.921631257459,-146.948132746828,-82.664164883641,-80.9964157418577,-81.0015852686935,-72.2344638158397,-70.347819454906,-70.1722870289119,-70.1423349606542
"11","Recruitment deviates",178.661815488408,184.318312181912,182.075176297473,181.980663648011,182.209020950389,182.021203274172,181.923001247647,182.160479827543,93.726111398121,92.7541597251661,92.1627714708203,87.7711313143611,85.828499090644,86.3557358117818,86.3286255632456
"12","Initial abundance deviates",62.3926076437434,71.904490791059,104.01235639117,104.005066906647,104.021570233455,104.059189401002,104.055837113005,104.060715820779,41.1713430017712,38.2114580925193,37.8496697628287,40.7658744682045,38.2689360780169,38.2707692756631,38.1921688317961
"13","Fishing mortality deviates",167.057830155593,155.880828345777,163.067837464072,163.066091708491,163.071143788701,162.87596635886,162.881733170561,162.868673403326,47.7495931187493,45.3826722386362,48.6314122313105,34.6679379522279,34.8049951225056,35.068662024137,35.1440875199346
"16","Rec",229.450437799336,227.785319136836,267.080193855243,267.071158615138,267.092714022156,266.935155759862,266.937570283566,266.929389224105,88.9209361205205,83.5941303311555,86.4810819941392,75.4338124204324,73.0739312005224,73.3394312998001,73.3362563517307
"17","Sel pen",112.999333391799,108.669674242115,114.736799890347,114.728184383811,114.748616294145,114.718938283667,114.713489901876,114.727345823122,137.189546385934,131.512120450757,119.558433989025,127.784713761415,124.135051372138,125.032630721236,125.244534905408
"20","jnll",68378.2781789813,68374.6753851489,68435.3214494142,68435.1850922937,68435.516661122,68434.7598013567,68434.6500127737,68434.9192582805,53167.0192168959,53157.2489337847,53122.1496454213,42581.5441885372,42574.4322638237,42577.2266464109,42577.897568563
"21","k",605,609,606,606,606,606,606,606,449,453,454,413,417,417,417
