"Label","Total"
"TOTAL","2091.89"
"Catch","1.10247e-13"
"Equil catch","0"
"Survey","-6.25579"
"Age comp","2019.77"
"Recruitment","61.5916"
"InitEQ Regime","0"
"Forecast Recruitment","0"
"Parm priors","0.944138"
"Parm devs","15.8448"
"Crash Pen","0"
