"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20"
1966,15084.1,135781,185403,173910,145097,108049,88867.3,81131.3,74372.3,69445.8,64530.8,59636.8,53860,50665.6,40791.4,35625.5,30023.4,25203.5,21083.6,17582.7,63475.4
1967,40398,87994.6,297819,221438,171198,120332,87041.7,69524.8,61515.1,56679,52463.8,48453.5,43902.9,41390,33427.1,29361.3,24831.5,20926.7,17567.2,14695.5,56498.6
1968,24864.4,235666,192734,349987,209275,133569,89968.4,60414.4,46768,41591.8,37988.4,34948.9,31646,29932.1,24226.8,21346.2,18156.5,15355.3,12940.7,10863.2,44025.1
1969,8094.51,145049,516872,230033,343925,173100,107255,70024.1,45571.5,35458.4,31259.4,28377.1,25596,24194,19646.4,17348.5,14802,12590.2,10647.8,8973.41,38061
1970,68106.1,47220.2,317880,611381,220992,275000,133363,78114.7,49426.5,32331.3,24937.4,21850.3,19447.6,18311.3,14859.8,13164.6,11257,9604.64,8169.45,6909.06,30519.4
1971,7933.89,397304,103426,373552,577758,172399,205581,92545.8,52535.2,33411.5,21665.1,16608.6,14267.9,13256.2,10715.9,9487.33,8139.06,6959.67,5938.09,5050.78,23140.2
1972,4706.39,46283.2,871360,123401,366779,477300,138227,159621,69639.9,39734.7,25050.5,16144.6,12134.5,10881.7,8679.88,7655,6562.86,5630.19,4814.35,4107.67,19501.1
1973,44748,27455.2,101572,1047360,123438,311560,395932,113345,126851,55626.3,31462.6,19714.5,12457.1,9773.76,7524.81,6548.35,5592.39,4794.53,4113.16,3517.15,17247.5
1974,3531.87,261042,60241.9,121833,1042170,104031,255972,319687,88695.3,99772.4,43371.1,24381.4,14978.6,9879.92,6655.08,5589.96,4710.63,4022.95,3449,2958.85,14937.3
1975,57258.1,33767.5,663674,68577.3,151297,1018670,113435,268237,330573,79059.1,86939.6,60869.1,28138.2,20731.6,12765.3,12749.5,10370,8738.79,7463.06,6398.31,33199.5
1976,8581.56,84119.8,41381.4,892145,76123.6,130680,978245,94554.6,265157,326150,90420.2,105939,46501.5,24967.7,15278.4,12828.6,9129.22,7425.45,6257.4,5343.91,28353.9
1977,218034,10932.4,279919,69646.7,841157,76327.9,109181,745301,73510.3,175151,214899,58026.3,63374.7,30915,19656.9,12210.9,7305.38,5198.74,4228.51,3563.35,19189.6
