"Quantity","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","207200","285827","299254","193838","332067","440942","413718","412004","380388","326629","NA"
"(1-SPR)/(1-SPR_40%)","0.81","0.80","0.76","0.59","0.88","0.90","0.85","0.85","0.75","0.70","NA"
"Exploitation Rate","0.07","0.09","0.09","0.08","0.11","0.15","0.12","0.13","0.15","0.14","NA"
"Age 2+ Biomass (mt)","2,884,470","3,317,280","3,432,200","2,566,600","2,992,300","2,920,520","3,360,270","3,108,170","2,573,540","2,270,090","2,398,430"
"Spawning Biomass (mt)","773,157","1,422,530","1,522,170","1,159,130","1,035,880","1,298,340","1,236,700","1,289,090","1,158,770","1,007,470","857,143"
"Interval","569,791–976,523","1,040,996–1,804,064","1,114,956–1,929,384","845,534–1,472,726","749,764–1,321,996","899,497–1,697,183","802,409–1,670,991","776,603–1,801,577","624,433–1,693,107","460,687–1,554,253","331,167–1,383,119"
"Recruits","1,148,500","308,235","6,543,420","43,980","4,518,030","1,810,690","547,256","738,207","4,244,830","783,935","773,497"
"Interval","751,186–1,755,959","154,974–613,063","4,483,313–9,550,157","12,748–151,725","2,812,808–7,257,016","924,184–3,547,559","207,468–1,443,547","259,006–2,104,006","1,280,189–14,074,935","99,485–6,177,366","98,139–6,096,427"
"Fraction Unfished","0.4","0.7","0.7","0.6","0.5","0.6","0.6","0.6","0.6","0.5","0.4"
"Interval","0.2–0.5","0.4–1.0","0.4–1.0","0.3–0.8","0.3–0.7","0.4–0.9","0.3–0.9","0.3–0.9","0.3–0.9","0.2–0.8","0.1–0.7"
