"Year","(1-SPR)/(1-SPR_40%)","Interval","Exploitation Rate","Interval"
2012,"0.81","0.59–1.02","0.0718","0.0521–0.0916"
2013,"0.80","0.61–0.99","0.0862","0.0630–0.1093"
2014,"0.76","0.56–0.96","0.0872","0.0636–0.1108"
2015,"0.59","0.39–0.78","0.0755","0.0550–0.0960"
2016,"0.88","0.66–1.09","0.1110","0.0791–0.1429"
2017,"0.90","0.66–1.14","0.1510","0.1043–0.1976"
2018,"0.85","0.61–1.09","0.1231","0.0788–0.1675"
2019,"0.85","0.61–1.08","0.1326","0.0790–0.1861"
2020,"0.75","0.52–0.98","0.1478","0.0789–0.2167"
2021,"0.70","0.46–0.93","0.1439","0.0655–0.2223"
