"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 2+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2022,"457,346.00","457,346.00","2,490,420.00","857,143.00","0.42"
2023,"390,936.00","390,936.00","2,168,510.00","913,025.00","0.45"
2024,"373,594.00","372,934.00","1,770,350.00","778,000.00","0.38"
2025,"330,614.00","317,665.00","1,353,370.00","580,207.00","0.28"
