"Year","Recruitment","Interval","Recruitment Deviations","Interval"
2012,"1,148,500","751,186–1,755,959","0.405","-0.029–0.839"
2013,"308,235","154,974–613,063","-0.956","-1.660–-0.252"
2014,"6,543,420","4,483,313–9,550,157","2.096","1.677–2.514"
2015,"43,980","12,748–151,725","-2.891","-4.239–-1.542"
2016,"4,518,030","2,812,808–7,257,016","1.749","1.253–2.245"
2017,"1,810,690","924,184–3,547,559","0.820","0.137–1.503"
2018,"547,256","207,468–1,443,547","-0.374","-1.375–0.628"
2019,"738,207","259,006–2,104,006","-0.077","-1.171–1.017"
2020,"4,244,830","1,280,189–14,074,935","1.679","0.384–2.974"
2021,"783,935","99,485–6,177,366","0.000","-2.744–2.744"
2022,"773,497","98,139–6,096,427","0.000","-2.744–2.744"
